"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Lamiaceae"	"Larix"	"Oleaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Tilia"	"Ulmus"
14669	23015	"Turova Dacha"	48.909174	24.114818	6	"AWI"	6	-59	232	55	48	0	4	0	0	0	2	2	0	0	2	2	4	0	25	1	0	0	3	16	3	96	0	2	0	4	2	2	0	1	1
14669	23015	"Turova Dacha"	48.909174	24.114818	11	"AWI"	11	-23	403	133	54	0	11	2	1	2	0	5	2	2	5	0	0	1	37	0	0	2	0	12	11	60	0	0	0	5	0	0	2	0	3
14669	23015	"Turova Dacha"	48.909174	24.114818	16	"AWI"	16	29	474	233	60	2	4	0	0	0	0	4	0	0	2	2	0	0	36	0	2	0	0	16	4	64	0	0	0	6	0	2	0	2	2
14669	23015	"Turova Dacha"	48.909174	24.114818	21	"AWI"	21	79	591	322	58	0	5	1	0	0	0	4	0	0	2	0	1	0	37	3	0	0	1	24	3	60	1	0	2	6	2	2	2	1	3
14669	23015	"Turova Dacha"	48.909174	24.114818	26	"AWI"	26	158	638	414	44	2	2	0	2	0	2	4	0	0	0	2	0	0	38	2	0	0	0	30	4	66	0	2	2	6	0	0	0	0	4
14669	23015	"Turova Dacha"	48.909174	24.114818	31	"AWI"	31	230	706	500	62	0	10	0	0	0	0	4	0	2	10	0	0	0	33	0	0	0	0	18	10	56	0	4	2	4	0	3	4	3	0
14669	23015	"Turova Dacha"	48.909174	24.114818	36	"AWI"	36	379	745	582	60	2	6	0	0	0	0	5	0	0	0	0	2	0	32	3	0	2	0	22	4	52	0	4	0	1	0	0	0	2	1
14669	23015	"Turova Dacha"	48.909174	24.114818	41	"AWI"	41	475	811	665	60	2	10	0	0	0	0	6	0	0	0	0	0	0	34	0	0	0	0	18	6	48	0	0	0	10	0	0	0	4	2
14669	23015	"Turova Dacha"	48.909174	24.114818	46	"AWI"	46	632	853	724	45	2	4	0	0	0	0	5	0	0	2	2	4	0	41	2	0	0	0	29	7	47	0	3	0	10	0	0	2	2	4
14669	23015	"Turova Dacha"	48.909174	24.114818	51	"AWI"	51	692	909	785	43	4	6	0	0	0	1	4	0	0	4	2	0	0	33	0	2	2	2	20	5	70	0	2	0	6	2	0	0	4	4
14669	23015	"Turova Dacha"	48.909174	24.114818	56	"AWI"	56	716	950	821	56	2	4	0	0	0	0	2	0	2	0	0	0	0	24	2	0	0	0	16	6	76	0	0	0	8	0	4	0	2	2
14669	23015	"Turova Dacha"	48.909174	24.114818	61	"AWI"	61	737	1007	855	46	2	8	0	0	0	4	4	0	0	2	2	0	0	38	2	0	0	0	18	8	60	1	0	0	8	0	3	2	4	2
14669	23015	"Turova Dacha"	48.909174	24.114818	66	"AWI"	66	766	1043	894	76	0	5	0	1	0	0	3	1	0	4	2	2	0	40	0	0	0	0	17	7	45	0	4	1	10	0	0	0	3	3
14669	23015	"Turova Dacha"	48.909174	24.114818	71	"AWI"	71	790	1086	930	76	2	5	0	0	0	0	3	0	0	2	0	0	2	36	2	0	0	0	17	7	39	0	2	2	10	0	0	2	2	3
14669	23015	"Turova Dacha"	48.909174	24.114818	76	"AWI"	76	825	1117	968	82	2	8	0	0	0	0	5	0	0	4	0	0	0	31	0	3	0	0	16	2	50	0	0	0	5	0	2	0	0	3
14669	23015	"Turova Dacha"	48.909174	24.114818	81	"AWI"	81	853	1156	1005	60	0	5	0	0	0	0	3	0	0	4	0	0	0	45	0	0	0	0	26	6	45	0	4	0	5	3	0	0	3	4
14669	23015	"Turova Dacha"	48.909174	24.114818	86	"AWI"	86	892	1182	1040	76	2	6	0	0	0	3	4	0	0	4	0	3	0	28	0	0	0	0	16	2	52	2	0	2	8	0	2	2	2	4
14669	23015	"Turova Dacha"	48.909174	24.114818	91	"AWI"	91	926	1220	1074	76	0	4	0	0	0	0	5	0	0	0	0	0	0	30	0	0	0	0	26	5	48	0	0	0	7	0	0	0	0	3
14669	23015	"Turova Dacha"	48.909174	24.114818	96	"AWI"	96	972	1237	1108	72	0	4	0	0	0	1	3	2	0	0	0	0	2	44	2	0	0	0	17	11	37	0	0	0	8	1	0	0	4	2
14669	23015	"Turova Dacha"	48.909174	24.114818	101	"AWI"	101	1009	1269	1146	76	0	4	2	0	0	2	4	0	0	2	0	6	0	44	0	4	0	0	20	8	36	0	0	0	6	0	0	2	2	2
14669	23015	"Turova Dacha"	48.909174	24.114818	106	"AWI"	106	1054	1341	1198	80	2	2	0	0	0	0	2	0	0	0	0	5	1	42	0	0	0	0	16	8	42	0	1	2	4	0	4	4	0	2
14669	23015	"Turova Dacha"	48.909174	24.114818	111	"AWI"	111	1087	1448	1251	84	3	4	0	4	0	0	3	0	2	0	2	0	0	35	0	0	0	0	17	6	37	0	0	0	6	0	0	2	0	5
14669	23015	"Turova Dacha"	48.909174	24.114818	126	"AWI"	126	1211	1709	1434	80	0	2	0	0	0	0	4	0	0	0	0	0	0	26	0	1	0	0	10	16	56	0	0	0	4	2	0	0	0	2
14669	23015	"Turova Dacha"	48.909174	24.114818	136	"AWI"	136	1302	1863	1560	52	2	8	0	0	0	0	4	2	0	3	0	0	0	30	0	0	0	0	20	22	54	1	0	0	4	1	4	2	0	4
14669	23015	"Turova Dacha"	48.909174	24.114818	141	"AWI"	141	1345	1949	1616	48	0	4	0	0	0	0	4	0	0	2	2	0	0	36	0	0	2	0	24	24	60	0	0	0	4	0	0	0	0	0
14669	23015	"Turova Dacha"	48.909174	24.114818	146	"AWI"	146	1402	2006	1685	58	0	2	0	0	0	0	4	1	0	2	2	4	0	12	0	0	0	0	0	26	92	0	4	0	4	0	2	0	0	2
14669	23015	"Turova Dacha"	48.909174	24.114818	151	"AWI"	151	1447	2066	1748	46	0	4	0	2	0	4	8	0	0	4	0	2	0	44	0	0	2	0	18	16	68	0	3	0	2	0	1	0	0	0
14669	23015	"Turova Dacha"	48.909174	24.114818	156	"AWI"	156	1507	2118	1810	64	2	6	0	0	0	0	10	0	2	0	0	0	0	0	2	0	8	0	4	16	40	0	0	0	4	0	0	0	0	0
14669	23015	"Turova Dacha"	48.909174	24.114818	161	"AWI"	161	1559	2181	1872	32	2	8	2	0	0	1	6	0	0	2	0	0	0	26	0	0	0	0	16	40	62	0	2	0	4	3	4	2	0	4
14669	23015	"Turova Dacha"	48.909174	24.114818	171	"AWI"	171	1682	2278	1995	48	2	2	0	0	0	0	28	0	0	0	0	0	0	40	0	0	2	0	2	12	62	0	0	0	0	0	0	0	2	0
14669	23015	"Turova Dacha"	48.909174	24.114818	176	"AWI"	176	1760	2319	2057	57	0	8	0	3	1	0	3	3	0	2	0	2	0	44	0	0	2	0	17	9	48	0	4	0	8	0	2	4	0	4
14669	23015	"Turova Dacha"	48.909174	24.114818	181	"AWI"	181	1824	2382	2122	48	4	4	0	0	0	0	8	0	0	4	0	0	0	42	0	0	0	0	16	6	46	0	0	0	6	2	0	4	0	0
14669	23015	"Turova Dacha"	48.909174	24.114818	186	"AWI"	186	1918	2421	2185	76	4	6	0	0	2	0	4	0	0	2	2	3	0	28	0	2	2	0	16	8	52	0	4	0	0	0	1	0	0	4
14669	23015	"Turova Dacha"	48.909174	24.114818	191	"AWI"	191	1992	2482	2248	48	2	2	4	0	4	0	0	2	0	4	0	1	0	20	0	0	4	0	10	38	70	0	8	0	0	0	0	2	2	4
14669	23015	"Turova Dacha"	48.909174	24.114818	196	"AWI"	196	2092	2544	2298	48	0	2	0	0	0	0	12	0	1	2	4	0	0	24	0	0	4	0	10	16	64	0	0	0	0	2	0	0	0	2
14669	23015	"Turova Dacha"	48.909174	24.114818	271	"AWI"	271	2847	3419	3149	40	0	2	0	0	1	0	24	4	3	2	0	0	0	40	0	2	0	0	0	12	76	0	0	0	4	0	1	2	0	2
14669	23015	"Turova Dacha"	48.909174	24.114818	286	"AWI"	286	3037	3553	3320	24	2	4	0	0	0	0	20	0	0	0	2	0	0	40	0	0	4	0	12	12	76	0	0	0	6	0	0	0	0	4
14669	23015	"Turova Dacha"	48.909174	24.114818	311	"AWI"	311	3455	3772	3592	28	0	8	0	0	3	2	16	0	0	0	0	0	0	32	0	0	2	0	8	12	64	2	0	0	0	0	0	0	0	0
