"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Juniperus"	"Lamiaceae"	"Myrica"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Urticaceae"
13446	20165	"Bosscherheide"	51.57861	6.09472	0.5	"AWI"	0.5	11860.5	12889.5	12575.5	0	1	0	19	0	53	0	2	0	0	1	4	89	0	6	0	0	0	0	0	29	0	93	0	0	0	0	0	0	5	3	1	0
13446	20165	"Bosscherheide"	51.57861	6.09472	1.5	"AWI"	1.5	11966	12901	12604.5	0	0	0	14	0	48	0	3	0	0	0	0	161	0	0	0	1	0	0	0	16	0	55	0	0	0	0	0	0	3	0	1	0
13446	20165	"Bosscherheide"	51.57861	6.09472	2.5	"AWI"	2.5	12073	12912.5	12634	0	2	0	9	0	39	0	1	0	0	1	6	188	0	3	0	0	0	0	0	19	0	23	0	0	0	0	0	0	10	0	0	0
13446	20165	"Bosscherheide"	51.57861	6.09472	3.5	"AWI"	3.5	12181.5	12924	12663.5	0	1	0	7	0	36	0	0	0	0	0	4	150	0	0	0	0	0	0	1	39	0	57	0	0	5	0	2	0	3	0	3	0
13446	20165	"Bosscherheide"	51.57861	6.09472	4.5	"AWI"	4.5	12289	12936.5	12692.5	0	0	0	9	0	26	1	0	0	0	0	3	166	0	0	0	0	0	0	2	39	0	49	0	0	7	0	1	2	6	0	1	0
13446	20165	"Bosscherheide"	51.57861	6.09472	5.5	"AWI"	5.5	12396.5	12951	12722	0	0	0	5	0	25	0	0	0	1	0	2	169	0	0	0	0	0	0	1	41	0	53	0	0	11	0	0	0	4	0	1	0
13446	20165	"Bosscherheide"	51.57861	6.09472	6.5	"AWI"	6.5	12504	12968.5	12751	0	0	1	5	0	28	1	1	0	0	0	6	152	0	0	1	0	0	0	0	64	0	43	0	0	4	0	3	0	2	0	2	1
13446	20165	"Bosscherheide"	51.57861	6.09472	7.5	"AWI"	7.5	12603	12989.5	12781	1	1	0	1	0	4	0	0	0	0	0	0	233	0	0	0	0	0	0	0	15	0	41	0	0	0	0	1	0	3	0	2	0
13446	20165	"Bosscherheide"	51.57861	6.09472	8.5	"AWI"	8.5	12687	13014	12814.5	0	0	0	2	0	5	0	0	0	0	0	0	63	0	0	0	0	0	0	0	38	0	8	0	0	0	0	0	0	1	0	0	0
13446	20165	"Bosscherheide"	51.57861	6.09472	9.5	"AWI"	9.5	12744	13044.5	12851.5	0	0	1	0	0	3	0	0	0	0	0	1	81	0	0	0	0	0	0	0	102	0	9	0	0	0	0	1	0	0	0	0	0
