"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Ilex"	"Juglans"	"Lamiaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	173	"AWI"	173	1026	1236	1137	0	96	2	0	0	0	0	38	0	0	0	0	0	0	0	15	5	0	0	66	0	1	0	0	0	0	0	0	0	0	13	1	16	0	0	0	0	9	0	0	0	0	0	0	0	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	53	"AWI"	53	241	520	415	0	6	2	0	0	2	0	10	0	0	0	1	0	0	0	5	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	18	0	0	2	0	0	0	0	8	1	0	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	337	"AWI"	337	2253	2522	2402	1	220	1	2	0	0	0	189	0	1	0	0	0	0	0	29	22	0	0	13	0	0	0	0	0	0	0	0	0	0	0	1	33	0	0	0	0	43	0	0	0	0	5	0	0	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	201	"AWI"	201	1206	1465	1335	0	259	2	1	0	1	0	89	0	0	0	0	0	0	0	63	27	0	0	59	0	1	0	0	0	0	0	0	0	0	31	1	30	0	0	0	0	48	0	0	0	0	0	0	0	2	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	385	"AWI"	385	2681	2999	2858	0	190	7	2	0	0	0	158	0	0	0	0	0	0	0	50	61	0	0	22	0	0	0	0	0	0	0	0	0	0	1	1	59	0	0	0	0	53	0	0	0	0	0	0	5	11	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	77	"AWI"	77	403	660	571	0	27	26	0	0	0	0	31	0	1	0	0	0	0	0	15	21	0	0	39	0	0	0	0	0	0	0	0	0	0	3	0	62	0	108	0	0	8	0	0	0	0	2	0	0	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	361	"AWI"	361	2442	2690	2629	0	204	4	0	0	0	0	222	0	0	0	0	0	0	0	52	24	0	0	12	0	0	0	0	0	0	0	0	0	0	1	2	37	0	0	0	0	20	0	0	0	0	0	0	1	1	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	193	"AWI"	193	1149	1375	1273	0	231	2	0	0	0	0	79	0	0	0	0	0	0	0	85	19	0	0	44	0	1	0	0	0	0	0	0	0	0	47	5	47	0	0	0	0	44	0	0	0	0	0	0	1	1	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	253	"AWI"	253	1605	1907	1758	0	252	13	0	0	2	0	105	0	0	0	0	0	0	0	66	45	0	0	47	0	2	0	0	0	0	0	4	0	0	14	0	19	0	0	0	0	60	0	0	0	0	0	0	0	1	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	217	"AWI"	217	1335	1606	1475	1	186	10	0	0	0	0	76	0	0	0	0	0	0	0	81	13	0	0	102	0	0	0	0	0	0	0	2	0	0	25	1	88	0	62	0	0	18	0	0	0	0	0	0	0	3	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	161	"AWI"	161	954	1166	1063	0	155	12	0	0	0	0	78	0	0	0	0	0	0	0	59	54	0	0	116	0	0	0	0	0	0	0	1	0	0	14	1	49	0	56	0	0	75	0	0	0	0	0	0	2	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	297	"AWI"	297	1943	2218	2087	0	146	1	0	0	0	0	241	0	0	0	0	0	0	0	109	6	0	0	25	0	0	0	0	0	0	0	0	0	0	5	0	72	0	0	0	0	9	0	0	0	0	0	0	1	1	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	333	"AWI"	333	2223	2485	2367	0	159	4	3	0	0	0	273	0	0	0	0	0	0	0	43	30	0	0	8	0	0	0	0	0	0	0	3	0	0	2	0	33	0	0	0	0	24	0	0	0	0	0	0	1	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	305.5	"AWI"	305.5	2011	2271.5	2150.5	0	204	0	0	0	3	0	154	0	0	0	0	0	0	0	34	36	0	0	18	0	1	0	0	0	0	0	0	0	0	5	1	25	0	0	0	0	98	0	0	0	0	0	0	1	3	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	277	"AWI"	277	1786	2086	1938	0	247	6	1	0	0	0	94	0	0	0	0	0	0	0	62	25	0	0	39	0	2	0	0	0	0	0	0	0	0	9	0	57	8	0	0	0	59	0	0	0	0	1	0	1	2	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	413	"AWI"	413	2984	3261	3133	0	183	36	0	0	1	0	77	0	0	0	0	0	0	0	37	14	0	0	6	0	2	0	0	0	0	0	0	0	0	1	1	85	0	0	0	0	147	0	0	0	1	0	1	3	4	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	105	"AWI"	105	595	812	704	0	54	8	0	0	0	0	43	0	0	0	0	0	0	0	35	35	0	0	26	0	0	0	1	0	0	0	1	0	0	6	3	44	0	96	0	0	23	0	0	0	0	0	0	0	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	185	"AWI"	185	1092	1308	1215	0	244	6	0	0	0	0	52	0	0	0	0	0	0	0	69	17	0	0	82	0	2	0	0	0	0	0	0	0	0	26	3	49	0	0	0	0	39	0	0	0	0	0	1	0	2	0
