"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3381	4382	"Rotsee"	47.07556	8.32556	0	"AWI"	0	-140	36	-61	74	3	254	0	1	0	0	0	38	5	2	0	2	0	0	1	0	41	28	0	0	1	0	66	3	31	0	0	3	11	0	0	0	0	4	62	64	0	206	0	6	95	5	0	2	19	5	0	0	0	3	4	3	0
3381	4382	"Rotsee"	47.07556	8.32556	15	"AWI"	15	-66	526	114	85	4	263	4	2	0	0	0	46	5	0	0	1	0	0	2	0	49	18	0	0	0	11	83	2	23	1	0	5	9	0	0	1	0	3	84	63	18	196	0	0	81	6	0	1	20	5	1	0	1	3	4	4	0
3381	4382	"Rotsee"	47.07556	8.32556	30	"AWI"	30	26	817	322	50	2	84	3	17	0	3	0	19	5	0	0	2	0	0	2	0	22	22	0	0	0	20	48	1	14	0	0	4	9	0	0	0	0	5	70	38	32	256	0	0	52	7	0	2	37	3	2	0	0	2	2	3	1
3381	4382	"Rotsee"	47.07556	8.32556	45	"AWI"	45	143	1069	533	41	3	58	0	16	0	1	0	6	1	2	1	7	0	0	1	0	26	43	0	0	0	0	45	2	9	0	0	4	4	0	0	0	0	4	41	44	47	356	0	1	31	4	0	1	37	2	1	0	1	0	1	1	0
3381	4382	"Rotsee"	47.07556	8.32556	55	"AWI"	55	214	1250	677	38	1	30	2	3	0	1	0	6	0	0	0	16	0	0	0	0	26	29	1	0	0	0	43	0	3	0	0	5	6	0	0	0	0	1	41	27	42	139	0	0	39	2	0	1	14	2	0	0	0	1	2	2	0
3381	4382	"Rotsee"	47.07556	8.32556	65	"AWI"	65	364	1349	831	48	2	58	0	5	0	4	0	9	2	0	0	25	0	0	0	0	45	73	0	0	1	0	45	0	0	0	0	10	13	0	0	0	0	0	90	21	42	159	0	0	69	17	0	0	23	6	0	0	0	0	0	3	0
3381	4382	"Rotsee"	47.07556	8.32556	75	"AWI"	75	459	1501	981	58	2	95	0	5	0	0	0	36	4	0	0	12	0	0	4	0	96	25	0	0	0	0	78	2	6	0	0	8	5	0	0	0	0	5	93	43	22	86	0	0	151	4	0	0	15	8	0	0	0	1	0	2	0
3381	4382	"Rotsee"	47.07556	8.32556	85	"AWI"	85	595	1576	1122	19	1	132	2	2	1	1	0	78	5	0	0	29	0	0	1	0	119	47	1	0	3	0	92	0	1	0	0	9	43	0	0	0	0	4	89	26	27	128	0	0	111	12	0	0	12	11	0	0	0	0	0	1	0
3381	4382	"Rotsee"	47.07556	8.32556	95	"AWI"	95	745	1686	1257	46	1	110	1	2	0	5	0	39	6	0	0	42	0	0	4	0	110	37	0	0	0	0	111	2	2	0	1	16	16	0	0	0	0	5	50	18	28	186	0	0	182	5	0	0	12	8	0	0	0	2	0	4	1
3381	4382	"Rotsee"	47.07556	8.32556	105	"AWI"	105	899	1770	1399	28	1	101	1	8	0	1	0	41	3	1	1	32	0	0	4	0	97	33	0	0	0	0	67	0	2	0	0	4	11	0	0	0	0	6	78	31	32	105	0	0	143	9	0	2	16	6	0	0	0	0	1	2	0
3381	4382	"Rotsee"	47.07556	8.32556	115	"AWI"	115	1139	1863	1533	44	1	160	3	2	0	0	0	80	1	0	0	31	0	0	3	0	145	53	0	0	0	0	109	2	5	0	3	12	27	0	1	0	0	11	55	31	35	145	0	0	177	1	0	0	15	17	0	1	0	2	2	3	1
3381	4382	"Rotsee"	47.07556	8.32556	125	"AWI"	125	1371	1949	1672	48	2	87	2	0	0	5	0	15	2	0	0	108	0	2	0	0	85	27	0	0	1	0	75	1	7	0	0	12	17	0	0	0	0	6	35	13	11	79	4	0	64	1	0	1	10	12	0	0	0	0	2	5	0
3381	4382	"Rotsee"	47.07556	8.32556	130	"AWI"	130	1478	2006	1741	114	0	116	1	2	1	3	0	24	3	0	0	56	0	0	3	0	87	25	0	0	3	0	198	1	11	0	0	6	7	0	0	0	1	3	71	17	10	119	0	2	89	7	0	2	8	8	0	0	0	4	5	2	0
3381	4382	"Rotsee"	47.07556	8.32556	135	"AWI"	135	1578	2065	1808	74	1	105	0	1	0	5	0	11	1	0	0	9	0	0	0	0	46	11	0	0	0	0	181	0	5	0	0	0	2	0	0	0	0	7	39	6	0	52	0	0	36	1	0	1	3	2	0	0	0	1	0	4	0
3381	4382	"Rotsee"	47.07556	8.32556	145	"AWI"	145	1662	2328	1946	132	0	200	0	1	0	2	0	32	0	0	0	4	0	0	1	0	94	13	0	0	0	0	202	1	15	0	0	1	5	0	0	0	0	3	47	7	5	30	0	0	19	1	0	1	3	2	0	1	0	0	1	1	0
3381	4382	"Rotsee"	47.07556	8.32556	155	"AWI"	155	1768	2516	2082	64	0	164	0	1	0	0	0	23	1	0	0	2	0	0	0	0	68	4	0	0	0	0	181	1	25	0	0	1	3	0	0	0	0	9	82	4	6	17	0	0	63	1	0	1	2	1	0	0	0	0	1	0	0
3381	4382	"Rotsee"	47.07556	8.32556	165	"AWI"	165	1835	2783	2208	47	2	235	1	1	0	3	0	46	5	0	0	11	0	0	1	0	114	17	0	0	1	0	178	2	5	0	0	3	9	0	0	0	0	2	30	17	13	63	0	0	151	4	0	0	4	4	0	0	0	1	4	2	0
3381	4382	"Rotsee"	47.07556	8.32556	175	"AWI"	175	1933	2908	2353	113	1	232	0	0	0	0	0	38	0	0	0	1	0	0	2	0	75	12	0	0	0	0	149	1	14	0	0	0	1	0	0	0	0	4	59	11	5	54	0	0	93	1	0	0	4	9	0	0	0	2	7	1	0
3381	4382	"Rotsee"	47.07556	8.32556	185	"AWI"	185	2015	3103	2487	86	0	208	1	2	0	3	0	50	2	0	0	2	0	0	0	0	82	12	0	0	0	0	145	0	10	0	0	0	7	0	0	0	0	0	45	3	10	46	0	0	57	2	0	1	3	2	0	0	0	2	6	4	0
3381	4382	"Rotsee"	47.07556	8.32556	205	"AWI"	205	2221	3397	2770	149	1	141	1	1	0	6	0	13	0	0	0	0	0	0	0	0	54	7	0	0	0	0	184	0	10	0	0	0	2	0	0	0	0	1	40	4	0	27	0	0	32	7	0	0	2	2	0	0	0	5	2	0	0
3381	4382	"Rotsee"	47.07556	8.32556	225	"AWI"	225	2471	3668	3057	153	0	143	0	0	0	1	0	21	0	0	0	0	0	0	0	0	34	11	0	0	0	0	156	1	11	0	0	0	1	0	0	0	0	0	18	6	0	0	0	0	17	1	0	0	2	0	0	0	0	3	1	0	0
3381	4382	"Rotsee"	47.07556	8.32556	245	"AWI"	245	2735	3908	3343	115	0	208	0	2	1	4	0	21	2	0	0	0	0	0	0	0	61	9	0	0	1	0	214	1	20	0	0	0	3	0	1	0	0	0	18	13	0	24	0	0	28	2	0	1	0	0	0	0	0	1	2	0	0
3381	4382	"Rotsee"	47.07556	8.32556	265	"AWI"	265	3012	4127	3630	140	2	249	0	0	0	2	0	26	1	0	0	0	0	0	0	0	76	11	0	0	0	0	243	0	22	0	0	0	2	0	0	0	0	0	23	17	0	8	0	0	27	4	0	0	0	2	0	0	0	2	1	0	0
