"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Liliaceae"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
16185	25027	"Bellengreville"	49.11667	-0.215	10	"AWI"	10	-2	1224	360	16	0	0	0	0	4	3	3	10	24	0	0	23	0	0	0	0	8	0	14	0	12	0	0	44	0	0	0
16185	25027	"Bellengreville"	49.11667	-0.215	20	"AWI"	20	210	1756	841	7	0	0	1	0	6	0	3	18	34	0	0	4	0	1	0	1	11	0	33	0	16	1	0	25	1	0	3
16185	25027	"Bellengreville"	49.11667	-0.215	35	"AWI"	35	744	2260	1523	4	4	0	1	0	12	1	5	13	42	0	2	1	0	0	0	0	5	3	30	0	16	1	0	3	1	0	2
16185	25027	"Bellengreville"	49.11667	-0.215	50	"AWI"	50	1369	2742	2225	2	6	1	0	0	3	1	2	14	51	0	3	0	1	0	0	0	0	2	47	2	22	1	0	4	0	0	2
16185	25027	"Bellengreville"	49.11667	-0.215	65	"AWI"	65	2493	2981	2778	12	1	0	0	0	4	2	1	15	50	0	3	0	0	3	0	0	2	2	0	0	31	0	2	0	0	3	0
16185	25027	"Bellengreville"	49.11667	-0.215	80	"AWI"	80	2868	3431	3094	0	0	0	0	0	0	0	0	26	28	0	1	0	0	0	0	0	3	0	0	0	39	0	0	1	0	2	2
16185	25027	"Bellengreville"	49.11667	-0.215	90	"AWI"	90	2959	3667	3247	3	1	0	0	0	0	2	0	23	21	0	0	0	0	1	0	0	12	0	0	0	63	0	0	1	0	3	0
16185	25027	"Bellengreville"	49.11667	-0.215	95	"AWI"	95	3026	3752	3332	2	0	1	0	0	0	0	0	23	20	0	0	0	0	0	0	0	9	0	0	0	55	0	0	0	0	0	0
16185	25027	"Bellengreville"	49.11667	-0.215	105	"AWI"	105	3144	3965	3498	8	4	0	0	0	0	2	1	21	20	0	0	1	0	1	0	0	10	0	0	0	32	0	0	3	0	2	3
16185	25027	"Bellengreville"	49.11667	-0.215	112	"AWI"	112	3233	4094	3611	4	0	1	0	0	0	0	0	18	19	0	0	0	0	0	0	0	6	0	0	0	75	0	0	0	0	2	1
16185	25027	"Bellengreville"	49.11667	-0.215	117	"AWI"	117	3293	4184	3697	3	0	0	0	0	0	0	0	34	35	0	0	0	0	0	0	0	8	0	0	0	31	0	0	0	0	1	1
16185	25027	"Bellengreville"	49.11667	-0.215	136	"AWI"	136	3562	4465	4018	13	0	0	0	0	0	0	0	34	27	0	0	0	0	0	0	0	3	0	0	0	47	0	0	2	0	6	0
