"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"
15910	24497	"Couëdic"	47.21389	-1.55722	480	"AWI"	480	693	1351	967	0	0	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	132	0	0	15	0	8	0	0	2	5	1	0	0	0	0	0	0	0	11
15910	24497	"Couëdic"	47.21389	-1.55722	483	"AWI"	483	709	1366	983	0	0	9	4	1	0	0	0	2	0	0	2	0	0	1	0	0	0	2	0	11	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	169	6	0	8	0	3	0	0	6	0	0	0	1	2	1	0	0	0	2
15910	24497	"Couëdic"	47.21389	-1.55722	488	"AWI"	488	731	1395	1011	0	0	4	5	2	0	0	0	0	0	0	2	0	1	2	0	0	0	2	0	5	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	151	8	0	11	0	3	0	0	1	0	2	0	0	0	0	0	0	0	2
15910	24497	"Couëdic"	47.21389	-1.55722	493	"AWI"	493	750	1427	1039	0	0	5	4	2	0	0	0	3	0	0	4	0	1	0	0	0	0	10	0	13	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	134	0	0	8	0	4	0	0	0	8	11	0	0	0	0	0	0	0	2
15910	24497	"Couëdic"	47.21389	-1.55722	498	"AWI"	498	764	1470	1066	1	0	21	4	4	0	0	0	3	0	0	3	0	2	0	0	0	0	9	0	20	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	100	0	0	20	0	4	0	0	2	0	12	0	0	0	0	0	0	0	0
15910	24497	"Couëdic"	47.21389	-1.55722	503	"AWI"	503	774	1517	1093	1	0	15	7	2	0	0	0	4	0	0	1	0	2	1	0	0	0	12	0	9	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	3	0	2	0	0	44	5	0	20	0	1	0	0	0	4	28	0	0	0	1	1	1	0	3
15910	24497	"Couëdic"	47.21389	-1.55722	508	"AWI"	508	784	1563	1118	0	0	15	6	4	0	0	12	3	1	0	2	0	1	1	0	0	0	13	0	24	0	0	0	0	1	0	0	0	1	0	0	0	3	0	1	0	0	2	0	0	75	0	0	26	0	2	0	0	0	4	10	0	0	0	0	0	2	0	2
15910	24497	"Couëdic"	47.21389	-1.55722	534	"AWI"	534	832	1849	1245	0	0	17	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15910	24497	"Couëdic"	47.21389	-1.55722	607	"AWI"	607	997	2636	1605	1	0	45	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	11	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	14	9	0	18	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0
15910	24497	"Couëdic"	47.21389	-1.55722	637	"AWI"	637	1112	2794	1786	0	0	23	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	16	0	0	0	0	0	0	1	0	0	0	0	3	2	0	0
