"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Arbutus"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Berberidaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celtis"	"Ceratonia"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Ficus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Heliotropium"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Morus"	"Myrtus"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Thalictrum"	"Thymelaeaceae"	"Ulmus"	"Urticaceae"	"Violaceae"	"Vitaceae"
24034	41750	"Lago di Venere"	36.81689	11.98704	8	"AWI"	8	-112	22	-44	0	0	0	5	0	0	1.66666666666667	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.6666666666667	0	0	0	0	60	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24034	41750	"Lago di Venere"	36.81689	11.98704	12	"AWI"	12	-107	27	-39	0	0	0	5.46875	0	0	0.78125	7.8125	0	0	0	0.78125	0	0	0	0	0	0	0	0	0	0	0	0	0.78125	0	0.78125	0	0	11.71875	0	0	0	0	0	0	0	0	0.78125	0	0	0	0	0	0	0	0	0	9.375	0	0	8.59375	0	28.90625	6.25	0	0	0	16.40625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78125	0.78125
24034	41750	"Lago di Venere"	36.81689	11.98704	24	"AWI"	24	-94	41	-25	0	0	0	4.16666666666667	0	0	0	4.16666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.4166666666667	0	0	0	0	62.5	2.08333333333333	0	0	0	8.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24034	41750	"Lago di Venere"	36.81689	11.98704	32	"AWI"	32	-85	51	-16	0	0	0	3.57142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78571428571429	0	0	0	0	92.8571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24034	41750	"Lago di Venere"	36.81689	11.98704	40	"AWI"	40	-76	61	-6	0	0	0	4.21052631578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.36842105263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10526315789474	0	0	0	0	86.3157894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24034	41750	"Lago di Venere"	36.81689	11.98704	48	"AWI"	48	-69	70	3	0	0	0	3.8961038961039	0	0	1.2987012987013	1.2987012987013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2987012987013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.8831168831169	0	0	0	0	71.4285714285714	1.2987012987013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5974025974026	0	0	0	0	0
24034	41750	"Lago di Venere"	36.81689	11.98704	56	"AWI"	56	-59	79	12	0	0	0	2.27272727272727	0	0	6.81818181818182	13.0681818181818	0	0	0	0.568181818181818	0	0	0	0	0	0	0	0	0	0	0	0	1.13636363636364	0	0	0	0	2.84090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2272727272727	0	0	0	0	38.0681818181818	2.27272727272727	0	0	0	0	0	0	0	22.7272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24034	41750	"Lago di Venere"	36.81689	11.98704	64	"AWI"	64	-49	89	22	0	0	0	5.19480519480519	0	0	9.09090909090909	5.19480519480519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.19480519480519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.987012987013	0	0	0	0	55.8441558441558	6.49350649350649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24034	41750	"Lago di Venere"	36.81689	11.98704	76	"AWI"	76	-37	104	35	0	0	0	5.5	0	0	0	6.5	0.5	0	0	0	1	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0.5	0	4.5	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	5.5	0	0	5	0	29.5	6	0	0.5	0.5	8	0	0	0	15	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	2
24034	41750	"Lago di Venere"	36.81689	11.98704	92	"AWI"	92	-18	123	54	0	0	0	2.7027027027027	0	0	0	5.40540540540541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7027027027027	0	0	0	0	83.7837837837838	2.7027027027027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7027027027027	0	0	0
