"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Grossulariaceae"	"Hypericaceae"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Malus"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14574	22851	"Wolin II"	53.85885	14.61586	1	"AWI"	1	-107	61	-22	0	0	23	13	0	0	12	0	25	0	21	0	0	0	0	0	8	421	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	8	253	0	0	0	2	0	31	0	0	3	59	9	1	0	0	0	0	0	0	4	0	6
14574	22851	"Wolin II"	53.85885	14.61586	5	"AWI"	5	-67	231	46	0	0	15	17	7	0	6	0	22	0	22	0	0	0	0	0	4	771	0	0	0	0	0	2	0	0	0	9	0	0	0	0	0	0	0	7	349	0	0	0	0	0	31	0	0	3	81	10	2	0	0	0	0	0	0	3	0	12
14574	22851	"Wolin II"	53.85885	14.61586	10	"AWI"	10	-44	478	131	0	0	35	12	0	0	9	0	25	0	37	0	0	0	0	0	7	773	0	0	0	2	0	1	0	0	0	15	0	0	0	0	0	2	0	3	408	0	0	0	1	0	36	8	0	4	77	11	1	0	0	0	0	0	1	0	2	10
14574	22851	"Wolin II"	53.85885	14.61586	15	"AWI"	15	24	561	238	0	0	34	10	0	0	8	0	15	0	29	0	0	0	0	0	12	816	0	0	0	5	0	2	0	0	0	46	0	0	1	0	0	3	0	1	361	0	0	0	0	0	22	0	0	2	92	15	2	0	0	0	0	0	0	0	1	8
14574	22851	"Wolin II"	53.85885	14.61586	20	"AWI"	20	55	707	337	0	0	24	10	5	0	5	0	21	0	23	0	0	0	0	1	3	802	0	0	0	1	0	1	0	0	0	21	0	0	0	0	0	3	0	0	278	0	0	0	0	0	37	0	0	2	55	8	0	0	0	0	0	0	0	0	0	3
14574	22851	"Wolin II"	53.85885	14.61586	25	"AWI"	25	156	777	442	0	0	15	0	0	0	4	0	18	0	13	0	0	0	0	0	7	890	0	0	0	1	0	0	0	0	0	17	0	0	0	0	0	1	0	1	292	0	0	0	0	0	21	0	0	7	64	16	0	0	0	0	0	0	0	0	2	8
14574	22851	"Wolin II"	53.85885	14.61586	30	"AWI"	30	207	900	552	0	0	28	3	8	0	6	0	27	0	5	0	0	0	0	0	7	717	0	0	0	3	0	2	0	0	0	7	0	0	0	0	0	2	0	0	302	0	0	0	0	0	37	0	0	8	26	9	0	0	0	0	0	0	1	0	0	7
14574	22851	"Wolin II"	53.85885	14.61586	35	"AWI"	35	345	954	649	0	0	28	13	0	0	11	0	43	0	13	0	5	0	0	0	7	1714	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	3	0	1	442	0	0	0	0	0	63	0	0	6	27	18	0	0	1	0	0	0	1	1	1	15
14574	22851	"Wolin II"	53.85885	14.61586	40	"AWI"	40	420	1052	752	0	0	42	0	9	0	14	0	17	0	14	0	0	0	0	0	9	446	0	0	0	8	0	0	0	0	0	3	0	0	0	0	0	3	0	1	221	0	0	0	0	0	58	0	0	6	12	58	0	0	0	0	0	0	0	0	1	1
14574	22851	"Wolin II"	53.85885	14.61586	45	"AWI"	45	710	1134	874	0	0	47	0	7	0	19	0	28	0	23	0	0	0	0	0	6	357	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	202	0	0	0	0	0	39	0	0	1	6	3	0	0	0	0	0	0	0	0	0	3
