"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Myrtus"	"Olea"	"Oleaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Trachycarpus"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
23901	41460	"Lago di Origlio"	46.05152	8.94329	0.5	"AWI"	0.5	-46	-41.5	-43.5	0	0	0	113	1	0	0	0	0	14	0	0	0	0	10	0	0	128	1	0	7	4	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	1
23901	41460	"Lago di Origlio"	46.05152	8.94329	1.5	"AWI"	1.5	-44	-40.5	-42	0	0	0	102	1	0	0	0	0	10	0	2	0	0	4	0	0	81	0	0	6	3	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	28	0	0	0	0	0	4	1	0	0	0	0	0	1	2	1	2	0	0
23901	41460	"Lago di Origlio"	46.05152	8.94329	2.25	"AWI"	2.25	-42.5	-39.5	-40.75	0	0	0	114	0	0	1	1	0	12	0	0	0	0	6	0	0	92	1	0	13	2	0	0	0	0	2	0	12	0	0	0	0	0	7	0	0	1	1	0	0	0	0	0	0	0	0	2	15	0	0	1	0	0	1	0	1	28	1	0	0	0	0	4	1	0	0	0	0	0	4	0	0	2	0	1
23901	41460	"Lago di Origlio"	46.05152	8.94329	2.75	"AWI"	2.75	-41.5	-38.5	-40.25	0	0	0	0	1	0	0	0	0	26	0	0	0	0	4	0	0	81	1	0	6	6	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	2	10	0	0	3	0	0	0	0	0	26	0	0	0	0	0	6	4	0	0	0	0	0	1	1	1	3	0	0
23901	41460	"Lago di Origlio"	46.05152	8.94329	3.25	"AWI"	3.25	-40.75	-37.5	-39.5	0	0	0	110	0	0	0	1	0	21	0	0	0	0	7	0	0	75	1	0	9	1	0	0	0	0	7	0	10	0	0	0	0	0	3	1	0	1	0	0	1	0	0	0	1	0	5	1	16	1	0	2	0	0	0	0	1	20	2	0	0	0	0	2	3	0	0	0	0	1	2	2	1	2	0	0
23901	41460	"Lago di Origlio"	46.05152	8.94329	3.75	"AWI"	3.75	-40.25	-36.5	-38.5	0	1	0	113	1	0	0	0	0	10	0	1	0	0	7	0	0	94	0	0	13	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	1	0	0	34	1	0	0	0	0	3	4	0	0	0	0	0	4	1	0	0	0	0
23901	41460	"Lago di Origlio"	46.05152	8.94329	4.25	"AWI"	4.25	-39.75	-35.5	-37.5	0	0	0	93	0	0	0	1	0	21	0	1	0	0	5	0	0	64	1	0	6	1	0	0	0	0	4	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	29	1	0	0	0	0	9	2	0	0	0	0	0	1	1	1	0	0	0
23901	41460	"Lago di Origlio"	46.05152	8.94329	4.75	"AWI"	4.75	-39.25	-34.5	-36.5	0	0	1	142	0	0	0	0	0	24	0	0	0	0	9	0	0	77	3	0	9	5	0	0	0	0	6	0	18	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	2	7	1	0	4	0	0	0	0	0	47	2	0	0	0	0	2	3	0	0	0	0	0	2	0	0	1	0	0
23901	41460	"Lago di Origlio"	46.05152	8.94329	5.25	"AWI"	5.25	-38.5	-33.5	-35.75	0	0	0	0	0	0	0	1	0	13	0	0	0	0	10	0	0	101	1	0	10	4	0	0	0	0	2	0	0	0	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0	9	2	0	0	0	4	0	0	0	0	0	48	1	0	0	0	0	9	3	0	0	0	0	1	1	0	1	3	0	0
23901	41460	"Lago di Origlio"	46.05152	8.94329	5.75	"AWI"	5.75	-37.5	-32.5	-35.25	0	0	0	114	0	0	0	1	0	17	0	0	0	0	5	0	0	56	0	0	9	4	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	8	1	0	0	0	3	0	0	3	0	0	30	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	1	0	0
