"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Ostrya.Carpinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Quercus"	"Quercus.evg.type"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Vitaceae"
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	90	"AWI"	90	302	1175	836	3	74	2	43	0	0	2	23	1	0	1	0	0	0	0	97	33	0	0	1	0	0	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	110	"AWI"	110	391	1196	873	24	151	5	5	2	0	32	4	1	17	0	1	0	3	0	22	61	4	0	1	0	0	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	130	"AWI"	130	473	1212	914	30	161	3	3	4	1	21	3	1	11	0	0	0	4	0	19	63	1	1	0	1	1	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	150	"AWI"	150	541	1234	955	25	82	6	6	1	0	26	3	0	10	0	0	0	4	0	17	97	2	0	1	0	0	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	165	"AWI"	165	574	1254	988	32	92	3	5	8	0	42	7	2	38	1	2	1	0	0	21	101	2	8	0	0	1	2
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	170	"AWI"	170	584	1264	998	26	66	5	3	3	0	35	8	1	24	2	1	0	8	0	33	116	2	9	1	1	1	2
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	175	"AWI"	175	595	1273	1008	40	98	8	5	5	1	26	7	4	17	0	2	1	4	0	29	101	3	9	1	0	1	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	180	"AWI"	180	618	1276	1017	24	80	4	7	8	0	27	11	3	17	0	1	0	4	0	27	84	4	4	0	1	0	0
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	200	"AWI"	200	710	1293	1052	28	63	4	5	3	0	42	3	1	24	0	4	0	11	0	34	132	5	5	0	1	0	3
15968	24618	"La Bergerie en Charron"	46.30111	-1.04389	220	"AWI"	220	789	1311	1089	40	80	10	5	9	1	44	1	1	18	0	0	1	12	0	33	94	1	3	0	1	1	0
