"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Geraniaceae"	"Grossulariaceae"	"Iridaceae"	"Juglans"	"Ligustrum"	"Linaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Verbenaceae"	"Violaceae"
15946	24576	"La Grande Brousse"	47.48667	0.67417	10	"AWI"	10	-37	481	150	1	0	1	0	0	6	0	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
15946	24576	"La Grande Brousse"	47.48667	0.67417	20	"AWI"	20	64	840	345	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	3	0	2	0	0	0	3	0	2	0	0	0	0	0
15946	24576	"La Grande Brousse"	47.48667	0.67417	25	"AWI"	25	115	911	466	0	1	0	5	0	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	3	0	0	0	9	0	2	0	1	0	0	0
15946	24576	"La Grande Brousse"	47.48667	0.67417	35	"AWI"	35	255	1099	689	0	0	1	0	0	4	0	3	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	1	0	5	0	3	0	0	2	10	0	5	0	0	0	0	0
15946	24576	"La Grande Brousse"	47.48667	0.67417	45	"AWI"	45	477	1200	917	0	1	0	2	0	7	0	1	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	2	0	0	1	7	0	3	0	0	0	0	0
15946	24576	"La Grande Brousse"	47.48667	0.67417	55	"AWI"	55	839	1306	1118	0	0	0	3	0	8	0	3	0	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	3	0	0	3	12	0	7	0	0	0	0	0
15946	24576	"La Grande Brousse"	47.48667	0.67417	65	"AWI"	65	1152	1468	1323	0	0	0	0	0	3	0	1	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	15	0	2	0	0	0	0	0
15946	24576	"La Grande Brousse"	47.48667	0.67417	75	"AWI"	75	1294	1756	1532	1	1	0	0	0	5	0	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	21	0	2	0	0	0	0	0
15946	24576	"La Grande Brousse"	47.48667	0.67417	80	"AWI"	80	1326	1954	1634	0	0	3	3	0	7	0	4	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	30	0	2	0	0	0	0	0
15946	24576	"La Grande Brousse"	47.48667	0.67417	85	"AWI"	85	1452	2043	1734	0	0	1	0	0	4	0	6	0	5	0	0	0	0	0	3	1	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	4	1	0	0	28	0	2	0	1	0	0	0
15946	24576	"La Grande Brousse"	47.48667	0.67417	90	"AWI"	90	1601	2079	1838	1	0	3	2	0	6	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	2	0	2	1	0	0	24	0	2	0	1	0	0	0
