"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Aristolochiaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Tofieldiaceae"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16475	25767	"Franz Senn-Hütte"	47.08333	11.16667	2.5	"AWI"	2.5	-55	208.5	58.5	0	0	161	0	0	7	0	0	3	0	0	23	0	8	0	0	0	0	12	1	0	0	19	0	590	0	0	16	0	9	1	0	0	3	57	0	3	0	0	0	3	0	374	0	312	0	2	0	0	2	0	0	0	3	27	4	0	0	0	0	1	2	5	0	0	3	45	0	0
16475	25767	"Franz Senn-Hütte"	47.08333	11.16667	5	"AWI"	5	-33	404	127	5	0	216	0	0	12	0	0	7	0	0	15	0	3	0	0	0	0	0	0	1	1	23	1	836	0	0	20	0	13	0	3	0	0	67	0	2	0	0	0	9	82	323	0	331	0	2	0	0	10	0	1	0	2	41	0	0	0	0	3	0	1	6	0	0	0	22	0	2
16475	25767	"Franz Senn-Hütte"	47.08333	11.16667	7.5	"AWI"	7.5	-17	606	194.5	0	0	164	4	0	12	0	0	6	0	0	53	0	0	0	0	0	0	6	1	0	0	43	0	412	0	0	14	0	15	0	0	0	2	84	2	0	0	0	0	6	56	150	0	295	0	4	0	0	16	0	0	0	3	30	5	0	0	0	0	0	0	8	0	0	2	64	0	0
16475	25767	"Franz Senn-Hütte"	47.08333	11.16667	10	"AWI"	10	-3	808	262	1	0	222	4	0	4	0	0	13	0	0	83	0	1	0	0	0	0	13	0	0	0	31	0	284	0	0	7	0	14	0	0	0	2	82	0	3	0	0	0	5	66	173	0	236	0	1	0	0	14	0	2	0	3	29	5	0	0	0	0	1	0	4	0	0	0	83	1	0
16475	25767	"Franz Senn-Hütte"	47.08333	11.16667	15	"AWI"	15	20	1211	398	9	1	160	1	0	10	0	0	8	0	0	35	0	0	0	0	0	0	9	0	0	0	37	0	225	0	0	8	0	36	0	1	0	1	49	0	8	0	0	0	10	197	270	0	237	0	1	0	0	13	0	1	0	4	17	10	0	0	0	0	0	0	8	1	0	1	45	0	1
16475	25767	"Franz Senn-Hütte"	47.08333	11.16667	20	"AWI"	20	37	1617	533	9	0	254	1	0	4	0	0	9	0	0	48	0	0	0	0	0	0	5	1	0	0	23	0	96	0	0	6	0	19	2	1	0	2	52	0	1	0	0	0	8	95	74	0	180	0	2	0	0	6	0	0	0	2	13	3	0	0	0	0	0	1	4	0	0	2	67	0	0
16475	25767	"Franz Senn-Hütte"	47.08333	11.16667	25	"AWI"	25	107	1898	680	2	1	374	1	0	5	0	0	17	0	0	68	0	1	0	0	0	0	7	0	0	0	32	0	165	0	0	8	0	41	2	0	0	2	63	0	3	0	0	0	8	111	125	0	246	0	2	0	0	21	0	2	0	1	13	12	0	1	0	0	0	0	6	1	0	2	47	0	0
16475	25767	"Franz Senn-Hütte"	47.08333	11.16667	30	"AWI"	30	198	2000	867	4	0	296	1	0	4	0	0	5	0	0	53	0	0	0	0	0	0	2	0	0	0	31	0	102	0	0	8	0	18	1	0	0	1	55	0	1	0	0	0	18	88	70	0	186	0	0	0	0	15	0	0	0	0	16	1	0	0	0	0	1	0	4	0	0	1	42	0	0
16475	25767	"Franz Senn-Hütte"	47.08333	11.16667	35	"AWI"	35	265	2129	1046	4	0	384	0	0	0	0	0	7	0	0	38	0	0	0	0	0	0	0	0	0	0	29	0	130	0	0	8	0	28	0	0	0	0	29	0	2	0	0	0	30	91	100	0	168	0	0	0	0	8	0	1	0	1	6	2	0	0	0	0	0	0	5	1	0	5	32	0	1
16475	25767	"Franz Senn-Hütte"	47.08333	11.16667	40	"AWI"	40	318	2284	1212	14	0	325	6	0	4	0	0	5	0	0	29	0	0	0	0	0	0	1	0	0	0	8	0	275	0	0	19	0	23	0	2	0	0	48	0	0	0	0	0	7	163	175	0	295	0	2	0	0	8	0	0	0	3	12	0	0	0	0	0	0	1	1	0	0	3	28	0	0
