"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Liliaceae"	"Olea"	"Ostrya.Carpinus"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
2972	3872	"Ampoix"	45.63333	2.93333	60	"AWI"	60	128	2031	803	7	0	7	3	1	0	0	0	1	1	0	0	2	0	0	1	1	15	34	0	0	3	0	2	46	0	0	0	2	0	0	4	5	0	7	0	95	0	0	30	0	0	0	0	25	0	0	0	0	0	0	1	0	0	0
2972	3872	"Ampoix"	45.63333	2.93333	70	"AWI"	70	230	2289	957	21	0	10	2	1	0	4	0	10	0	0	1	1	2	1	2	0	24	33	0	0	3	0	2	160	0	0	1	1	0	0	2	5	0	0	0	98	2	0	58	0	2	0	2	3	4	0	0	0	0	0	1	1	0	0
2972	3872	"Ampoix"	45.63333	2.93333	80	"AWI"	80	316	2460	1109	22	0	26	1	0	0	1	0	22	1	0	0	0	0	0	0	0	33	23	0	2	0	0	0	170	1	0	1	1	0	0	4	8	0	0	0	0	0	0	63	0	0	0	2	1	2	0	0	0	0	0	2	1	0	0
2972	3872	"Ampoix"	45.63333	2.93333	90	"AWI"	90	378	2664	1257	4	0	8	0	0	0	0	0	11	1	0	0	0	0	0	0	0	16	29	0	0	0	0	0	47	4	0	0	0	0	0	1	8	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
2972	3872	"Ampoix"	45.63333	2.93333	100	"AWI"	100	462	2845	1406	9	0	13	0	4	1	1	0	9	0	0	0	0	0	0	1	0	23	48	0	0	0	0	1	125	3	0	1	0	0	0	0	9	0	5	0	54	0	0	40	0	1	0	1	6	3	0	0	0	0	0	0	0	0	0
2972	3872	"Ampoix"	45.63333	2.93333	110	"AWI"	110	577	2992	1565	5	0	34	0	2	0	1	0	11	0	0	1	1	0	0	0	0	22	58	0	0	0	0	1	150	1	0	0	1	0	0	0	8	0	8	0	64	0	0	58	1	3	0	1	3	1	0	0	0	0	0	1	1	0	0
2972	3872	"Ampoix"	45.63333	2.93333	120	"AWI"	120	676	3151	1723	4	0	17	2	2	0	2	0	14	0	0	0	0	0	0	0	0	18	34	0	0	0	0	0	200	0	0	0	1	0	0	0	11	0	0	0	72	0	0	72	1	1	0	0	5	1	0	0	0	0	0	1	0	0	0
2972	3872	"Ampoix"	45.63333	2.93333	130	"AWI"	130	752	3363	1875	11	0	24	1	2	0	2	0	17	1	1	0	0	0	0	1	1	13	22	0	0	0	0	0	160	0	0	1	0	0	1	1	10	0	0	0	86	0	0	46	0	1	0	1	7	2	0	0	0	0	0	5	0	0	0
2972	3872	"Ampoix"	45.63333	2.93333	140	"AWI"	140	911	3469	2037	4	0	8	0	1	0	0	4	3	1	0	1	0	0	2	0	0	5	25	0	0	0	0	1	137	0	0	0	0	0	0	0	7	0	0	0	29	0	0	37	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0
2972	3872	"Ampoix"	45.63333	2.93333	150	"AWI"	150	1034	3605	2211	6	0	7	0	0	0	1	0	4	1	0	0	0	0	0	0	0	5	15	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	15	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2972	3872	"Ampoix"	45.63333	2.93333	160	"AWI"	160	1126	3806	2375	25	0	29	1	1	0	1	0	15	1	0	0	0	0	0	0	0	14	27	0	0	0	0	2	138	0	0	0	0	0	1	0	6	0	0	0	0	0	0	33	1	3	0	1	2	0	0	0	0	0	0	1	0	0	0
2972	3872	"Ampoix"	45.63333	2.93333	170	"AWI"	170	1298	3955	2531	31	0	33	0	0	0	1	0	12	0	0	0	0	0	0	0	0	27	12	0	0	0	0	1	150	2	0	0	0	0	0	0	1	0	11	0	0	0	0	45	1	1	0	1	2	0	0	0	0	0	0	2	0	0	1
2972	3872	"Ampoix"	45.63333	2.93333	180	"AWI"	180	1440	4111	2696	65	1	55	0	2	0	1	0	25	0	1	0	0	0	0	0	0	22	2	0	0	0	0	0	250	2	0	0	0	0	0	0	5	0	0	0	9	0	0	15	1	2	0	0	1	0	0	0	0	0	0	12	0	0	0
