"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Berberidaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Lythraceae"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
16674	26514	"Schwemm"	47.65811	12.299518	10	"AWI"	10	-64	202	46	23	2	74	4	8	0	3	0	0	0	25	0	10	0	1	0	0	2	0	0	0	61	31	0	0	0	0	0	0	44	0	19	0	0	0	3	0	3	0	0	0	0	0	0	175	0	68	0	0	2	45	0	0	0	5	22	5	0	0	0	0	3	0	0	10	22	0
16674	26514	"Schwemm"	47.65811	12.299518	20	"AWI"	20	-41	407	119	10	1	53	2	8	0	2	0	0	0	26	0	3	0	0	0	0	5	0	0	0	53	30	0	0	0	0	1	0	20	0	11	0	0	1	1	0	4	0	0	0	0	0	0	119	0	0	386	0	1	21	0	0	0	1	50	4	0	0	0	0	4	0	0	12	45	0
16674	26514	"Schwemm"	47.65811	12.299518	30	"AWI"	30	-11	585	194	22	3	65	1	5	0	0	0	0	0	15	0	5	0	2	0	0	2	0	1	0	61	52	0	0	0	0	0	0	71	1	14	0	1	0	4	0	2	0	0	0	0	0	0	167	0	0	356	0	3	18	0	1	0	2	51	3	0	0	0	0	11	0	1	10	21	0
16674	26514	"Schwemm"	47.65811	12.299518	40	"AWI"	40	46	632	277	14	0	48	0	2	0	1	0	0	0	2	0	3	0	0	0	0	3	0	0	0	35	24	0	0	0	0	0	0	27	0	1	0	0	1	4	0	1	0	0	0	0	0	0	99	0	0	261	0	0	7	0	1	0	1	36	4	0	0	0	0	5	0	0	5	12	0
16674	26514	"Schwemm"	47.65811	12.299518	50	"AWI"	50	77	733	361	8	0	51	2	8	0	1	0	0	1	12	0	2	0	3	0	0	4	0	0	0	37	41	0	0	0	0	0	0	35	0	4	0	0	0	2	0	1	0	0	0	0	0	0	75	0	0	271	0	0	21	0	1	0	3	69	4	0	0	0	0	5	0	0	4	21	0
16674	26514	"Schwemm"	47.65811	12.299518	60	"AWI"	60	140	820	441	24	1	93	0	6	0	2	0	0	0	7	0	3	0	10	0	0	1	0	0	0	85	32	0	0	0	0	0	0	64	0	1	0	0	0	1	0	0	0	0	0	0	0	0	27	0	0	237	0	0	25	0	1	0	0	46	5	0	0	0	0	11	0	0	5	3	0
16674	26514	"Schwemm"	47.65811	12.299518	70	"AWI"	70	214	866	525	28	2	87	4	14	0	2	0	0	0	6	0	3	0	2	0	0	1	0	0	0	77	15	0	0	0	0	1	0	56	2	1	0	0	0	3	0	5	0	0	0	0	0	0	97	0	0	254	0	0	26	0	0	0	1	40	0	0	0	0	0	11	0	0	0	11	0
16674	26514	"Schwemm"	47.65811	12.299518	80	"AWI"	80	256	937	611	29	0	72	0	6	0	0	0	0	0	31	0	0	0	6	0	0	0	0	0	0	27	36	1	0	0	0	0	0	62	0	2	0	0	1	7	0	9	0	0	0	0	0	0	64	0	0	145	0	0	23	20	0	0	1	37	0	0	0	5	0	0	0	0	3	4	0
16674	26514	"Schwemm"	47.65811	12.299518	90	"AWI"	90	360	1000	693	61	9	102	2	6	0	0	0	0	0	36	0	7	0	9	0	0	2	1	0	5	32	45	0	0	0	0	0	0	89	0	2	0	0	3	14	0	2	0	0	0	0	0	0	68	0	0	203	0	2	45	30	0	0	1	73	0	0	0	3	0	4	0	0	0	11	0
16674	26514	"Schwemm"	47.65811	12.299518	100	"AWI"	100	477	1046	774	62	4	89	1	1	0	0	0	0	0	40	0	1	0	18	0	0	0	0	0	0	44	269	0	0	0	1	1	0	75	0	2	0	0	1	20	0	2	1	0	0	0	0	0	98	0	0	176	0	8	57	0	1	0	3	56	4	0	0	3	0	11	0	0	2	6	0
