"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3174	24086	"Švarcenberk"	49.143988	14.703396	63	"AWI"	63	6514	7250	6910	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	45	0	37	0	0	0	5	4	0	1	0	0	0	0	0	0	0	1	1	0	60	74	0	0	0	0	0	21	0	0	3	0	2	0	0	0	2	0	2	8	8	1
3174	24086	"Švarcenberk"	49.143988	14.703396	64	"AWI"	64	6719	7333	7034	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	30	49	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3174	24086	"Švarcenberk"	49.143988	14.703396	65	"AWI"	65	6811	7544	7155	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	386	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	3	1	0
3174	24086	"Švarcenberk"	49.143988	14.703396	66	"AWI"	66	6922	7783	7317	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	7	0	171	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	13	389	0	0	0	0	0	3	0	0	5	0	1	0	0	0	0	0	0	1	1	0
3174	24086	"Švarcenberk"	49.143988	14.703396	67	"AWI"	67	6992	8193	7464	1	0	0	2	0	0	8	0	0	0	0	0	0	0	3	0	0	0	0	4	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	475	0	0	0	0	0	3	0	0	2	0	1	0	0	0	0	0	0	3	0	0
3174	24086	"Švarcenberk"	49.143988	14.703396	71	"AWI"	71	7438	9097	8161	0	0	0	3	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	11	0	45	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	349	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
3174	24086	"Švarcenberk"	49.143988	14.703396	73	"AWI"	73	7681	9514	8522	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	97	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	8	495	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0
3174	24086	"Švarcenberk"	49.143988	14.703396	75	"AWI"	75	7927	9871	8894	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	5	1	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	3	585	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0
3174	24086	"Švarcenberk"	49.143988	14.703396	76	"AWI"	76	8127	9970	9081	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	2	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	289	0	0	0	0	0	1	0	0	0	0	1	0	0	0	16	0	0	0	0	1
3174	24086	"Švarcenberk"	49.143988	14.703396	78	"AWI"	78	8470	10261	9449	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	13	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	678	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0
3174	24086	"Švarcenberk"	49.143988	14.703396	79	"AWI"	79	8674	10360	9636	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	10	0	21	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	956	0	0	0	0	0	4	0	0	1	0	2	0	0	0	4	0	0	0	1	1
3174	24086	"Švarcenberk"	49.143988	14.703396	80	"AWI"	80	8811	10517	9820	0	0	0	0	0	0	8	0	0	59	0	0	0	0	0	0	0	0	0	2	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	974	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	3	0
3174	24086	"Švarcenberk"	49.143988	14.703396	82	"AWI"	82	9383	10683	10176	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	8	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0
3174	24086	"Švarcenberk"	49.143988	14.703396	84	"AWI"	84	9991	10832	10491	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	489	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0
3174	24086	"Švarcenberk"	49.143988	14.703396	92	"AWI"	92	10911	12182	11388	0	0	3	3	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	2	0	26	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	393	0	0	0	0	0	1	0	0	1	0	4	0	0	0	0	0	3	0	1	1
3174	24086	"Švarcenberk"	49.143988	14.703396	94	"AWI"	94	11098	12749	11686	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	1	1	0	0	0	38	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	1	442	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0
3174	24086	"Švarcenberk"	49.143988	14.703396	96	"AWI"	96	11270	13246	11999	0	0	3	3	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	1	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	236	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	1	0	0	0
3174	24086	"Švarcenberk"	49.143988	14.703396	98	"AWI"	98	11435	13752	12316	0	0	0	1	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	487	0	1	0	0	0	1	0	0	1	0	8	0	0	0	0	0	5	0	0	0
3174	24086	"Švarcenberk"	49.143988	14.703396	102	"AWI"	102	11853	14688	12962	0	0	0	4	0	0	10	0	0	53	0	1	0	0	0	0	1	0	0	0	0	49	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	389	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	4	0	0	0
3174	24086	"Švarcenberk"	49.143988	14.703396	104	"AWI"	104	12086	15106	13276	0	0	0	2	0	0	9	0	0	76	0	0	0	0	0	0	1	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	406	0	0	0	0	0	0	0	0	5	3	3	0	0	0	0	0	0	0	0	0
3174	24086	"Švarcenberk"	49.143988	14.703396	106	"AWI"	106	12306	15537	13596	0	0	0	2	0	0	5	0	0	65	0	2	0	0	0	0	3	0	0	1	0	49	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	369	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	2	3	0	0	0
