"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Juniperus"	"Lamiaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
3221	4181	"Lalaxkärret"	60.147404	21.859866	0	"AWI"	0	-135	44	-60	0	35	1	0	1	0	137	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	19	533	0	0	0	0	0	0	2	0	0	0	1	2	1	0	0	0
3221	4181	"Lalaxkärret"	60.147404	21.859866	5	"AWI"	5	-56	648	168	0	38	0	0	0	0	192	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	1	32	508	0	0	0	0	0	0	4	0	0	0	1	2	0	0	0	2
3221	4181	"Lalaxkärret"	60.147404	21.859866	10	"AWI"	10	-22	1345	391	0	56	0	0	0	0	235	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	27	356	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1	2
3221	4181	"Lalaxkärret"	60.147404	21.859866	15	"AWI"	15	156	1549	695	0	93	1	0	0	0	385	0	0	2	0	0	0	5	0	4	0	0	0	0	0	0	0	1	8	255	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1
3221	4181	"Lalaxkärret"	60.147404	21.859866	20	"AWI"	20	245	1906	985	1	66	0	0	3	0	553	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	1	4	146	0	0	0	0	0	0	3	0	0	0	1	2	0	0	3	1
3221	4181	"Lalaxkärret"	60.147404	21.859866	25	"AWI"	25	540	2054	1295	0	58	0	0	3	0	436	0	0	0	0	0	3	3	0	0	0	0	0	1	0	0	0	0	2	101	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1
3221	4181	"Lalaxkärret"	60.147404	21.859866	30	"AWI"	30	687	2324	1604	0	41	0	2	3	0	637	0	2	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	4	62	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1
3221	4181	"Lalaxkärret"	60.147404	21.859866	35	"AWI"	35	1176	2410	1884	0	22	0	0	1	0	730	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	1	1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3221	4181	"Lalaxkärret"	60.147404	21.859866	40	"AWI"	40	1407	2596	2193	0	131	1	0	2	0	427	0	0	0	0	0	7	12	0	1	0	0	0	2	0	0	0	2	8	174	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	3
3221	4181	"Lalaxkärret"	60.147404	21.859866	45	"AWI"	45	1597	2661	2327	0	96	0	0	3	0	532	0	1	0	0	0	2	15	0	4	0	0	0	1	0	1	0	2	4	96	0	0	0	1	0	0	5	2	1	0	3	1	2	0	2	4
