"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Iridaceae"	"Lamiaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"
3096	4031	"Lake Ermistu"	58.36667	23.96667	149	"AWI"	149	2190	4370	3222	0	78	0	0	5	0	0	139	0	0	0	0	19	4	0	6	0	0	0	1	1	0	0	66	138	0	12	0	0	0	5	1	0	0	0	2	0	0	3	3	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	154	"AWI"	154	2306	4476	3336	0	48	0	0	1	0	0	104	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	53	121	2	7	0	1	0	5	0	0	0	0	1	0	0	0	1	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	159	"AWI"	159	2393	4596	3441	0	62	1	1	1	0	0	93	0	0	0	0	12	0	0	4	0	0	0	3	0	0	0	51	125	0	11	0	0	0	10	0	0	0	0	1	0	0	1	4	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	164	"AWI"	164	2502	4709	3554	0	78	0	0	2	1	0	78	0	0	0	0	10	1	0	4	0	0	0	0	0	0	0	59	104	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3
3096	4031	"Lake Ermistu"	58.36667	23.96667	169	"AWI"	169	2602	4817	3674	0	77	0	0	2	0	0	97	0	0	0	0	9	0	0	4	0	0	0	0	0	0	2	52	125	0	12	0	0	0	4	0	0	0	0	0	0	0	3	2	1
3096	4031	"Lake Ermistu"	58.36667	23.96667	172	"AWI"	172	2673	4892	3740	0	74	0	0	0	0	0	101	0	1	0	0	21	0	0	6	0	0	0	2	0	0	0	55	129	0	9	0	2	0	5	0	0	0	0	0	0	1	3	10	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	179	"AWI"	179	2791	5066	3891	0	83	1	0	0	0	0	123	0	5	0	0	14	1	0	5	0	0	0	2	0	0	0	60	96	0	4	0	2	0	9	0	0	0	0	0	0	0	1	2	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	184	"AWI"	184	2901	5178	4002	0	85	1	0	1	0	0	135	0	4	0	0	23	0	0	2	0	0	0	4	0	0	0	67	93	0	0	0	2	0	10	0	0	0	0	2	0	0	6	7	2
3096	4031	"Lake Ermistu"	58.36667	23.96667	189	"AWI"	189	2990	5304	4108	0	102	0	0	1	0	0	108	0	1	0	0	23	0	0	5	0	0	0	3	0	0	0	43	79	0	5	0	1	0	18	2	0	0	0	0	0	0	6	6	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	194	"AWI"	194	3121	5413	4224	0	95	2	0	2	0	0	124	0	1	0	0	26	0	1	2	0	0	0	3	0	0	1	65	65	0	9	0	2	0	11	0	0	0	0	1	0	0	2	10	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	199	"AWI"	199	3222	5528	4341	0	89	0	0	1	0	0	120	0	0	0	0	6	0	0	3	0	0	0	3	0	0	0	62	84	0	0	0	4	0	11	1	0	0	0	1	0	0	3	6	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	204	"AWI"	204	3343	5635	4447	0	89	0	0	0	0	0	122	0	0	0	0	14	0	0	8	0	0	0	2	0	0	1	68	98	0	0	0	4	0	20	0	0	0	0	1	0	0	4	15	0
