"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Vitaceae"
14516	22738	"Straldzha mire"	42.629484	26.778668	10	"AWI"	10	-51	-20	-34	0	2	5	65	0	17	0	3	8	3	0	0	0	0	6	17	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	26	0	0	0	3	5	0	0	0	0	0	0
14516	22738	"Straldzha mire"	42.629484	26.778668	20	"AWI"	20	-40	37	-18	4	0	4	9	2	13	0	4	0	0	0	0	0	0	21	6	0	0	0	0	0	0	6	0	0	0	0	8	40	0	0	0	0	0	38	0	0	0	0	4	0	3	0	7	4	0
14516	22738	"Straldzha mire"	42.629484	26.778668	30	"AWI"	30	-30	84	0	2	0	8	13	8	13	0	8	9	0	0	0	0	3	7	8	0	0	0	0	0	0	6	0	0	2	0	0	12	0	0	0	0	2	9	0	0	5	5	2	0	0	0	0	0	0
14516	22738	"Straldzha mire"	42.629484	26.778668	40	"AWI"	40	-17	142	22	0	3	12	11	4	13	0	11	6	3	0	0	0	0	7	13	0	0	2	0	0	0	12	0	0	3	9	0	12	0	0	0	0	4	21	0	0	6	7	0	1	0	0	2	0	0
14516	22738	"Straldzha mire"	42.629484	26.778668	50	"AWI"	50	25	583	179	0	0	0	15	0	0	0	4	0	2	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	30	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0
14516	22738	"Straldzha mire"	42.629484	26.778668	60	"AWI"	60	102	898	397	2	1	5	18	4	13	0	5	1	3	0	4	0	0	23	7	0	0	0	0	0	0	0	0	0	0	4	3	31	0	0	0	0	0	25	0	0	0	0	0	0	0	0	5	0	0
14516	22738	"Straldzha mire"	42.629484	26.778668	70	"AWI"	70	227	1182	619	0	2	9	9	0	15	0	5	9	2	0	0	0	0	9	9	0	0	0	0	0	0	4	0	0	0	4	0	13	0	0	0	0	0	12	0	0	3	4	0	0	0	0	2	3	0
14516	22738	"Straldzha mire"	42.629484	26.778668	80	"AWI"	80	371	1423	846	1	0	5	24	0	4	0	3	0	2	0	0	0	0	11	1	1	0	0	0	0	0	1	1	0	0	0	1	20	0	0	0	0	0	23	0	0	0	0	0	0	1	0	2	1	0
14516	22738	"Straldzha mire"	42.629484	26.778668	90	"AWI"	90	542	1648	1069	1	1	0	26	7	11	0	5	3	2	0	3	0	0	6	8	0	0	0	0	0	0	5	2	0	0	0	0	13	0	33	0	0	2	12	0	0	6	4	2	0	0	0	2	3	0
14516	22738	"Straldzha mire"	42.629484	26.778668	100	"AWI"	100	738	1864	1294	0	2	8	53	0	5	0	6	3	6	0	0	0	0	9	26	0	0	0	0	0	0	4	3	2	3	4	0	1	0	0	0	0	0	6	0	0	4	2	4	0	0	0	0	1	0
14516	22738	"Straldzha mire"	42.629484	26.778668	110	"AWI"	110	967	2048	1525	0	2	6	61	6	13	0	6	9	4	0	0	0	0	4	6	0	0	0	0	0	0	7	0	0	0	0	0	12	0	0	0	0	0	5	0	0	7	6	0	0	0	0	1	3	0
14516	22738	"Straldzha mire"	42.629484	26.778668	120	"AWI"	120	1179	2225	1744	0	0	12	70	5	17	0	3	8	0	0	2	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	4	0	0	0	0	0	5	0	0	5	2	3	0	0	0	0	0	0
