"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
23896	41448	"Lauenensee"	46.39684	7.33143	0	"AWI"	0	-109	85	-29	0	3	50	3	0	0	0	3	0	0	3	0	0	1	0	0	10	0	0	3	38	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	3	5	0	0	0	0	0	1	1	0
23896	41448	"Lauenensee"	46.39684	7.33143	6	"AWI"	6	-81	111	6	0	1	34	0	0	0	0	3	0	0	1	0	0	0	0	0	3	0	0	1	51	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	1	166	0	0	20	0	0	2	0	0	1	0	0	11	2	0	1	0	0	0	0	0	1
23896	41448	"Lauenensee"	46.39684	7.33143	14	"AWI"	14	-61	156	53	0	1	44	1	0	0	0	0	0	0	2	0	0	2	0	0	10	0	0	6	41	0	0	0	9	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	13	0	0	2	0	0	0	0	2	10	2	0	2	0	1	0	2	9	0
23896	41448	"Lauenensee"	46.39684	7.33143	30	"AWI"	30	-35	289	147	0	1	32	0	0	0	0	1	0	0	2	0	1	11	0	0	11	0	0	1	34	0	0	0	4	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	20	0	0	4	11	0	0	0	0	11	3	0	1	1	0	0	1	6	0
23896	41448	"Lauenensee"	46.39684	7.33143	46	"AWI"	46	-18	441	237	0	4	36	1	0	0	0	2	0	0	2	0	0	6	0	0	1	0	0	3	26	0	0	0	9	3	0	0	0	5	0	0	0	0	1	0	0	159	0	0	22	0	0	6	14	0	0	0	0	10	3	0	2	1	0	0	0	5	0
23896	41448	"Lauenensee"	46.39684	7.33143	62	"AWI"	62	313	525	469	0	1	43	3	0	0	0	9	0	0	1	0	1	14	0	0	3	0	0	7	26	0	0	0	13	1	0	1	0	6	0	0	0	0	0	0	3	0	0	0	22	103	1	7	28	0	0	0	0	9	1	0	1	0	0	0	1	3	0
23896	41448	"Lauenensee"	46.39684	7.33143	78	"AWI"	78	338	961	656	0	0	44	1	0	0	0	7	0	0	2	0	0	41	0	0	6	0	0	5	12	0	0	2	15	0	0	0	0	2	0	0	0	0	0	0	3	99	0	0	26	0	0	5	0	0	0	0	0	7	0	0	2	0	0	1	0	5	0
23896	41448	"Lauenensee"	46.39684	7.33143	94	"AWI"	94	410	1369	884	0	0	85	4	0	0	0	17	0	0	1	0	0	11	0	0	3	0	0	15	21	0	0	4	35	1	0	0	0	5	0	0	0	0	0	0	5	171	0	0	0	0	0	5	0	0	0	0	0	13	0	0	0	2	0	0	2	2	0
23896	41448	"Lauenensee"	46.39684	7.33143	110	"AWI"	110	827	1571	1194	0	1	105	0	0	0	0	6	0	0	0	0	0	2	0	0	2	0	0	15	12	0	0	2	47	1	0	0	0	1	0	0	0	0	0	0	5	154	0	0	0	0	0	14	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0
23896	41448	"Lauenensee"	46.39684	7.33143	126	"AWI"	126	1235	1825	1532	0	1	128	0	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	10	7	0	0	0	49	3	0	0	0	5	0	0	0	0	2	0	4	108	0	0	0	0	0	18	11	0	0	0	0	0	2	0	0	0	0	0	6	1	0
