"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Apocynaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14543	22793	"Grünsee Reschenscheideck"	46.86278	10.47806	0	"AWI"	0	-93	75	-12	0	0	18	1	0	0	0	6	3	0	10	5	0	3	0	0	0	0	0	0	513	0	0	0	0	0	0	0	0	0	0	0	0	6	0	18	0	2	0	107	111	0	40	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1
14543	22793	"Grünsee Reschenscheideck"	46.86278	10.47806	20	"AWI"	20	48	1528	647	0	0	0	0	0	0	0	1	4	0	9	1	1	0	0	0	0	0	1	0	152	0	0	0	0	1	0	1	0	0	0	0	0	1	0	13	0	6	0	40	0	0	27	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0
14543	22793	"Grünsee Reschenscheideck"	46.86278	10.47806	60	"AWI"	60	776	3314	2026	0	0	0	0	0	0	0	5	3	0	18	1	0	0	0	0	0	0	4	0	184	0	0	0	0	0	0	7	0	0	0	0	1	0	0	18	0	19	0	92	64	0	26	0	0	0	3	0	0	1	0	0	3	2	0	0	0	0	0	0	0	2	2	1
14543	22793	"Grünsee Reschenscheideck"	46.86278	10.47806	80	"AWI"	80	1200	3891	2729	2	0	21	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	2	0	47	0	0	0	0	0	0	5	0	0	0	0	0	3	0	8	0	1	0	27	42	0	11	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14543	22793	"Grünsee Reschenscheideck"	46.86278	10.47806	100	"AWI"	100	2453	4046	3312	1	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	7	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	69	0	0	13	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
14543	22793	"Grünsee Reschenscheideck"	46.86278	10.47806	120	"AWI"	120	3207	4389	3934	6	1	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	6	0	121	0	0	0	0	0	0	4	1	0	2	0	0	2	0	17	0	2	1	135	0	0	22	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0
14543	22793	"Grünsee Reschenscheideck"	46.86278	10.47806	140	"AWI"	140	3976	4613	4314	6	0	28	0	0	0	0	0	4	0	21	0	1	0	0	0	0	0	3	0	110	0	0	0	0	0	0	4	0	0	0	0	0	1	0	24	0	2	0	185	0	0	22	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
14543	22793	"Grünsee Reschenscheideck"	46.86278	10.47806	160	"AWI"	160	4185	5390	4660	0	0	0	1	0	0	0	0	2	0	7	0	0	0	0	0	0	0	2	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	0	71	0	0	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0
14543	22793	"Grünsee Reschenscheideck"	46.86278	10.47806	180	"AWI"	180	4365	5783	4967	2	0	0	0	0	1	0	0	2	0	10	0	0	0	0	0	0	0	2	0	280	0	0	0	0	0	0	1	0	0	0	0	0	3	0	10	0	0	0	139	0	0	38	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
14543	22793	"Grünsee Reschenscheideck"	46.86278	10.47806	200	"AWI"	200	4522	6302	5247	3	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	1	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	48	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
