"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3299	4283	"Mossen"	60.12146	21.58979	195	"AWI"	195	1235	1664	1434	0.134408602150538	6.45161290322581	0	0	0.268817204301075	0	44.0860215053763	0	0	0	0	0	0.134408602150538	2.41935483870968	2.28494623655914	4.16666666666667	0	0	0.403225806451613	0.134408602150538	0	11.4247311827957	1.74731182795699	23.5215053763441	0	0	0	0	0	1.88172043010753	0	0	0	0	0	0.537634408602151	0	0	0.403225806451613	0	0
3299	4283	"Mossen"	60.12146	21.58979	200	"AWI"	200	1265	1723	1475	0	8.10092961487384	0	0	0.531208499335989	0	25.4980079681275	0	0	0	0	0	0	1.32802124833997	22.5763612217795	8.63213811420983	0	0.265604249667995	0.531208499335989	0.132802124833997	0	1.19521912350598	2.92164674634794	21.3811420982736	0	0	0	0.132802124833997	0	2.92164674634794	0.664010624169987	0	2.78884462151394	0	0.265604249667995	0	0	0.132802124833997	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	205	"AWI"	205	1309	1758	1520	0	13.0568356374808	0	0.307219662058372	0.614439324116744	0	30.7219662058372	0	0	0	0	0.614439324116744	0	0.768049155145929	14.900153609831	1.68970814132104	0	0	0.307219662058372	0.153609831029186	0.614439324116744	1.38248847926267	2.30414746543779	28.2642089093702	0	0	0	0.307219662058372	0	3.2258064516129	0.153609831029186	0	0	0	0	0.307219662058372	0	0	0.307219662058372	0	0
3299	4283	"Mossen"	60.12146	21.58979	210	"AWI"	210	1340	1806	1562	0	15.1079136690647	0	0.179856115107914	0.359712230215827	0	31.4748201438849	0	0	0	0	0.539568345323741	0	1.61870503597122	4.85611510791367	2.69784172661871	0	0	0.539568345323741	0.719424460431655	1.97841726618705	0.719424460431655	2.33812949640288	33.6330935251799	0	0	0	0.539568345323741	0	1.2589928057554	0.359712230215827	0	0	0.179856115107914	0	0	0	0.179856115107914	0.719424460431655	0	0
3299	4283	"Mossen"	60.12146	21.58979	215	"AWI"	215	1385	1845	1606	0.150375939849624	18.4962406015038	0	0	0	0	32.1804511278195	0	0	0	0	0	0.150375939849624	1.65413533834586	3.00751879699248	0	0	0	0.902255639097744	0.451127819548872	0.150375939849624	0.150375939849624	3.30827067669173	35.0375939849624	0	0	0	0	0	3.15789473684211	0.150375939849624	0	0	0	0	0	0.150375939849624	0.150375939849624	0.75187969924812	0	0
3299	4283	"Mossen"	60.12146	21.58979	220	"AWI"	220	1415	1898	1649	0.145348837209302	25.2906976744186	0	0.145348837209302	0.290697674418605	0	28.7790697674419	0	0	0	0	0	0.145348837209302	2.03488372093023	2.90697674418605	0.436046511627907	0	0	1.01744186046512	0.436046511627907	0	0.581395348837209	2.61627906976744	32.8488372093023	0	0	0	0	0	1.45348837209302	0	0	0	0	0.145348837209302	0.145348837209302	0	0	0.581395348837209	0	0
3299	4283	"Mossen"	60.12146	21.58979	225	"AWI"	225	1464	1928	1693	0	26.8518518518519	0	0	0	0	31.4814814814815	0	0	0.154320987654321	0	0	0.771604938271605	2.46913580246914	0.925925925925926	0	0	0	1.08024691358025	1.08024691358025	0	0.154320987654321	1.85185185185185	30.0925925925926	0	0	0	0	0	2.46913580246914	0	0	0	0	0.154320987654321	0	0	0	0.462962962962963	0	0
3299	4283	"Mossen"	60.12146	21.58979	230	"AWI"	230	1499	1978	1736	0.140449438202247	25.2808988764045	0	0.702247191011236	0.702247191011236	0	31.8820224719101	0	0	0	0	0	0.140449438202247	1.68539325842697	0.842696629213483	0	0	0	0.98314606741573	0.98314606741573	0	0.561797752808989	3.08988764044944	29.6348314606742	0	0	0	0.140449438202247	0.280898876404494	1.26404494382022	0.280898876404494	0	0	0	0.280898876404494	0.702247191011236	0	0	0.421348314606742	0	0
3299	4283	"Mossen"	60.12146	21.58979	235	"AWI"	235	1553	2008	1777	0.153374233128834	30.8282208588957	0	0	0.306748466257669	0	34.8159509202454	0	0	0	0	0.153374233128834	0.920245398773006	1.38036809815951	1.07361963190184	0	0	0	0.766871165644172	0.920245398773006	0.306748466257669	0	1.99386503067485	24.079754601227	0	0	0	0.153374233128834	0	1.53374233128834	0	0	0	0	0.153374233128834	0.460122699386503	0	0	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	240	"AWI"	240	1588	2051	1819	0	25.7668711656442	0	0	0.460122699386503	0	32.2085889570552	0	0	0	0	0	0.460122699386503	1.07361963190184	0.613496932515337	0	0	0.153374233128834	1.38036809815951	0.306748466257669	0	0	2.91411042944785	32.361963190184	0	0	0	0.153374233128834	0	1.84049079754601	0	0	0	0	0	0	0	0	0.153374233128834	0.153374233128834	0
3299	4283	"Mossen"	60.12146	21.58979	245	"AWI"	245	1626	2092	1860	0	28.28125	0	0	0.3125	0	29.375	0	0	0	0	0.15625	1.25	1.09375	0.9375	0	0	0.15625	1.09375	0	0	0	4.53125	30.625	0	0	0	0	0	1.25	0	0	0	0	0.15625	0.15625	0	0	0.625	0	0
3299	4283	"Mossen"	60.12146	21.58979	250	"AWI"	250	1649	2145	1901	0	26.3591433278418	0	0	0.164744645799012	0	21.9110378912685	0	0	0	0	0	0.988467874794069	1.97693574958814	0.329489291598023	0	0	0.164744645799012	0.988467874794069	0.658978583196046	0	0.164744645799012	6.91927512355848	36.0790774299835	0	0	0	0	0	1.4827018121911	0	0.164744645799012	0	0.164744645799012	0.658978583196046	0	0	0.329489291598023	0.494233937397035	0	0
3299	4283	"Mossen"	60.12146	21.58979	255	"AWI"	255	1685	2194	1938	0	22.08	0	0.16	0.16	0	31.2	0	0	0	0	0	0	1.28	0.48	0	0	0	0.96	0.48	0	0.16	5.12	35.84	0	0	0	0	0	1.12	0	0	0	0	0.48	0	0	0	0.48	0	0
3299	4283	"Mossen"	60.12146	21.58979	260	"AWI"	260	1712	2258	1973	0	23.3552631578947	0	0	0.657894736842105	0	25.9868421052632	0	0	0	0	0	0.328947368421053	0.986842105263158	0.328947368421053	0	0	0	1.31578947368421	0.986842105263158	0	0	10.5263157894737	32.8947368421053	0	0	0	0	0	1.97368421052632	0.328947368421053	0	0	0	0	0.328947368421053	0	0	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	265	"AWI"	265	1745	2301	2010	0	27.2727272727273	0	0	1.13636363636364	0	19.8863636363636	0	0	0	0	0	1.13636363636364	0.568181818181818	0.568181818181818	0	0	0	0	0	0	0	9.09090909090909	36.9318181818182	0	0	0	0	0	0.568181818181818	0	0	0	0	0	1.70454545454545	0	0	1.13636363636364	0	0
3299	4283	"Mossen"	60.12146	21.58979	270	"AWI"	270	1773	2364	2045	0	13.3333333333333	0	0	0	0	24.7619047619048	0	0	0	0	0	0.952380952380952	3.80952380952381	0	0	0	0	0	1.9047619047619	0	0	13.3333333333333	39.0476190476191	0	0	0	0	0	0.952380952380952	0	0	0	0	0.952380952380952	0	0	0	0.952380952380952	0	0
3299	4283	"Mossen"	60.12146	21.58979	275	"AWI"	275	1802	2405	2081	0	19.5250659630607	0.263852242744063	0	1.84696569920844	0	26.3852242744063	0	0	0	0	0	0.527704485488127	3.69393139841689	0	0	0	0.263852242744063	0	0.79155672823219	0	0.263852242744063	8.70712401055409	31.9261213720317	0	0	0	0	0	4.48548812664908	0	0	0	0	0.527704485488127	0.263852242744063	0	0.263852242744063	0.263852242744063	0	0
