"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Colchicaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ligustrum"	"Lythraceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
26642	46648	"Pfafforetsee"	46.29951	7.58686	0.5	"AWI"	0.5	-53.5	-50	-51.5	2	0	43	0	0	0	1	6	0	60	0	1	0	0	6	0	0	3	0	0	0	15	0	4	0	0	0	0	2	1	13	0	0	0	1	1	0	3	1	0	1	0	0	16	258	0	1	28	0	6	0	5	0	0	0	2	0	2	0	13	2	0	1	1	2	15	0	1	1	1	1	0	1
26642	46648	"Pfafforetsee"	46.29951	7.58686	1.5	"AWI"	1.5	-52.5	-49.5	-51	0	1	16	0	1	0	0	1	0	30	0	0	0	0	0	0	0	0	0	0	0	10	0	9	0	0	0	0	0	0	12	0	0	0	0	1	0	7	0	0	0	0	0	14	245	0	0	38	0	6	0	12	0	0	0	0	0	0	0	3	0	0	0	0	1	6	0	0	1	0	3	0	0
26642	46648	"Pfafforetsee"	46.29951	7.58686	3.5	"AWI"	3.5	-51	-48.5	-50	2	0	23	0	0	0	1	1	0	48	0	1	0	0	7	0	0	2	0	0	0	12	0	3	0	0	0	0	6	0	9	0	0	0	0	0	0	2	0	0	0	0	0	32	234	0	0	32	0	6	0	13	0	0	0	0	0	1	0	4	0	1	0	0	0	4	0	0	0	0	1	0	1
26642	46648	"Pfafforetsee"	46.29951	7.58686	5.5	"AWI"	5.5	-50.5	-47	-49	0	2	56	0	0	0	0	1	0	94	0	4	0	1	0	0	0	0	0	0	0	32	1	7	0	0	0	0	2	0	12	0	0	0	0	0	0	3	0	0	0	0	1	23	236	0	0	39	0	17	1	11	0	0	0	0	0	1	0	10	1	0	0	0	0	5	0	0	0	0	3	0	1
26642	46648	"Pfafforetsee"	46.29951	7.58686	8.5	"AWI"	8.5	-48	-45.5	-47	0	1	32	0	0	0	0	2	0	67	0	0	0	1	0	0	0	0	0	0	0	26	0	6	2	0	0	0	3	1	10	0	0	0	0	1	0	0	1	1	0	0	3	14	237	0	0	44	0	6	1	11	0	0	0	1	0	0	0	7	1	0	0	0	0	0	0	1	0	1	0	0	0
26642	46648	"Pfafforetsee"	46.29951	7.58686	11.5	"AWI"	11.5	-46.5	-44	-45	2	1	47	0	0	0	0	4	0	83	3	2	0	0	6	0	0	0	0	0	2	20	0	8	0	0	0	0	5	2	13	0	0	0	0	1	0	3	0	0	0	0	0	24	229	0	0	44	0	8	2	11	0	0	0	3	0	0	0	15	1	0	0	0	0	2	0	1	1	0	3	0	2
26642	46648	"Pfafforetsee"	46.29951	7.58686	13.5	"AWI"	13.5	-45.5	-42.5	-44	1	0	29	0	0	0	1	5	0	70	0	3	0	0	3	0	0	1	0	0	0	22	0	12	0	0	0	0	3	0	5	0	0	1	2	1	0	5	0	0	2	0	2	21	250	0	1	44	0	9	0	17	0	0	0	0	0	0	0	13	11	0	0	0	0	5	0	0	0	0	4	0	0
26642	46648	"Pfafforetsee"	46.29951	7.58686	15.5	"AWI"	15.5	-44.5	-41	-43	1	0	44	0	0	0	0	4	0	77	1	3	0	0	13	0	0	0	0	0	0	14	1	10	1	0	0	0	2	3	12	0	0	0	0	1	0	1	0	0	0	2	0	21	241	0	0	46	0	10	1	12	0	0	1	0	0	3	0	16	1	0	0	0	0	4	0	0	0	3	1	0	3
26642	46648	"Pfafforetsee"	46.29951	7.58686	17.5	"AWI"	17.5	-44	-39.5	-41.5	1	0	52	0	0	0	0	5	0	87	1	3	0	0	10	0	0	2	2	0	0	17	0	4	2	0	0	0	2	1	9	0	0	0	1	3	0	2	0	0	0	0	0	12	226	0	0	42	0	21	0	4	0	0	0	0	0	2	0	14	1	0	0	0	1	1	0	1	0	0	2	0	2
26642	46648	"Pfafforetsee"	46.29951	7.58686	19.5	"AWI"	19.5	-43	-37.5	-40.5	1	0	51	0	0	0	0	7	0	73	0	2	0	0	11	0	0	0	0	0	0	13	0	2	1	0	0	0	3	1	3	0	0	0	2	2	0	0	0	0	0	0	0	14	245	0	0	55	0	2	3	8	0	0	0	1	0	0	0	8	2	0	0	0	1	0	0	0	2	0	1	0	2
