"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Lamiaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
3407	4415	"Shombashuo"	65.09296	32.96292	5	"AWI"	5	-75	440	89	0	4	0	0	0	0	0	0	0	10	0	28	0	0	0	10	251	17	0	0	0	1	0	0	0	0	0	0	0
3407	4415	"Shombashuo"	65.09296	32.96292	25	"AWI"	25	115	2037	737	0	7	0	0	0	0	0	0	0	20	0	1	0	0	0	25	247	21	0	0	0	2	0	0	0	0	0	0	0
3407	4415	"Shombashuo"	65.09296	32.96292	50	"AWI"	50	589	3238	1661	0	4	0	0	0	0	0	0	0	48	0	0	0	0	0	23	162	10	0	0	0	0	0	0	0	0	0	0	0
3407	4415	"Shombashuo"	65.09296	32.96292	75	"AWI"	75	1181	4066	2611	1	5	0	0	2	0	0	0	1	67	0	5	0	2	0	29	171	30	0	0	1	0	0	0	0	1	0	1	2
3407	4415	"Shombashuo"	65.09296	32.96292	100	"AWI"	100	2002	4772	3537	1	9	0	0	1	0	167	0	2	25	0	17	1	1	0	32	188	16	0	0	2	1	1	0	0	0	0	0	2
3407	4415	"Shombashuo"	65.09296	32.96292	125	"AWI"	125	3044	5296	4415	1	5	0	1	0	0	0	0	2	6	0	10	0	0	1	16	68	13	0	0	1	1	1	0	1	1	0	1	0
3407	4415	"Shombashuo"	65.09296	32.96292	150	"AWI"	150	4502	5684	5274	1	19	0	0	1	1	0	0	3	14	0	19	0	0	0	35	139	20	0	0	1	0	0	0	1	2	0	1	4
3407	4415	"Shombashuo"	65.09296	32.96292	175	"AWI"	175	5092	6215	5769	1	15	0	0	2	0	235	0	2	44	0	15	5	1	0	10	75	4	0	0	0	1	7	2	2	0	0	1	2
3407	4415	"Shombashuo"	65.09296	32.96292	200	"AWI"	200	5392	6661	6057	0	37	0	2	4	1	293	0	1	27	0	4	2	0	0	4	144	8	0	0	0	2	0	0	0	1	0	1	5
3407	4415	"Shombashuo"	65.09296	32.96292	225	"AWI"	225	5702	7031	6370	0	14	0	0	1	0	224	0	4	50	0	0	0	0	0	4	208	6	0	0	0	2	1	0	1	0	0	0	1
3407	4415	"Shombashuo"	65.09296	32.96292	250	"AWI"	250	5981	7355	6684	0	4	0	0	1	0	0	1	3	41	0	1	1	0	0	2	139	5	0	0	0	1	0	0	0	4	0	0	2
3407	4415	"Shombashuo"	65.09296	32.96292	275	"AWI"	275	6255	7677	6987	0	0	0	0	2	0	0	0	0	42	0	0	0	0	0	0	104	2	0	0	0	0	0	0	0	3	0	0	0
