"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cistaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Olea"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus.evg.type"
14465	22644	"Salada Pequeña"	41.03333	-0.21667	0	"AWI"	0	-127	37	-44	0	216	1	31	0	0	1	1	0	2	0	1	0	0	13	0	101	2	59	3	83	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	24	"AWI"	24	103	388	234	0	522	0	19	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	0	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	40	"AWI"	40	266	585	423	1	69	0	51	0	0	0	0	0	0	0	0	0	0	1	0	0	0	37	1	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	48	"AWI"	48	352	686	517	0	123	0	17	0	0	0	0	0	0	0	0	0	0	11	0	0	1	61	0	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	56	"AWI"	56	443	780	609	0	98	0	19	0	0	0	0	0	0	0	0	0	0	4	0	0	1	50	0	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	64	"AWI"	64	535	869	704	0	52	0	19	0	1	0	0	0	0	0	0	0	0	6	0	1	0	40	1	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	72	"AWI"	72	631	960	798	3	48	0	54	0	0	0	0	0	0	0	0	0	0	8	0	0	3	55	2	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	80	"AWI"	80	726	1049	891	0	80	1	57	0	0	0	0	0	0	0	0	0	0	8	0	0	0	61	2	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	104	"AWI"	104	1040	1279	1168	0	210	0	29	0	0	0	0	0	0	0	0	0	0	20	0	3	1	35	2	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	120	"AWI"	120	1217	1531	1374	0	38	0	15	0	0	0	0	0	0	0	0	0	0	14	0	0	0	37	0	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	128	"AWI"	128	1308	1639	1472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	211	0	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	136	"AWI"	136	1402	1742	1573	1	6	0	24	0	0	0	0	0	0	0	0	0	0	1	0	0	0	212	0	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	144	"AWI"	144	1500	1843	1672	0	94	0	63	0	0	0	0	0	0	0	1	1	0	5	0	0	2	180	6	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	152	"AWI"	152	1599	1942	1773	0	258	0	67	0	0	0	0	0	2	0	0	1	0	4	1	0	1	170	9	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	160	"AWI"	160	1698	2037	1875	0	118	0	59	0	0	0	1	0	0	0	0	0	0	7	0	2	3	171	0	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	168	"AWI"	168	1808	2129	1974	0	203	2	73	0	0	0	0	0	0	0	0	0	0	5	0	1	1	172	4	47	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	176	"AWI"	176	1919	2217	2073	0	184	0	79	0	0	1	0	0	0	0	3	0	0	9	0	0	3	151	2	54	0	28
14465	22644	"Salada Pequeña"	41.03333	-0.21667	184	"AWI"	184	2036	2298	2171	3	217	0	68	0	0	0	0	0	4	0	2	0	0	6	0	2	3	127	0	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	192	"AWI"	192	2131	2397	2269	0	223	0	51	0	0	0	0	0	0	0	0	0	0	4	0	1	0	82	2	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	200	"AWI"	200	2225	2506	2366	1	286	0	83	0	0	0	0	0	1	0	0	1	0	4	0	0	0	161	6	56	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	208	"AWI"	208	2315	2607	2461	1	109	0	23	0	0	0	0	0	2	0	2	0	0	3	0	0	3	99	1	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	216	"AWI"	216	2409	2707	2557	3	231	0	71	6	0	0	0	0	0	0	0	0	0	1	1	0	0	123	5	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	224	"AWI"	224	2512	2805	2652	3	258	1	51	0	0	0	0	1	0	0	1	0	0	9	0	0	0	139	4	43	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	232	"AWI"	232	2615	2898	2745	0	133	0	39	0	0	0	0	0	1	0	0	2	1	5	0	0	0	171	4	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	240	"AWI"	240	2724	3003	2842	0	355	0	77	0	0	0	0	0	0	0	0	0	1	2	0	0	2	100	11	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	248	"AWI"	248	2798	3124	2939	0	524	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	256	"AWI"	256	2876	3253	3039	0	514	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	264	"AWI"	264	2955	3370	3138	0	426	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	60	1	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	272	"AWI"	272	3037	3485	3238	0	501	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	280	"AWI"	280	3124	3605	3336	0	510	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	4	46	1	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	288	"AWI"	288	3208	3720	3434	0	163	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	25	0	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	304	"AWI"	304	3378	3943	3633	0	514	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	9
14465	22644	"Salada Pequeña"	41.03333	-0.21667	312	"AWI"	312	3466	4060	3733	2	217	0	77	0	0	0	0	0	4	2	0	1	0	5	0	1	4	125	2	0	0	31
14465	22644	"Salada Pequeña"	41.03333	-0.21667	320	"AWI"	320	3548	4173	3832	0	108	0	9	0	1	2	0	0	0	0	0	0	0	1	0	0	0	61	0	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	328	"AWI"	328	3634	4284	3929	0	153	0	6	0	0	0	0	0	4	0	0	0	0	1	0	0	2	179	0	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	336	"AWI"	336	3724	4393	4027	0	94	0	4	0	0	0	0	0	8	0	0	0	0	4	0	0	0	70	0	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	344	"AWI"	344	3810	4504	4128	3	88	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	44	1	0	0	5
14465	22644	"Salada Pequeña"	41.03333	-0.21667	352	"AWI"	352	3897	4614	4228	1	91	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	74	0	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	360	"AWI"	360	3988	4723	4325	1	136	0	8	0	0	0	0	0	10	0	0	0	0	1	0	0	0	120	0	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	368	"AWI"	368	4078	4834	4425	0	57	0	7	0	0	0	0	0	0	0	2	0	0	4	0	0	0	121	0	0	1	6
14465	22644	"Salada Pequeña"	41.03333	-0.21667	376	"AWI"	376	4165	4939	4522	0	37	0	6	0	0	0	0	0	9	0	0	0	0	2	0	0	0	107	0	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	384	"AWI"	384	4249	5054	4623	0	31	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	39	0	0	0	0
14465	22644	"Salada Pequeña"	41.03333	-0.21667	396	"AWI"	396	4384	5212	4771	0	87	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0
