"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Cedrus"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"
14277	22352	"Soumarské rašelinište"	48.902724	13.837848	0	"AWI"	0	-149	21	-58	3	0	8	1	0	0	0	0	23	0	0	0	0	0	0	4	1	0	0	0	12	1	0	0	0	0	0	0	0	79	131	0	30	0	0	1	3	0	0	0	0	3	2	0	0	0	0	0	0	1
14277	22352	"Soumarské rašelinište"	48.902724	13.837848	30	"AWI"	30	108	1147	462	38	0	39	0	0	0	1	0	21	0	0	0	0	0	0	18	2	0	0	0	73	0	0	0	0	0	0	0	3	76	44	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	4
14277	22352	"Soumarské rašelinište"	48.902724	13.837848	40	"AWI"	40	221	1394	659	13	0	22	0	0	0	0	0	38	0	0	0	0	0	0	10	5	0	0	0	56	0	2	0	0	0	0	0	3	51	98	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
14277	22352	"Soumarské rašelinište"	48.902724	13.837848	50	"AWI"	50	333	1644	847	21	1	27	0	0	0	4	0	47	0	0	0	0	0	0	17	1	0	13	0	37	0	0	0	0	0	0	0	1	63	225	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	1
14277	22352	"Soumarské rašelinište"	48.902724	13.837848	60	"AWI"	60	470	1857	1036	30	0	41	3	0	0	0	0	23	0	0	0	0	0	0	8	1	0	3	0	98	1	0	0	0	0	0	0	12	73	60	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	2
14277	22352	"Soumarské rašelinište"	48.902724	13.837848	70	"AWI"	70	604	2059	1220	47	1	54	0	0	0	0	0	37	1	0	0	0	0	0	18	0	0	0	0	63	0	0	0	0	0	0	0	4	71	120	0	0	0	0	0	16	0	0	0	0	2	1	0	0	0	0	0	1	0
14277	22352	"Soumarské rašelinište"	48.902724	13.837848	80	"AWI"	80	747	2262	1400	135	0	32	0	0	0	0	0	23	0	0	0	0	0	0	9	0	0	0	0	109	0	0	0	0	0	0	0	2	63	47	0	0	0	0	0	12	0	0	0	0	3	0	0	0	0	0	0	0	2
14277	22352	"Soumarské rašelinište"	48.902724	13.837848	90	"AWI"	90	893	2463	1601	35	0	7	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	13	28	0	0	0	0	0	4	0	0	0	0	2	1	0	0	0	0	0	0	0
14277	22352	"Soumarské rašelinište"	48.902724	13.837848	120	"AWI"	120	1337	3096	2154	72	0	36	0	0	0	2	0	18	0	0	0	0	0	0	18	6	0	0	0	85	1	0	0	0	0	0	0	1	49	52	0	0	0	0	0	14	0	0	0	0	0	1	0	0	0	0	0	0	0
14277	22352	"Soumarské rašelinište"	48.902724	13.837848	130	"AWI"	130	1504	3280	2348	51	1	27	0	0	0	0	0	14	0	0	1	0	0	0	23	0	0	0	0	42	0	0	0	0	0	0	0	1	41	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14277	22352	"Soumarské rašelinište"	48.902724	13.837848	140	"AWI"	140	1673	3449	2526	155	0	23	0	0	0	0	0	17	0	0	0	0	0	0	25	1	0	0	0	56	0	0	0	0	0	0	0	2	82	18	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	2
14277	22352	"Soumarské rašelinište"	48.902724	13.837848	150	"AWI"	150	1847	3626	2717	109	0	13	0	0	0	1	0	10	0	0	2	0	0	0	12	0	0	0	0	58	0	0	0	0	0	0	0	1	137	20	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
14277	22352	"Soumarské rašelinište"	48.902724	13.837848	160	"AWI"	160	2013	3819	2895	47	0	5	0	0	0	0	0	8	0	0	0	0	0	0	5	0	0	0	0	18	0	0	0	0	0	0	0	0	57	8	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0
14277	22352	"Soumarské rašelinište"	48.902724	13.837848	170	"AWI"	170	2167	4001	3087	40	0	32	0	0	0	0	0	22	0	0	1	0	0	0	19	2	0	0	0	75	1	0	0	0	0	0	0	0	160	17	0	0	0	0	0	13	0	0	0	0	1	0	1	0	0	0	0	0	1
