"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
23673	46280	"Moossee"	47.02139	7.48381	0.5	"AWI"	0.5	-131	-2.5	-66.5	6	1	0	1	0	0	0	3	0	0	0	0	4	0	0	0	0	0	2	0	0	0	23	0	14	0	0	0	0	0	30	0	11	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	7	0	0	35	0	0	0	0	0	1	0	0	29	0	0	0	0	1	6	8	0	0	0	0	1	0	0	0	0	2	0	0
23673	46280	"Moossee"	47.02139	7.48381	32	"AWI"	32	-72	151	19	0	0	0	4	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	5	0	5	0	0	0	0	0	13	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	25	0	0	0	0	0	0	0	0	11	0	0	1	0	1	7	5	0	0	0	0	0	0	0	0	2	4	0	0
23673	46280	"Moossee"	47.02139	7.48381	64	"AWI"	64	-6	242	133	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	14	0	15	0	0	0	0	0	18	0	4	0	0	0	0	0	0	3	5	0	0	0	0	0	0	1	0	0	4	0	0	14	0	0	0	0	0	0	0	0	12	0	0	0	0	1	14	5	0	0	0	0	1	0	0	0	2	1	0	0
23673	46280	"Moossee"	47.02139	7.48381	96	"AWI"	96	107	331	241	11	0	0	2	0	0	0	3	0	0	0	0	1	0	0	0	0	0	3	0	0	0	34	0	21	0	0	0	0	0	39	0	2	0	0	0	0	0	0	1	14	0	0	0	0	0	0	1	0	0	2	0	0	34	0	0	0	0	0	0	0	1	43	0	0	0	0	0	20	7	0	0	0	0	1	0	0	0	1	5	0	0
23673	46280	"Moossee"	47.02139	7.48381	128	"AWI"	128	201	425	344	3	3	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	28	0	19	0	0	0	0	0	64	0	2	0	0	0	0	0	0	3	30	0	0	0	0	0	0	1	0	0	0	0	0	20	0	0	0	0	0	0	0	1	102	0	0	1	0	2	15	4	0	0	0	0	0	0	1	0	1	4	0	0
23673	46280	"Moossee"	47.02139	7.48381	160	"AWI"	160	346	499	434	3	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	2	0	0	0	46	0	33	0	0	0	0	0	49	0	0	0	0	0	0	0	0	2	28	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	0	0	0	1	0	1	138	0	0	0	0	1	12	5	0	0	0	0	1	0	0	0	1	9	0	0
23673	46280	"Moossee"	47.02139	7.48381	192	"AWI"	192	495	587	530	1	0	0	1	0	0	0	5	0	0	0	0	2	1	0	0	0	0	1	0	0	0	84	0	22	0	0	0	0	0	32	0	0	0	0	0	0	0	0	4	33	0	0	0	0	0	0	0	0	0	4	0	0	9	0	0	0	0	0	0	0	0	79	0	0	0	0	0	7	5	0	0	0	0	0	0	2	0	0	4	0	0
23673	46280	"Moossee"	47.02139	7.48381	208	"AWI"	208	568	746	648	2	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	4	0	0	0	32	0	28	0	0	0	0	0	16	0	2	0	0	0	0	0	0	4	7	0	0	0	0	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	37	0	0	0	0	0	9	4	0	0	0	0	0	0	0	0	1	7	0	0
23673	46280	"Moossee"	47.02139	7.48381	240	"AWI"	240	918	1028	943	6	0	0	1	0	0	0	13	0	0	0	0	5	0	0	0	0	0	2	0	0	0	26	0	31	0	0	0	0	0	30	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	12	0	0	0	0	0	1	0	0	40	0	0	0	0	0	6	9	0	0	0	0	0	0	0	0	0	13	0	0
23673	46280	"Moossee"	47.02139	7.48381	256	"AWI"	256	970	1117	1020	5	0	0	0	0	0	0	10	0	0	0	0	4	0	0	0	0	0	1	0	0	0	42	0	27	0	0	0	0	0	64	0	7	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	4	0	0	10	0	0	0	0	0	0	0	0	75	0	0	0	0	0	13	4	0	0	0	0	0	0	0	0	2	19	0	0
