"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Vitaceae"
15915	24507	"Challerie"	47.85861	1.69972	9	"AWI"	9	-72	327	60	0	0	35	3	0	1	3	35	12	2	5	0	0	6	0	0	2	1	0	0	0	1	1	51	0	0	0	0	0	1	3	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	20	2	0	63	0	0	1	13	0	3	0	0	1	0	36	0	0	0	2	1	1	0	0	0	0	0	0
15915	24507	"Challerie"	47.85861	1.69972	14	"AWI"	14	-58	534	120	0	0	39	7	10	0	0	57	6	1	6	0	0	1	0	1	2	0	0	0	0	3	0	28	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	35	0	0	64	0	0	0	13	0	0	0	0	1	0	16	0	0	0	2	0	0	0	0	0	0	0	0
15915	24507	"Challerie"	47.85861	1.69972	20	"AWI"	20	-13	693	200	1	0	29	4	2	0	1	0	19	3	3	0	0	7	0	1	3	0	0	1	0	2	0	79	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	16	2	0	61	0	0	0	5	0	0	0	0	0	0	6	0	0	0	2	0	0	0	1	0	0	0	1
15915	24507	"Challerie"	47.85861	1.69972	30	"AWI"	30	35	800	357	0	0	9	5	2	0	0	0	7	0	9	0	0	10	0	0	0	0	0	0	0	2	0	121	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	15	5	0	66	0	0	0	8	0	0	0	0	1	0	4	0	0	0	2	0	0	0	0	0	0	0	0
15915	24507	"Challerie"	47.85861	1.69972	40	"AWI"	40	159	924	509	0	0	2	2	5	0	0	36	0	0	6	0	0	5	0	2	0	0	0	0	0	3	0	225	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	1	0	2	0	0	47	0	0	0	7	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
15915	24507	"Challerie"	47.85861	1.69972	50	"AWI"	50	246	1052	668	0	0	6	3	3	0	0	0	9	0	2	0	0	4	0	0	0	0	0	0	0	5	0	183	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	4	0	52	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
15915	24507	"Challerie"	47.85861	1.69972	61	"AWI"	61	407	1153	837	0	0	15	0	9	0	2	0	17	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	13	0	0	0	0	2	0	5	0	0	0	1	0	0	0	0	0	0	0	0
15915	24507	"Challerie"	47.85861	1.69972	70	"AWI"	70	501	1250	976	0	0	6	4	5	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	14	0	129	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	9	0	39	0	0	0	35	0	2	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0
15915	24507	"Challerie"	47.85861	1.69972	80	"AWI"	80	816	1299	1109	0	0	4	0	2	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	4	0	210	0	0	0	0	0	3	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	3	0	39	0	0	0	22	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
15915	24507	"Challerie"	47.85861	1.69972	90	"AWI"	90	963	1369	1242	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	4	1	0	35	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
