"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Juniperus"	"Ligustrum"	"Liliaceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14272	22342	"Malá niva"	48.912768	13.813122	2	"AWI"	2	-108	64	-27	3	0	7	1	1	0	1	0	9	1	0	0	1	0	0	0	0	0	9	0	0	1	0	0	0	0	0	1	86	165	0	56	0	3	0	0	0	11	0	0	0	0	0	3	0	0
14272	22342	"Malá niva"	48.912768	13.813122	7	"AWI"	7	-81	206	25	3	0	2	0	0	0	0	0	15	0	0	0	0	5	2	0	0	0	12	0	0	0	0	0	0	0	0	0	48	103	0	0	0	5	0	0	0	7	1	0	1	0	0	1	0	0
14272	22342	"Malá niva"	48.912768	13.813122	10	"AWI"	10	-72	308	54	20	0	16	1	0	0	2	0	20	0	4	0	1	0	16	0	0	0	36	0	0	0	1	0	0	1	0	1	30	180	0	55	0	9	0	0	0	14	3	0	0	1	0	1	0	1
14272	22342	"Malá niva"	48.912768	13.813122	20	"AWI"	20	-10	504	179	18	1	8	0	0	0	0	0	48	0	2	0	1	8	4	0	0	0	56	0	0	1	2	0	0	0	0	0	62	90	0	25	0	15	0	0	1	8	0	0	0	0	0	0	0	0
14272	22342	"Malá niva"	48.912768	13.813122	30	"AWI"	30	63	659	298	56	1	7	1	0	0	1	2	30	0	0	0	0	3	0	0	0	0	46	0	0	0	1	0	0	0	0	1	65	36	0	0	0	5	0	0	0	1	1	0	0	0	0	2	0	0
14272	22342	"Malá niva"	48.912768	13.813122	40	"AWI"	40	144	784	420	53	0	9	0	2	0	2	0	27	0	0	0	0	8	1	0	0	0	71	0	0	0	0	0	0	0	0	3	100	46	0	7	0	6	0	0	0	0	0	0	0	0	0	2	0	0
14272	22342	"Malá niva"	48.912768	13.813122	43	"AWI"	43	182	815	460	100	1	9	0	0	0	1	0	43	0	1	1	0	12	5	0	0	0	85	1	0	0	0	0	0	0	0	3	110	55	0	6	0	19	0	0	0	3	0	0	0	0	2	1	0	0
14272	22342	"Malá niva"	48.912768	13.813122	50	"AWI"	50	238	913	553	69	0	1	1	1	0	3	0	23	0	0	0	0	5	2	0	0	0	40	0	0	0	0	0	0	0	0	3	100	80	0	6	0	9	0	0	0	0	0	0	0	0	1	0	0	0
14272	22342	"Malá niva"	48.912768	13.813122	60	"AWI"	60	341	1033	675	62	1	12	0	1	0	0	0	32	0	0	0	0	3	1	0	0	0	50	1	0	0	0	0	0	0	0	4	53	63	0	0	0	12	0	0	0	0	0	0	0	0	1	1	0	0
14272	22342	"Malá niva"	48.912768	13.813122	70	"AWI"	70	438	1149	797	78	0	23	0	0	0	1	0	13	0	0	0	0	10	2	0	0	0	75	3	0	0	0	0	0	0	0	7	85	61	0	0	0	10	0	0	0	2	1	0	0	0	0	2	1	0
14272	22342	"Malá niva"	48.912768	13.813122	80	"AWI"	80	550	1254	918	52	0	7	0	0	0	0	0	12	0	0	0	0	9	1	0	0	0	72	0	0	0	0	0	0	0	0	7	52	52	0	0	0	6	0	0	0	0	0	0	0	0	1	3	0	0
14272	22342	"Malá niva"	48.912768	13.813122	90	"AWI"	90	689	1356	1034	155	0	20	0	0	0	0	0	19	0	0	0	0	8	5	0	0	0	70	2	0	0	0	0	0	0	0	3	56	45	0	0	0	11	0	0	0	0	0	1	0	0	0	2	0	0
14272	22342	"Malá niva"	48.912768	13.813122	100	"AWI"	100	803	1449	1160	54	0	37	1	0	0	1	0	22	0	0	0	0	8	0	0	0	0	110	1	1	0	0	1	0	1	0	7	40	41	0	0	0	12	0	0	0	1	0	0	0	0	2	3	2	0
14272	22342	"Malá niva"	48.912768	13.813122	110	"AWI"	110	937	1548	1284	53	1	26	0	0	0	1	0	11	0	0	0	0	7	0	0	0	0	85	0	0	0	0	0	0	0	0	3	56	30	0	0	0	3	0	0	0	1	0	0	0	0	1	2	0	0
14272	22342	"Malá niva"	48.912768	13.813122	120	"AWI"	120	1081	1627	1401	80	1	12	0	0	0	0	0	3	0	0	0	0	3	1	0	0	0	39	0	0	0	0	0	0	0	0	1	66	22	0	0	0	13	0	0	0	0	0	0	0	0	0	3	0	0
14272	22342	"Malá niva"	48.912768	13.813122	130	"AWI"	130	1258	1697	1522	48	0	37	0	0	0	0	0	13	0	0	0	0	10	4	0	0	0	56	2	0	0	0	0	0	0	0	13	70	130	0	0	0	11	0	0	0	0	0	0	0	0	0	1	0	0
