"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
15823	24341	"Mount Voras"	41.01972	21.91222	0	"AWI"	0	-133	34	-41	5	2	7	17	7	18	13	14	1	0	3	7	0	8	278	1	2	0	124	5	3	62	23	1	182	30	188	88	1	14	6	23	12	5	0	1
15823	24341	"Mount Voras"	41.01972	21.91222	10	"AWI"	10	-70	302	60	5	1	3	15	3	17	9	8	18	0	2	10	1	5	405	0	4	8	118	7	5	33	12	2	209	49	192	60	7	17	3	24	6	6	1	1
15823	24341	"Mount Voras"	41.01972	21.91222	20	"AWI"	20	-1	490	175	6	1	1	9	3	25	15	7	14	2	13	7	0	5	737	1	3	5	79	0	3	22	16	0	191	60	280	55	1	7	0	37	10	1	1	2
15823	24341	"Mount Voras"	41.01972	21.91222	30	"AWI"	30	72	635	298	4	0	6	14	0	22	10	7	6	0	8	3	0	4	159	0	0	1	234	0	2	13	30	0	96	40	149	55	6	7	4	16	5	0	0	0
15823	24341	"Mount Voras"	41.01972	21.91222	40	"AWI"	40	155	774	423	7	0	5	9	7	19	32	2	9	0	3	4	3	3	767	0	0	3	122	9	1	27	19	0	218	27	293	79	4	7	3	7	6	5	1	1
15823	24341	"Mount Voras"	41.01972	21.91222	50	"AWI"	50	244	897	542	3	0	3	7	0	17	7	2	3	0	1	3	4	2	390	0	0	0	125	7	0	17	0	0	185	34	129	69	5	11	1	8	3	0	0	0
15823	24341	"Mount Voras"	41.01972	21.91222	60	"AWI"	60	347	1018	664	4	0	5	2	2	7	8	2	4	0	1	0	0	7	145	0	0	0	94	0	2	10	0	0	108	22	133	46	4	2	1	12	0	0	0	0
15823	24341	"Mount Voras"	41.01972	21.91222	70	"AWI"	70	458	1130	783	4	2	3	2	2	9	9	3	1	0	0	2	0	7	220	0	1	0	158	0	0	5	31	0	136	18	187	54	5	6	4	6	2	2	0	1
15823	24341	"Mount Voras"	41.01972	21.91222	80	"AWI"	80	588	1256	901	6	1	2	4	2	19	12	0	0	0	2	0	1	4	399	0	3	1	165	0	1	16	26	1	89	27	196	37	0	7	1	9	0	2	0	0
15823	24341	"Mount Voras"	41.01972	21.91222	90	"AWI"	90	737	1370	1020	12	0	7	3	3	15	19	1	1	0	6	2	3	3	106	0	0	5	70	1	2	9	0	0	106	30	91	32	1	12	2	4	3	2	1	1
15823	24341	"Mount Voras"	41.01972	21.91222	100	"AWI"	100	901	1509	1137	16	0	5	0	4	5	37	1	1	0	4	0	1	2	33	0	0	1	175	0	0	0	0	0	110	7	0	44	1	2	0	0	1	0	1	0
15823	24341	"Mount Voras"	41.01972	21.91222	110	"AWI"	110	1135	1670	1284	18	0	22	4	22	6	36	1	3	0	20	0	0	4	433	0	0	9	187	0	3	4	0	0	87	7	156	78	2	3	2	29	3	4	2	1
15823	24341	"Mount Voras"	41.01972	21.91222	115	"AWI"	115	1266	2352	1581	30	0	6	3	8	5	18	0	3	0	19	6	0	3	258	0	5	4	174	2	5	3	0	0	51	6	55	78	2	5	2	31	1	0	0	0
