"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26210	45698	"Haugtjernet"	60.834762	10.87398	837	"AWI"	837	-149	15	-61	0	29	5	0	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	14	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	33	0
26210	45698	"Haugtjernet"	60.834762	10.87398	839	"AWI"	839	-88	232	37	0	40	0	0	1	0	124	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	3	0	16	0	1	0	0	0	128	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	19	0
26210	45698	"Haugtjernet"	60.834762	10.87398	841	"AWI"	841	-25	359	145	0	57	0	0	0	0	135	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	1	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	19	0
26210	45698	"Haugtjernet"	60.834762	10.87398	843	"AWI"	843	58	451	252	0	76	0	0	1	0	178	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	1	75	0	1	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	9	0
26210	45698	"Haugtjernet"	60.834762	10.87398	845	"AWI"	845	148	539	359	0	73	0	0	3	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	88	0	0	0	0	0	113	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	20	0
26210	45698	"Haugtjernet"	60.834762	10.87398	847	"AWI"	847	244	609	469	0	78	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	1	12	0	120	0	1	0	0	0	121	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	5	0
26210	45698	"Haugtjernet"	60.834762	10.87398	849	"AWI"	849	473	640	563	0	51	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	2	61	0	1	0	0	70	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	20	0
26210	45698	"Haugtjernet"	60.834762	10.87398	851	"AWI"	851	552	860	674	0	32	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	4	0	0	1	0	0	2	0	31	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	1	0	1	8	0
26210	45698	"Haugtjernet"	60.834762	10.87398	853	"AWI"	853	617	1080	804	0	27	0	0	9	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	1	0	88	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	1	15	0
26210	45698	"Haugtjernet"	60.834762	10.87398	855	"AWI"	855	698	1277	938	0	17	1	0	2	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	3	0	92	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	11	0
26210	45698	"Haugtjernet"	60.834762	10.87398	857	"AWI"	857	776	1422	1074	1	26	0	0	5	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	1	0	0	0	4	4	0	44	0	0	0	2	0	0	0	0	0	9	0	4	0	0	0	0	0	0	0	1	0	3	8	0
26210	45698	"Haugtjernet"	60.834762	10.87398	859	"AWI"	859	907	1530	1221	1	49	2	0	1	0	0	0	0	0	0	0	0	0	0	25	0	5	0	0	0	0	0	0	4	3	1	28	0	1	0	1	0	0	0	0	0	21	0	3	0	0	0	0	0	0	0	1	1	7	8	0
26210	45698	"Haugtjernet"	60.834762	10.87398	861	"AWI"	861	1049	1634	1360	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	0	0	0	0	1	1	4	1	0	27	0	1	0	1	0	0	0	0	0	30	1	7	0	0	0	0	0	0	0	0	2	8	7	0
26210	45698	"Haugtjernet"	60.834762	10.87398	863	"AWI"	863	1228	1736	1490	0	79	0	0	2	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	1	0	3	3	0	10	0	0	0	0	0	97	0	0	0	13	0	8	0	0	0	0	0	0	0	0	1	7	4	0
26210	45698	"Haugtjernet"	60.834762	10.87398	865	"AWI"	865	1415	1844	1618	1	69	0	0	3	0	0	0	0	0	0	0	0	0	0	27	0	8	0	0	0	0	1	1	4	4	0	40	0	1	0	3	0	0	0	0	0	3	2	4	0	0	0	0	0	0	0	0	2	5	13	2
26210	45698	"Haugtjernet"	60.834762	10.87398	867	"AWI"	867	1545	2027	1752	2	91	0	0	2	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	2	3	0	15	0	0	0	0	0	0	0	0	0	3	0	12	0	0	0	0	0	0	0	0	1	2	5	0
26210	45698	"Haugtjernet"	60.834762	10.87398	869	"AWI"	869	1642	2243	1892	1	146	0	0	3	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	1	8	1	0	10	0	0	0	1	0	0	0	0	0	16	0	10	0	0	0	0	0	0	2	0	7	8	10	0
26210	45698	"Haugtjernet"	60.834762	10.87398	871	"AWI"	871	1742	2448	2034	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	1	0	0	0	0	0	8	0	13	0	0	0	0	0	0	0	0	1	12	6	0
26210	45698	"Haugtjernet"	60.834762	10.87398	873	"AWI"	873	1837	2645	2176	0	123	0	0	1	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	128	0	0	0	8	1	3	0	0	0	0	0	0	0	0	3	13	4	0
26210	45698	"Haugtjernet"	60.834762	10.87398	875	"AWI"	875	1939	2808	2317	0	123	0	0	1	0	0	0	0	0	0	0	0	0	0	15	0	4	0	0	0	0	0	0	3	1	0	7	0	0	0	1	0	0	0	0	0	10	0	4	0	0	0	0	0	0	0	0	0	7	6	0
26210	45698	"Haugtjernet"	60.834762	10.87398	877	"AWI"	877	2045	2991	2464	0	101	0	0	2	0	303	0	0	0	0	0	0	0	0	21	0	5	0	0	0	0	1	0	1	3	1	9	0	1	0	0	0	114	0	0	0	32	2	10	0	0	0	0	0	0	0	0	4	6	6	0
26210	45698	"Haugtjernet"	60.834762	10.87398	879	"AWI"	879	2148	3118	2607	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	8	0	0	0	0	0	0	1	7	0	7	0	0	0	0	0	0	0	0	0	12	0	9	0	0	0	0	0	0	0	0	8	15	1	0
26210	45698	"Haugtjernet"	60.834762	10.87398	881	"AWI"	881	2268	3249	2750	1	109	0	0	0	0	0	1	0	0	0	0	0	0	0	17	0	0	0	0	0	0	1	0	2	6	0	15	0	1	0	1	0	0	0	0	0	30	0	8	0	0	0	0	0	0	1	0	7	12	5	0
26210	45698	"Haugtjernet"	60.834762	10.87398	883	"AWI"	883	2409	3376	2895	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	7	0	0	0	0	1	0	1	1	0	8	0	0	0	0	0	132	0	0	0	15	0	8	0	0	1	0	0	0	0	0	7	22	2	0
26210	45698	"Haugtjernet"	60.834762	10.87398	885	"AWI"	885	2547	3503	3043	0	97	2	0	1	0	0	0	0	0	0	0	0	0	0	25	0	8	0	0	0	0	0	0	1	3	0	11	0	0	0	3	0	161	0	0	0	21	1	14	0	0	0	0	0	0	0	0	8	26	5	0
26210	45698	"Haugtjernet"	60.834762	10.87398	887	"AWI"	887	2674	3630	3191	0	103	0	0	3	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	2	3	0	8	0	0	0	1	0	0	0	0	0	15	0	3	0	0	0	0	0	0	0	0	11	22	2	0
26210	45698	"Haugtjernet"	60.834762	10.87398	889	"AWI"	889	2826	3740	3329	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	9	0	0	0	0	0	0	4	3	0	7	0	0	0	0	0	0	0	0	0	30	0	7	0	0	0	0	0	0	0	0	13	11	4	0
26210	45698	"Haugtjernet"	60.834762	10.87398	891	"AWI"	891	2994	3835	3470	0	93	0	0	1	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	3	1	0	6	0	0	0	2	0	170	0	0	0	10	1	5	0	0	0	0	0	0	0	2	9	8	3	0
26210	45698	"Haugtjernet"	60.834762	10.87398	893	"AWI"	893	3184	3933	3611	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	1	3	0	7	0	0	0	0	0	0	0	0	0	19	0	8	0	0	0	0	0	3	0	0	8	8	1	0
26210	45698	"Haugtjernet"	60.834762	10.87398	895	"AWI"	895	3397	4031	3752	0	99	0	0	2	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	3	2	0	12	0	0	0	0	0	0	0	0	0	20	0	4	0	0	0	0	0	3	0	0	5	14	9	0
