"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"
15699	24076	"Black Sea (West)"	42.83333	29.91667	5	"AWI"	5	76	1818	893	4	0	40	36	3	26	0	7	2	0	0	0	0	0	17	0	0	0	11	1	1	0	36	14	0	3	0	38	2	53	1	0	0	1	1	6	5	0	0
15699	24076	"Black Sea (West)"	42.83333	29.91667	15	"AWI"	15	330	5533	2774	10	0	42	24	6	41	0	2	4	0	3	0	0	0	16	0	0	0	11	2	0	0	28	11	0	0	1	13	3	62	0	0	1	0	1	11	3	0	0
15699	24076	"Black Sea (West)"	42.83333	29.91667	20	"AWI"	20	1904	5885	3780	6	1	38	36	10	41	0	10	0	0	0	0	0	0	12	0	0	0	11	3	1	0	39	21	0	2	0	0	1	60	0	0	0	1	0	5	2	0	1
15699	24076	"Black Sea (West)"	42.83333	29.91667	34	"AWI"	34	4814	6819	6263	0	0	29	41	3	52	0	0	0	0	0	0	0	0	11	1	0	1	11	0	1	2	35	3	110	0	0	0	0	62	0	0	0	0	0	5	3	0	0
15699	24076	"Black Sea (West)"	42.83333	29.91667	42	"AWI"	42	5307	7298	6638	1	0	35	21	1	34	0	5	0	1	0	1	0	0	33	0	0	10	3	1	3	0	41	1	146	0	0	0	0	62	0	0	2	0	0	4	8	0	0
15699	24076	"Black Sea (West)"	42.83333	29.91667	50	"AWI"	50	5623	7971	6928	4	0	24	10	0	31	0	5	1	1	1	0	2	1	38	0	0	4	18	0	0	2	66	1	66	0	0	0	1	65	0	0	0	0	0	8	7	0	0
15699	24076	"Black Sea (West)"	42.83333	29.91667	59	"AWI"	59	5865	8357	7201	2	0	25	15	0	59	0	6	4	1	0	0	0	0	20	0	0	0	11	0	1	0	42	5	0	0	0	0	0	38	0	0	0	0	0	10	6	0	0
15699	24076	"Black Sea (West)"	42.83333	29.91667	68	"AWI"	68	6137	8691	7472	6	0	31	21	3	102	0	14	1	0	0	0	0	0	97	0	0	0	12	0	0	0	57	2	0	0	0	0	0	78	0	0	0	0	0	8	8	1	0
15699	24076	"Black Sea (West)"	42.83333	29.91667	78	"AWI"	78	6370	9126	7772	3	0	18	21	1	92	0	0	0	0	0	0	0	0	84	0	0	0	5	0	0	0	10	1	0	0	0	0	0	41	0	0	1	0	0	5	4	0	0
15699	24076	"Black Sea (West)"	42.83333	29.91667	81	"AWI"	81	6492	9203	7867	1	0	21	22	1	62	0	5	0	0	1	0	0	0	54	0	0	0	10	0	1	0	30	0	0	0	0	0	2	48	0	0	1	0	0	0	5	1	0
15699	24076	"Black Sea (West)"	42.83333	29.91667	84	"AWI"	84	6611	9300	7967	0	1	20	28	0	52	0	2	0	0	0	0	0	0	63	0	0	0	3	2	0	1	0	0	0	0	0	0	0	52	1	0	0	0	0	1	5	0	0
15699	24076	"Black Sea (West)"	42.83333	29.91667	91	"AWI"	91	6802	9569	8198	1	0	6	16	2	47	0	21	5	0	0	0	0	0	6	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
15699	24076	"Black Sea (West)"	42.83333	29.91667	96	"AWI"	96	6941	9735	8357	0	1	9	34	1	73	0	4	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	2	1	0	0	42	0	0	0	0	3	1	7	0	0
15699	24076	"Black Sea (West)"	42.83333	29.91667	116	"AWI"	116	7485	10356	8981	0	0	0	41	6	31	0	1	1	0	3	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15699	24076	"Black Sea (West)"	42.83333	29.91667	180	"AWI"	180	9621	12116	11015	0	1	0	26	0	65	0	4	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15699	24076	"Black Sea (West)"	42.83333	29.91667	196	"AWI"	196	10224	12478	11515	0	0	0	24	0	67	0	10	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
15699	24076	"Black Sea (West)"	42.83333	29.91667	207	"AWI"	207	10666	12699	11859	0	0	0	25	0	52	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
15699	24076	"Black Sea (West)"	42.83333	29.91667	215	"AWI"	215	10964	12857	12119	0	1	2	58	2	92	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
