"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lentibulariaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Staphylea"	"Syringa"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
14630	22944	"Woryty"	53.7525	20.206322	95	"AWI"	95	2115	2710	2437	0	0	210	3	0	0	0	0	22	0	0	0	0	0	1	0	0	15	0	0	0	0	95	0	0	0	0	0	0	10	0	17	0	0	0	0	0	0	0	0	0	0	0	6	37	0	4	0	0	0	0	3	0	0	121	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	0	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	100	"AWI"	100	2237	2802	2567	0	0	113	3	0	0	0	0	14	0	0	0	0	0	0	0	0	11	0	0	0	0	29	0	0	0	0	0	0	9	0	8	0	0	0	0	0	0	0	0	0	0	0	0	58	0	3	0	0	0	0	1	0	0	48	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	8	2	0	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	105	"AWI"	105	2397	2849	2677	0	1	232	8	0	0	0	0	25	0	0	0	0	0	3	0	2	15	0	0	0	0	58	0	0	0	0	0	0	14	0	10	0	0	1	0	1	0	0	0	1	0	0	9	158	0	10	0	0	0	0	7	0	0	118	0	0	0	2	0	0	2	3	0	0	0	0	0	0	2	14	6	28	0	0	1
14630	22944	"Woryty"	53.7525	20.206322	110	"AWI"	110	2477	2997	2769	0	1	118	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	107	0	7	0	0	0	0	2	0	0	36	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	14	6	0	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	115	"AWI"	115	2558	3060	2842	1	2	247	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	9	1	17	0	0	0	0	0	0	0	0	0	0	0	0	217	0	5	0	0	0	0	3	0	0	115	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	26	7	28	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	125	"AWI"	125	2702	3217	2989	2	2	226	1	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	44	0	0	0	0	0	0	7	0	16	0	0	0	0	0	0	0	0	0	0	0	0	125	0	3	0	0	0	0	6	0	0	86	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	24	3	0	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	130	"AWI"	130	2757	3297	3066	0	0	89	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	27	0	2	0	0	0	0	3	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	135	"AWI"	135	2894	3330	3141	1	0	204	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	36	0	5	0	0	0	0	7	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	15	0	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	140	"AWI"	140	2975	3392	3222	1	0	212	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	20	0	4	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	3	0	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	145	"AWI"	145	3029	3454	3268	1	2	353	4	0	0	0	0	10	0	0	0	0	0	2	0	0	0	0	0	0	0	42	0	0	0	0	0	0	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	40	0	5	0	0	0	0	8	0	0	57	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	10	7	0	0	0	0
