"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
1398	1434	"Kalsa Mire"	58.19142	27.41146	236	"AWI"	236	5144	5532	5346	0	28.7469287469287	0.491400491400491	0	0	0	0	0	0	0	21.3759213759214	0.491400491400491	2.21130221130221	0	0	0.245700245700246	0	0	3.19410319410319	15.970515970516	0	0	3.43980343980344	0	0	0	0.245700245700246	0.245700245700246	0	11.3022113022113	12.039312039312	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	241	"AWI"	241	5763	6314	6058	0	29.038112522686	0.181488203266788	0	0.181488203266788	0	0	0	0	0	16.5154264972777	0.362976406533575	1.27041742286751	0	0	0.181488203266788	0	0	3.62976406533575	30.6715063520871	0	0	1.99637023593466	0	0	0	0	0	0	8.71143375680581	7.25952813067151	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	246	"AWI"	246	6118	6596	6333	0	35.5978260869565	0	0	0.271739130434783	0	0	0	0	0	13.5869565217391	0.815217391304348	0	0	0	0	0	0	1.35869565217391	33.1521739130435	0	0	0.543478260869565	0	0	0	0	0.271739130434783	0	8.15217391304348	6.25	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	251	"AWI"	251	6471	7014	6701	0	31.7307692307692	0	0	0.480769230769231	0	0	0	0	0	12.2596153846154	0.480769230769231	0.480769230769231	0	0	0	0	0	0.961538461538462	41.1057692307692	0	0	0.480769230769231	0	0	0	0	0.240384615384615	0	7.21153846153846	4.56730769230769	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	254	"AWI"	254	7007	7332	7146	0	34.0659340659341	0	0	0.274725274725275	0	0	0	0	0	9.89010989010989	0	1.64835164835165	0	0	0	0	0	1.92307692307692	40.1098901098901	0	0	0	0	0	0	0	0.549450549450549	0	5.76923076923077	5.76923076923077	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	256	"AWI"	256	7310	7589	7444	0	30.8743169398907	0	0	0	0	0	0	0	0	11.2021857923497	2.73224043715847	0.546448087431694	0	0	0	0	0	0.273224043715847	46.1748633879781	0	0	0	0	0	0	0	0.546448087431694	0	3.82513661202186	3.82513661202186	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	261	"AWI"	261	7913	8371	8143	0	3.58565737051793	0.398406374501992	0.796812749003984	0.398406374501992	0	0	0	0	0	6.37450199203187	0.796812749003984	6.37450199203187	0	0	0	0	0	0	72.5099601593625	0	0	0	0	3.18725099601594	0	0	1.59362549800797	0	0	3.98406374501992	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	266	"AWI"	266	8482	9172	8671	0	3.52941176470588	1.17647058823529	0	1.17647058823529	0	0	0	0	0	3.52941176470588	3.52941176470588	4.70588235294118	0	0	0	0	0	1.17647058823529	72.9411764705882	0	0	0	0	0	0	0	2.35294117647059	0	0	5.88235294117647	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	271	"AWI"	271	8844	10157	9280	0	0	0.549450549450549	0	0	0	0	0	0	0.549450549450549	0	4.3956043956044	0	0	0	0	0	0	0.549450549450549	91.2087912087912	0	0	0	0	0	0	0	2.74725274725275	0	0	0	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	281	"AWI"	281	9354	13655	10813	0	0.952380952380952	0	0	3.80952380952381	0	0	0	0	0	0	46.6666666666667	0	0	0	0	0	0	2.85714285714286	39.0476190476191	0	0	0	0	5.71428571428571	0	0	0.952380952380952	0	0	0	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	283	"AWI"	283	9528	14146	11115	0	0	2.27272727272727	0	2.27272727272727	0	0	0	0	0	2.27272727272727	43.1818181818182	0	0	0	0	0	0	2.27272727272727	29.5454545454545	0	0	0	0	6.81818181818182	0	0	11.3636363636364	0	0	0	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	285	"AWI"	285	9646	14609	11417	0	0	4.16666666666667	0	6.25	0	0	0	0	0	0	10.4166666666667	0	0	0	0	0	0	4.16666666666667	52.0833333333333	0	0	0	0	0	0	0	22.9166666666667	0	0	0	0
