"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Hypericaceae"	"Linaceae"	"Montiaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Urticaceae"
9998	14946	"Efstadalsvatn"	65.9404	-22.675412	235	"AWI"	235	10125	10886	10525	0	0	94	0	0	8	0	5	6	0	0	14	22	9	0	0	0	0	1	0	0	1	4	0	1	0	0	56	2	6	13	0	6	47	8	0	28	11	1	1
9998	14946	"Efstadalsvatn"	65.9404	-22.675412	240	"AWI"	240	10215	10938	10601	0	0	77	0	0	6	0	4	0	0	1	8	13	12	1	0	1	0	0	0	0	0	0	0.5	0	0	9	23	0	1	2	0	0	67	4	0	11	4	0	0
9998	14946	"Efstadalsvatn"	65.9404	-22.675412	245	"AWI"	245	10300	11000	10679	0	1	43	2	0	28	0	0	0	0	0	9	26	14	0	0	0	0	1	0	0	0	0	1	0	0	7	47	0	1	0	0	1	129	7	1	25	6	0	0
9998	14946	"Efstadalsvatn"	65.9404	-22.675412	250	"AWI"	250	10394	11049	10761	0	0	5	1	0	24	0	0	0	0	0	11	14	7	0	0	3	0	0	0	0	0	0	0	1	0	0	35	0	0	1	0	1	83	2	0	12	1	0	0
9998	14946	"Efstadalsvatn"	65.9404	-22.675412	255	"AWI"	255	10493	11116	10853	0	0	6	0	0	14	0	0	0	0	0	5	27	8	0	0	0	1	0	0	0	0	0	0	0	1	5	32	0	0	1	0	1	55	5	1	2	0	2	0
9998	14946	"Efstadalsvatn"	65.9404	-22.675412	265	"AWI"	265	10669	11369	11059	1	2	3	1	0	8	0	0	0	0	1	7	14	14	0	1	0	0	0	0	0	0	0	0	1	0	0	18	0	0	0	0	1	57	3	0	3	0	0	0
9998	14946	"Efstadalsvatn"	65.9404	-22.675412	260	"AWI"	260	10592	11191	10966	1	1	8	1	0	26	0	0	0	0	0	9	45	14	0	0	0	0	0	1	0	0	0	0	1	0	3	35	0	1	6	0	0	72	1	1	4	2	0	0
9998	14946	"Efstadalsvatn"	65.9404	-22.675412	270	"AWI"	270	10737	11686	11168	0	1	0	2	0	8	0	0	0	0	0	3	4	1	0	0	0	0	0	0	0	0	0	0	0.5	0	0	13	0	0	0	0	0	30	1	0	0	0	0	0
9998	14946	"Efstadalsvatn"	65.9404	-22.675412	280	"AWI"	280	10885	12185	11408	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	7	1	0	1	0	0	0
9998	14946	"Efstadalsvatn"	65.9404	-22.675412	295	"AWI"	295	11145	12826	11804	2	0	1	1	0	9	1	0	0	1	0	8	3	3	0	0	0	0	0	0	0	0	0	0	4	0	0	8	0	0	0	0	0	15	1	0	1	1	0	0
9998	14946	"Efstadalsvatn"	65.9404	-22.675412	305	"AWI"	305	11312	13217	12073	2	0	3	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	6	0	0	2	0	0	23	0	0	2	0	0	0
9998	14946	"Efstadalsvatn"	65.9404	-22.675412	315	"AWI"	315	11507	13548	12339	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
9998	14946	"Efstadalsvatn"	65.9404	-22.675412	325	"AWI"	325	11701	13926	12603	3	0	2	0	0	4	0	0	0	0	0	2	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	21	1	0	3	0	0	0
