"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Indeterminable"	"Juniperus"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3234	4200	"Lilla Gloppsjön"	59.80167	14.62333	2580	"AWI"	2580	-121	49	-38	0	33	0	0	0	0	0	0	0	0	16	6	0	5	0	0	1	0	0	0	10	0	0	0	226	1078	0	49	0	2	7	0	0	0	1	4	3	0	4	1	2	0
3234	4200	"Lilla Gloppsjön"	59.80167	14.62333	2582	"AWI"	2582	-74	216	35	0	42	0	0	3	0	0	0	0	0	12	14	0	2	0	0	1	0	0	1	14	1	0	0	270	1128	0	70	0	4	9	0	0	0	0	12	5	0	1	1	1	0
3234	4200	"Lilla Gloppsjön"	59.80167	14.62333	2584	"AWI"	2584	-54	446	100	1	64	3	0	1	0	0	0	0	0	20	16	0	5	0	0	0	0	0	3	33	0	0	0	179	938	0	89	0	3	8	0	0	0	0	12	9	0	3	2	2	1
3234	4200	"Lilla Gloppsjön"	59.80167	14.62333	2586	"AWI"	2586	-25	651	170	0	49	0	0	2	0	0	0	0	0	22	20	0	5	0	0	0	2	0	3	41	0	0	0	243	916	0	65	0	3	23	0	0	0	0	13	2	0	6	5	0	0
3234	4200	"Lilla Gloppsjön"	59.80167	14.62333	2588	"AWI"	2588	27	728	264	1	50	5	0	4	0	0	0	0	0	20	14	0	5	0	0	0	0	0	2	58	0	0	0	193	902	0	60	0	5	6	0	0	0	0	11	2	0	5	3	0	0
3234	4200	"Lilla Gloppsjön"	59.80167	14.62333	2600	"AWI"	2600	340	1166	782	0	60	1	1	3	0	0	0	0	0	19	4	0	6	0	0	1	1	0	0	12	0	0	4	463	705	0	0	0	4	21	0	0	0	0	0	5	0	0	3	0	0
3234	4200	"Lilla Gloppsjön"	59.80167	14.62333	2604	"AWI"	2604	519	1285	946	0	36	1	2	2	0	0	0	0	0	12	6	0	0	0	0	6	5	0	1	25	0	0	1	254	575	0	0	0	12	36	0	0	0	0	3	16	0	4	3	0	0
3234	4200	"Lilla Gloppsjön"	59.80167	14.62333	2608	"AWI"	2608	660	1380	1125	0	91	0	1	2	0	0	0	0	0	28	8	0	0	0	0	2	3	0	0	16	0	0	6	182	693	0	0	0	16	31	0	0	0	1	2	10	0	4	3	0	0
3234	4200	"Lilla Gloppsjön"	59.80167	14.62333	2612	"AWI"	2612	1073	1447	1269	0	65	1	0	1	0	0	0	0	0	17	8	0	0	0	0	2	3	0	1	12	0	0	4	392	736	0	0	0	20	30	0	0	0	0	2	4	0	4	1	3	0
3234	4200	"Lilla Gloppsjön"	59.80167	14.62333	2616	"AWI"	2616	1268	1536	1398	0	57	0	0	4	0	0	0	0	0	26	7	0	4	0	0	2	0	0	0	8	0	0	1	392	746	0	0	0	11	19	1	0	0	1	1	9	0	7	7	1	0
