"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Onagraceae"	"Orchidaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Phillyrea"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3415	4423	"Saint Sixte"	45.42583	5.62861	35	"AWI"	35	-57	525	135	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3415	4423	"Saint Sixte"	45.42583	5.62861	40	"AWI"	40	-53	604	161	1	2	2	0	0	0	0	0	0	2	0	0	0	0	0	1	15	0	0	5	17	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	1	0	4	3	0	0	0	0	0	0	0	15	0	0	2	0	0	0	2	0	0	1	0	10	0	1
3415	4423	"Saint Sixte"	45.42583	5.62861	45	"AWI"	45	-49	686	186	5	0	5	1	0	0	0	0	0	3	0	0	0	0	0	1	6	0	0	5	5	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	12	0	0	0	0	0	3	2	0	0	0	0	3	0	0
3415	4423	"Saint Sixte"	45.42583	5.62861	50	"AWI"	50	-43	766	211	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	2	12	0	0	0	1	0	1	0	0	11	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	18	0	0	0	0	0	2	2	0	0	0	0	5	0	0
3415	4423	"Saint Sixte"	45.42583	5.62861	200	"AWI"	200	629	1686	1157	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	28	0	0	0	1	1	0	0	0	5	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	2	0	0
3415	4423	"Saint Sixte"	45.42583	5.62861	210	"AWI"	210	676	1735	1222	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	13	0	0	0	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0
3415	4423	"Saint Sixte"	45.42583	5.62861	220	"AWI"	220	719	1807	1288	5	1	2	0	0	0	0	0	0	0	0	0	2	0	0	1	5	0	0	4	17	0	0	0	3	0	0	0	0	24	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	1	0	1	0	0
3415	4423	"Saint Sixte"	45.42583	5.62861	230	"AWI"	230	801	1873	1350	10	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	3	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3415	4423	"Saint Sixte"	45.42583	5.62861	240	"AWI"	240	939	1913	1403	7	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3415	4423	"Saint Sixte"	45.42583	5.62861	250	"AWI"	250	1063	1955	1459	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
