"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Grossulariaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Lythraceae"	"Melanthiaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14286	22367	"Popradské  pleso"	49.153142	20.079368	1	"AWI"	1	-105	82	-15	70	1	110	2	12	0	14	0	94	0	2	0	0	0	0	45	7	0	0	0	0	0	69	0	4	0	0	15	5	0	3	0	0	0	0	0	0	42	0	178	214	4	0	0	0	0	0	14	29	0	0	3	0	0	4	1	0	5	16	1
14286	22367	"Popradské  pleso"	49.153142	20.079368	5	"AWI"	5	-63	398	87	100	3	125	0	0	0	19	0	108	0	2	0	0	0	0	41	9	0	0	0	0	0	94	0	5	0	0	11	4	0	1	1	0	1	0	0	0	37	0	144	180	0	0	0	0	0	0	22	0	0	0	2	2	0	0	0	0	3	18	2
14286	22367	"Popradské  pleso"	49.153142	20.079368	11	"AWI"	11	-36	920	241	94	0	113	4	0	0	19	0	0	0	3	0	0	0	0	31	6	0	0	0	0	0	118	0	3	0	0	12	2	0	2	0	0	0	1	0	0	38	0	155	188	6	0	0	0	0	0	24	28	0	0	8	1	0	0	0	0	2	17	0
14286	22367	"Popradské  pleso"	49.153142	20.079368	15	"AWI"	15	13	1177	355	119	0	114	0	0	0	22	0	97	0	0	0	0	0	0	35	13	0	0	1	0	0	106	1	7	0	0	7	0	0	3	0	0	0	0	0	0	50	0	165	164	0	0	0	0	0	0	47	0	0	0	2	3	0	0	1	1	7	12	1
14286	22367	"Popradské  pleso"	49.153142	20.079368	21	"AWI"	21	96	1419	552	97	1	121	0	0	0	10	0	129	0	7	0	0	0	0	38	10	0	0	0	0	0	104	0	3	0	0	15	3	0	2	0	0	0	0	0	0	48	1	198	140	4	0	0	0	1	0	44	0	0	2	3	3	0	0	3	0	4	10	1
14286	22367	"Popradské  pleso"	49.153142	20.079368	25	"AWI"	25	137	1647	673	103	1	144	1	0	0	9	0	116	0	5	0	0	0	0	39	6	0	0	0	0	0	79	0	3	0	0	7	3	0	3	0	0	0	0	0	0	42	0	200	138	0	0	0	0	0	0	51	0	0	1	1	3	0	0	2	1	4	10	1
14286	22367	"Popradské  pleso"	49.153142	20.079368	31	"AWI"	31	258	1839	873	175	0	104	3	0	0	14	0	129	0	4	0	0	0	0	34	8	0	0	0	0	0	78	0	3	0	0	4	0	0	4	0	0	0	0	0	0	30	0	189	183	0	0	0	0	0	0	20	0	0	0	3	1	0	0	2	0	0	6	0
14286	22367	"Popradské  pleso"	49.153142	20.079368	35	"AWI"	35	316	1971	1003	170	1	114	1	0	0	11	0	92	0	1	0	0	0	0	33	9	0	0	0	0	0	81	0	3	0	1	4	1	0	2	0	0	0	0	0	0	27	0	186	198	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	1	10	1
14286	22367	"Popradské  pleso"	49.153142	20.079368	41	"AWI"	41	413	2248	1195	131	1	109	2	0	0	13	0	94	0	1	0	0	0	0	30	8	0	0	0	0	0	49	0	2	0	0	9	4	0	4	0	0	0	0	0	0	42	0	197	154	0	0	0	0	0	0	45	0	0	1	3	1	0	0	1	1	6	26	1
14286	22367	"Popradské  pleso"	49.153142	20.079368	45	"AWI"	45	538	2332	1330	111	0	158	0	0	0	13	0	106	0	0	0	0	0	0	40	7	0	0	0	0	0	65	0	1	0	2	2	1	0	6	0	0	0	0	0	0	37	0	187	146	0	0	0	0	0	0	62	0	0	0	2	1	0	0	0	1	3	17	0
