"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Olea"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3416	4427	"Lac Saint Léger"	44.42	6.33639	5	"AWI"	5	929	1111	1019	2	0	0	1	1	0	2	0	1	3	3	0	0	0	0	1	0	2	6	171	1	1	0	0	0	1	0	0	9	0	0	0	0	0	2	0	0	5	0	2	131	0	5	32	0	11	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	10	"AWI"	10	943	1168	1043	1	1	1	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	2	0	5	0	0	0	0	0	1	0	0	0	0	1	103	0	2	16	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	20	"AWI"	20	962	1311	1088	3	0	2	3	0	0	3	0	2	2	0	0	0	1	0	0	0	2	3	162	3	0	0	0	0	0	3	0	8	0	0	1	0	0	3	0	0	1	0	1	37	0	13	42	1	23	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	30	"AWI"	30	1004	1370	1144	8	0	1	0	6	0	0	0	0	0	0	0	0	1	0	0	0	3	1	280	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	3	74	0	3	6	1	9	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	40	"AWI"	40	1028	1471	1196	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	1	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	50	"AWI"	50	1074	1518	1254	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	25	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	130	0	0	8	0	14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	60	"AWI"	60	1101	1597	1311	6	1	6	0	2	0	3	0	1	0	0	0	0	0	0	0	0	1	2	12	1	0	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	3	100	0	7	0	3	27	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	70	"AWI"	70	1155	1647	1367	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	64	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	80	"AWI"	80	1188	1720	1424	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	120	0	1	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	90	"AWI"	90	1250	1766	1481	8	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	22	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	82	0	1	3	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	100	"AWI"	100	1285	1837	1538	12	2	3	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	54	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	84	0	0	7	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	110	"AWI"	110	1356	1877	1594	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	56	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	1	110	0	3	16	0	23	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	120	"AWI"	120	1395	1947	1652	6	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	39	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	130	"AWI"	130	1456	1997	1711	5	0	0	3	0	0	2	0	4	1	1	0	0	0	0	2	0	11	3	39	1	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	36	18	4	49	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	230	"AWI"	230	1979	2659	2321	12	3	90	0	3	0	0	0	16	1	0	0	0	0	0	1	0	3	0	8	0	0	0	0	0	0	7	0	0	0	1	0	0	0	1	1	0	1	0	0	28	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	240	"AWI"	240	2026	2729	2381	7	0	21	0	0	0	0	0	3	0	0	0	0	0	0	1	0	2	0	5	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	33	0	1	10	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	250	"AWI"	250	2106	2773	2439	7	0	64	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	5	1	0	0	0	1	0	0	0	0	0	0	0	0	17	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	260	"AWI"	260	2158	2831	2500	19	2	21	0	0	0	2	0	7	1	0	0	0	0	0	0	0	4	0	9	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	72	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	270	"AWI"	270	2236	2879	2560	6	0	95	0	0	0	1	0	3	0	1	0	0	0	0	0	0	2	0	37	0	0	0	0	0	0	5	0	0	0	1	1	0	0	0	0	0	2	0	0	64	0	3	30	0	14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	280	"AWI"	280	2293	2949	2623	17	0	80	2	1	0	3	0	6	0	0	0	0	0	0	0	0	3	0	110	0	0	0	0	0	1	18	0	0	0	0	2	0	0	0	0	0	0	0	0	83	0	6	43	0	30	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	290	"AWI"	290	2381	2989	2681	11	0	88	2	0	0	0	0	8	0	0	0	0	0	0	0	0	4	0	8	0	0	2	0	0	0	12	1	0	0	0	2	0	0	0	0	0	0	0	0	95	0	3	0	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	300	"AWI"	300	2442	3046	2739	18	0	75	0	0	0	0	0	20	0	0	0	0	0	0	0	0	2	0	16	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	1	42	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	310	"AWI"	310	2551	3079	2796	21	1	131	0	0	0	1	0	6	1	0	0	0	0	0	0	0	5	0	16	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	1	45	0	2	7	0	24	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	320	"AWI"	320	2621	3132	2857	14	0	71	0	1	0	1	0	8	0	0	0	0	0	0	0	0	4	0	15	0	0	0	0	0	0	8	0	0	0	0	3	0	0	0	0	0	1	0	0	47	0	1	5	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	330	"AWI"	330	2735	3181	2913	40	2	125	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	37	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	90	0	7	0	0	10	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	340	"AWI"	340	2789	3246	2971	60	0	80	0	0	0	0	0	30	0	0	0	0	0	0	0	0	2	0	31	0	0	0	0	0	0	13	1	0	0	0	2	0	0	0	0	0	0	0	1	120	0	4	7	2	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	350	"AWI"	350	2844	3348	3051	102	3	80	0	2	0	3	0	30	0	0	0	0	0	0	0	0	5	0	70	0	0	0	0	0	0	19	0	0	0	0	1	0	0	0	0	0	0	0	0	240	0	5	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	360	"AWI"	360	2873	3511	3123	42	1	21	0	1	0	0	0	14	0	1	0	0	0	0	0	0	2	0	25	0	0	0	1	0	0	27	3	0	0	1	0	0	0	0	0	0	0	0	0	150	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
3416	4427	"Lac Saint Léger"	44.42	6.33639	370	"AWI"	370	2938	3598	3202	185	1	29	1	2	0	6	0	41	0	0	0	0	0	0	0	0	3	1	27	0	0	0	0	0	1	23	6	0	0	0	0	0	0	0	0	0	0	0	0	200	0	6	0	0	68	0	0	0	0	0	3	0	2	0	0	1	0	0	3	8	0	0	0
