"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cupressus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15972	24631	"Kerminihy beach"	47.63278	-3.20083	34	"AWI"	34	3233	3474	3363	0	0	13	0	1	1	1	0	0	7	0	0	0	0	0	0	0	0	21	0	0	31	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	51	0	0	30	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	36	"AWI"	36	3264	3532	3405	0	0	5	3	3	0	0	0	0	8	0	1	0	0	0	0	0	0	8	0	0	61	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	38	0	0	28	0	0	0	1	0	1	2	0	0	0	1	1	3	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	38	"AWI"	38	3285	3601	3444	0	0	4	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	0	0	79	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	40	"AWI"	40	3301	3675	3485	0	0	9	4	3	0	1	0	0	3	0	0	1	0	0	0	0	0	5	1	0	48	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	1	0	0	0	35	0	0	0	0	0	10	1	1	0	0	1	0	0	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	42	"AWI"	42	3370	3691	3523	0	0	4	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	44	"AWI"	44	3427	3713	3562	0	0	3	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	7	0	0	8	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	2	3	0	0	0	0	0	0	1	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	46	"AWI"	46	3469	3747	3602	0	0	14	4	4	1	2	0	0	9	0	1	0	0	0	0	0	0	22	0	0	27	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	72	0	0	39	0	0	0	1	0	4	1	0	0	0	0	1	0	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	48	"AWI"	48	3497	3789	3640	0	0	15	10	2	0	4	0	0	4	0	1	0	0	0	1	0	0	58	0	0	32	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	81	0	0	98	0	0	0	0	0	0	2	1	0	0	0	5	2	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	50	"AWI"	50	3518	3848	3676	0	0	15	13	2	0	1	0	0	6	1	0	0	1	0	0	0	0	40	0	0	37	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	69	0	0	94	0	0	0	1	0	3	0	0	0	0	0	1	2	1	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	52	"AWI"	52	3547	3863	3701	0	0	20	10	2	0	2	0	0	6	0	1	0	0	0	1	0	0	34	0	1	53	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	70	0	0	77	1	3	0	4	0	1	2	1	0	0	0	1	3	0	1	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	54	"AWI"	54	3570	3884	3725	0	1	23	23	4	0	3	0	0	3	0	1	0	0	0	1	0	0	28	0	0	76	0	0	0	1	0	0	1	0	0	1	0	1	0	3	0	0	109	0	0	78	0	0	0	0	0	2	2	2	1	0	0	2	4	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	56	"AWI"	56	3589	3908	3750	0	0	14	43	3	0	3	0	0	6	0	0	0	0	0	0	0	0	24	0	0	34	0	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	83	0	1	58	0	2	0	2	0	1	0	6	1	0	3	0	2	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	58	"AWI"	58	3606	3941	3775	0	0	18	13	3	0	7	1	0	8	0	0	0	0	0	1	0	0	50	0	0	59	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	81	1	0	0	0	0	1	1	2	0	0	0	1	1	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	60	"AWI"	60	3620	3979	3797	0	0	14	8	2	1	2	0	0	5	0	1	0	1	0	0	0	0	30	0	0	80	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	79	0	0	2	0	0	1	0	2	1	0	0	1	0	0	0	0
