"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Myrica"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Taxus"	"Ulmus"	"Urticaceae"
9601	14125	"Mongan Bog"	53.32469	-7.98346	92	"AWI"	92	591	1322	946	8	0	0	0	0.307692307692308	0	5.53846153846154	0	0	51.6923076923077	4.61538461538462	9.84615384615385	0.307692307692308	2.15384615384615	0.307692307692308	3.69230769230769	0.307692307692308	0.615384615384615	0	3.07692307692308	0	0	4	0.615384615384615	0	1.23076923076923	1.84615384615385	0.923076923076923	0.923076923076923	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	96	"AWI"	96	638	1357	993	9.27835051546392	0	0	0	0	0	4.81099656357388	0	0	56.701030927835	7.21649484536082	10.6529209621993	1.71821305841924	2.74914089347079	0	3.09278350515464	0	0	0	0	0	0	3.09278350515464	0.343642611683849	0	0	0	0.343642611683849	0	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	100	"AWI"	100	672	1408	1038	7.40740740740741	0	0.336700336700337	0.336700336700337	0.336700336700337	1.01010101010101	5.05050505050505	0.336700336700337	0.336700336700337	37.037037037037	5.72390572390572	10.1010101010101	0.336700336700337	1.34680134680135	0	5.72390572390572	0	1.68350168350168	0	11.7845117845118	0	0	4.71380471380471	0.336700336700337	0	0	1.34680134680135	2.69360269360269	0.673400673400673	1.34680134680135
9601	14125	"Mongan Bog"	53.32469	-7.98346	108	"AWI"	108	758	1476	1126	4.62046204620462	0	0	0	0	0	2.97029702970297	0.66006600660066	0	65.3465346534654	2.31023102310231	7.59075907590759	0.99009900990099	2.31023102310231	0	3.63036303630363	0	0.66006600660066	0	0	0	0	6.27062706270627	0	0	0	0	1.32013201320132	1.32013201320132	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	148	"AWI"	148	1228	1833	1533	5.63380281690141	0	0	1.05633802816901	0	0	4.22535211267606	0	0.352112676056338	57.0422535211268	4.22535211267606	3.87323943661972	0	6.33802816901408	0	8.80281690140845	0	0.352112676056338	0	0	0	0	4.22535211267606	0	0	0	0	0	3.87323943661972	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	156	"AWI"	156	1302	1911	1607	4.54545454545455	0	0	0.303030303030303	0	0	1.51515151515152	0	0	54.2424242424242	8.48484848484849	9.6969696969697	0	1.21212121212121	0	10.6060606060606	0.606060606060606	0.303030303030303	0	0	0	0	2.12121212121212	0	0	0	0.303030303030303	0	6.06060606060606	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	164	"AWI"	164	1375	1992	1681	5.90062111801242	0	0	1.24223602484472	0	0	4.34782608695652	0	0	52.7950310559006	1.24223602484472	9.62732919254658	0	5.27950310559006	0	9.00621118012422	0	0	0	0	0	0	3.72670807453416	0.31055900621118	0	0	0.31055900621118	0.62111801242236	5.59006211180124	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	172	"AWI"	172	1446	2067	1751	5.16717325227964	0	0	0.303951367781155	0	0	4.25531914893617	0.303951367781155	0	50.4559270516717	1.82370820668693	5.16717325227964	0	6.68693009118541	0	11.854103343465	0	0.303951367781155	0	0	0	0.303951367781155	3.95136778115502	0.303951367781155	0	0	0	0	9.11854103343465	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	180	"AWI"	180	1507	2142	1826	7.27272727272727	0	0	0.606060606060606	0	0	2.12121212121212	0	0	58.4848484848485	0.909090909090909	11.2121212121212	0	3.03030303030303	0	10.6060606060606	0	0.606060606060606	0	0	0	0	1.51515151515152	0	0	0	0	0	3.63636363636364	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	188	"AWI"	188	1594	2213	1895	5.94405594405594	0	0	0.34965034965035	0	0	3.84615384615385	0	0	60.4895104895105	3.84615384615385	0	0.34965034965035	4.1958041958042	0	7.69230769230769	0.34965034965035	0.34965034965035	0	0	0	0	5.24475524475525	0	0	0	0.699300699300699	1.04895104895105	5.59440559440559	0
