"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
26991	47520	"Prášilské jezero"	49.075004	13.399778	1478.5	"AWI"	1478.5	-59	-49.5	-54.5	15	1	25	0	0	0	0	0	77	0	3	0	1	0	0	27	3	0	0	0	0	30	5	0	0	1	0	0	0	0	2	3	84	89	7	0	0	0	0	0	15	0	0	1	5	5	0	0	0	1	0	0	30	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1479.5	"AWI"	1479.5	-43	-35.5	-39.5	23	0	38	3	0	0	0	0	74	0	2	0	1	0	0	32	4	0	0	0	0	24	5	0	0	1	0	0	0	0	0	2	101	84	5	0	0	0	0	0	9	0	0	0	8	8	0	0	0	1	4	0	12	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1480.5	"AWI"	1480.5	-28	-20	-24.5	18	0	32	1	0	0	1	0	62	0	1	0	2	0	0	13	7	0	0	0	0	13	2	0	0	0	0	0	0	0	0	1	120	98	13	0	0	0	0	0	16	0	0	1	5	3	0	0	0	0	2	1	11	0	1
26991	47520	"Prášilské jezero"	49.075004	13.399778	1481.5	"AWI"	1481.5	-14.5	-4	-9.5	18	0	17	1	0	0	3	0	60	0	0	0	1	0	0	33	4	0	0	0	0	26	3	0	0	0	0	0	0	0	0	4	157	66	12	0	67	0	0	0	10	0	0	1	10	4	0	0	0	0	1	4	6	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1482.5	"AWI"	1482.5	-1.5	13	5.5	41	1	42	1	0	0	2	0	54	0	2	0	0	0	0	37	7	0	0	0	0	35	0	0	1	0	0	0	0	0	1	1	100	72	6	0	0	0	0	0	10	0	0	1	12	5	0	0	0	0	6	8	5	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1483.5	"AWI"	1483.5	20.5	37.5	28.5	47	0	23	0	0	0	0	0	39	0	1	0	0	0	0	36	8	0	0	0	0	48	2	0	0	0	1	0	0	0	0	1	112	88	0	0	69	0	1	0	11	0	0	0	11	2	0	0	0	0	4	2	8	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1484.5	"AWI"	1484.5	47.5	72.5	60	38	1	30	0	0	0	2	0	54	0	0	0	2	0	0	34	13	0	0	0	0	52	3	0	0	2	0	0	0	0	1	8	137	72	0	0	59	0	0	0	9	0	0	0	8	4	0	0	0	0	3	4	2	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1487.25	"AWI"	1487.25	107.5	184	145.75	47	1	49	0	0	0	1	0	30	0	0	0	1	0	0	48	3	0	0	0	0	47	0	0	0	0	0	0	0	0	0	2	108	76	7	0	0	0	0	0	12	0	0	2	6	2	0	0	0	1	3	2	1	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1489.25	"AWI"	1489.25	150.5	265.25	205.25	55	1	40	0	0	0	2	0	26	0	1	0	1	0	0	64	2	0	7	0	0	64	1	0	0	0	0	0	0	0	0	3	113	71	8	0	0	0	0	0	8	0	0	0	6	2	0	0	0	1	3	3	2	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1490.25	"AWI"	1490.25	159.75	323.75	233.75	53	0	29	0	0	0	0	0	28	0	0	0	2	0	0	49	5	0	0	0	0	47	0	0	0	2	0	0	0	0	0	2	130	71	0	0	0	0	0	0	9	0	0	0	4	5	0	0	0	0	1	1	0	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1491.25	"AWI"	1491.25	166.75	387.5	261	43	3	33	0	0	0	0	0	25	0	1	0	0	0	0	67	3	0	0	0	0	43	0	0	0	0	0	0	0	0	0	3	118	82	0	0	0	0	0	0	6	0	0	0	4	0	0	0	0	0	6	6	0	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1492.25	"AWI"	1492.25	173.5	453.75	288.75	44	0	37	2	0	0	2	0	40	0	0	0	3	0	0	46	10	0	0	0	0	36	0	0	0	6	0	0	0	0	0	0	110	90	0	0	41	0	0	0	7	0	0	1	4	2	0	0	0	1	3	2	2	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1493.25	"AWI"	1493.25	189	507	317.75	38	1	29	0	0	0	0	0	29	0	0	0	3	0	0	53	6	0	0	0	0	57	2	0	0	4	0	0	0	0	0	3	117	93	8	0	0	0	0	0	12	0	0	0	11	3	0	0	0	0	7	5	2	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1494.25	"AWI"	1494.25	229.75	519	353	50	0	32	1	0	0	1	0	31	0	1	0	7	0	0	37	6	0	0	0	0	55	0	0	0	12	1	0	0	0	0	3	107	88	0	0	0	0	0	0	8	0	0	0	13	3	0	0	0	0	2	3	4	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1495.25	"AWI"	1495.25	258	533	389.75	39	0	36	1	0	0	1	0	49	0	1	0	5	0	0	19	8	0	0	0	0	40	1	0	0	10	0	0	0	0	1	2	96	61	9	0	78	0	0	0	18	0	0	0	12	2	0	0	0	0	2	1	5	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1496.25	"AWI"	1496.25	277.5	553.75	428.5	40	0	28	1	0	0	1	0	55	0	0	0	3	0	0	21	6	0	0	0	0	48	0	0	1	8	0	0	0	0	0	5	104	69	0	0	43	0	0	0	24	0	0	2	5	1	0	0	0	0	1	2	4	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1497.25	"AWI"	1497.25	294.75	580	466.25	48	0	27	0	0	0	2	0	55	0	1	0	10	0	0	33	8	0	0	0	0	69	0	0	0	8	0	0	0	0	0	0	118	59	0	0	0	0	0	0	19	0	0	0	9	2	0	0	0	0	0	2	5	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1498.25	"AWI"	1498.25	336	610.25	505	32	0	27	0	0	0	0	0	48	0	0	0	10	0	0	23	3	0	0	0	0	77	0	0	0	14	0	0	0	0	2	5	104	65	0	0	44	0	0	0	20	0	0	0	8	0	0	0	0	1	1	6	5	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1499.25	"AWI"	1499.25	449.25	624.75	551	28	2	18	1	0	0	2	0	77	0	1	0	3	0	0	46	3	0	0	0	0	91	0	0	0	10	0	0	0	0	0	2	123	66	0	0	0	0	1	0	24	0	0	0	3	0	0	0	0	0	1	0	1	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1500.25	"AWI"	1500.25	527.75	658	601	33	1	34	1	0	0	1	0	77	0	0	0	2	0	0	28	9	0	0	0	0	97	0	0	0	8	0	0	0	0	0	2	82	53	0	0	0	0	0	0	22	0	0	0	7	1	0	0	0	1	1	3	7	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1501.25	"AWI"	1501.25	556.75	744.75	644	49	1	19	0	0	0	3	0	51	0	0	0	3	0	0	36	5	0	0	0	0	53	0	0	0	2	0	0	0	0	0	2	148	44	0	0	28	0	0	0	22	0	0	1	0	0	0	0	0	0	1	1	2	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1502.25	"AWI"	1502.25	567.25	865.25	684.5	53	1	29	0	0	0	1	0	41	0	0	0	3	0	0	46	5	0	0	0	0	90	0	0	0	6	0	0	0	0	0	5	99	59	0	0	0	0	1	0	15	0	0	1	4	1	0	0	0	0	1	2	3	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1503.25	"AWI"	1503.25	584	970.5	728.75	55	1	40	0	0	0	3	0	42	0	0	0	5	0	0	47	4	0	0	0	0	66	0	0	1	17	1	0	0	0	1	0	131	54	0	0	0	0	0	0	16	0	0	0	11	3	0	0	0	0	2	4	3	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1504.25	"AWI"	1504.25	618	1020.25	779.5	54	2	22	0	0	0	2	0	49	0	0	0	7	0	0	29	3	0	0	0	0	72	1	0	0	9	0	0	0	0	0	5	90	47	0	0	0	0	0	0	9	0	0	0	10	4	0	0	0	0	1	5	6	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1505.25	"AWI"	1505.25	633.5	1088	827.5	63	0	34	0	0	0	5	0	67	0	0	0	3	0	0	26	2	0	0	0	0	102	1	1	0	4	0	0	0	0	0	1	128	62	0	0	26	0	0	0	14	0	0	0	8	2	0	0	0	0	3	3	7	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1506.25	"AWI"	1506.25	647.5	1179.25	870.25	55	0	34	0	0	0	6	0	55	0	1	0	5	0	0	21	3	0	0	0	0	97	2	0	0	3	1	0	0	0	0	6	115	55	0	0	0	0	0	0	9	0	0	1	11	1	0	0	0	0	1	4	10	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1507.25	"AWI"	1507.25	661.25	1281.5	914.25	67	1	31	1	0	0	3	0	42	0	0	0	3	0	0	33	5	0	0	0	0	94	0	0	1	5	0	0	0	0	0	3	125	45	0	0	56	0	0	0	18	0	0	1	10	2	0	0	0	0	3	7	4	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1508.25	"AWI"	1508.25	680	1375.75	960.5	57	1	24	0	0	0	3	0	49	0	0	0	3	0	0	40	1	0	0	0	0	96	0	0	0	1	0	0	0	0	0	1	107	45	0	0	0	0	0	0	16	0	0	0	23	1	0	0	0	0	0	4	11	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1509.25	"AWI"	1509.25	715.25	1437.5	1023	78	0	26	0	0	0	7	0	29	0	0	0	2	0	0	32	4	0	0	0	0	115	1	0	1	2	0	0	0	0	0	4	141	60	0	0	34	0	0	0	28	0	0	1	4	1	0	0	0	0	5	4	8	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1510.25	"AWI"	1510.25	745.25	1512	1084.75	53	2	13	0	0	0	4	0	46	0	0	0	1	0	0	25	0	0	0	0	0	123	1	0	0	0	0	0	0	0	0	9	123	36	0	0	24	0	0	0	16	0	0	0	3	1	0	0	0	0	1	4	1	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1511.25	"AWI"	1511.25	766.75	1606.5	1139.5	88	1	22	0	0	0	3	0	47	0	0	0	2	0	0	54	2	0	0	0	0	103	1	0	0	1	0	0	0	0	0	4	134	70	0	0	0	0	0	0	20	0	0	0	2	1	0	0	0	0	4	4	4	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1512.25	"AWI"	1512.25	787.5	1724.75	1193.5	84	2	27	0	0	0	2	0	53	0	0	0	1	0	0	52	0	0	0	1	0	103	1	0	0	1	0	0	0	0	0	12	183	47	0	0	0	0	0	0	15	0	0	0	1	2	0	0	0	0	1	4	3	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1513.25	"AWI"	1513.25	811.75	1829.5	1246	92	3	42	0	0	0	2	0	24	0	0	0	1	0	0	27	2	0	0	0	0	104	1	0	0	1	0	0	0	0	0	3	125	55	0	0	0	0	0	0	22	0	0	0	3	0	0	0	0	1	0	5	6	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1514.25	"AWI"	1514.25	862.25	1861.25	1295.25	93	0	46	0	0	0	2	0	25	0	0	0	1	0	0	24	2	0	0	0	0	67	0	0	0	0	0	0	0	0	1	6	136	46	0	0	0	0	0	0	31	0	0	0	0	1	0	0	0	0	2	6	2	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1515.25	"AWI"	1515.25	897.75	1910	1347.5	111	0	47	0	0	0	0	0	25	0	0	0	1	0	0	35	0	0	0	0	0	116	2	0	0	2	0	0	0	0	0	4	172	52	0	0	0	0	0	0	28	0	0	1	0	1	0	0	0	0	0	7	5	0	0
26991	47520	"Prášilské jezero"	49.075004	13.399778	1516.25	"AWI"	1516.25	926	1963.5	1397.5	75	0	54	0	0	0	4	0	18	0	0	0	2	0	0	16	2	0	0	0	0	119	3	0	0	0	0	0	0	0	0	14	149	42	0	0	0	0	0	0	19	0	0	1	5	1	0	0	0	0	1	3	2	0	0
