"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Violaceae"
14274	22346	"Stráženská slat"	48.899104	13.741768	0	"AWI"	0	-138	25	-53	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	63	66	0	8	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
14274	22346	"Stráženská slat"	48.899104	13.741768	10	"AWI"	10	-73	447	81	1	0	0	2	0	0	0	0	18	0	0	1	0	0	0	1	0	0	3	5	9	1	0	9	1	0	0	0	0	0	0	0	0	0	3	55	37	0	0	0	0	0	1	0	5	0	0	0	7	1	0	0	0	0	0	0	1	0
14274	22346	"Stráženská slat"	48.899104	13.741768	20	"AWI"	20	-46	943	208	4	0	0	1	0	0	0	0	28	0	1	0	0	0	0	0	0	0	5	1	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	34	77	0	0	0	0	0	0	0	10	0	0	0	8	1	0	0	0	0	0	0	0	0
14274	22346	"Stráženská slat"	48.899104	13.741768	30	"AWI"	30	38	1147	379	12	0	0	0	0	0	1	0	20	0	0	0	0	0	0	1	0	0	4	12	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	37	100	0	44	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	1	0
14274	22346	"Stráženská slat"	48.899104	13.741768	40	"AWI"	40	88	1454	539	26	0	0	1	0	0	3	0	39	0	2	0	0	0	0	0	0	0	8	1	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	47	73	0	0	0	0	0	0	0	22	0	0	1	0	0	0	0	0	0	0	0	2	0
14274	22346	"Stráženská slat"	48.899104	13.741768	50	"AWI"	50	192	1661	706	14	0	0	0	0	0	2	0	52	0	0	1	3	0	0	1	0	0	8	3	0	1	0	61	0	0	0	0	1	1	0	1	0	0	0	45	96	0	0	0	0	0	0	0	17	0	0	0	5	0	0	0	0	0	0	0	0	0
14274	22346	"Stráženská slat"	48.899104	13.741768	60	"AWI"	60	258	1907	865	45	0	0	0	0	0	1	0	22	0	0	0	1	0	0	0	0	0	7	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	75	49	0	0	0	0	0	0	0	8	0	0	0	3	0	0	0	0	0	0	0	3	0
14274	22346	"Stráženská slat"	48.899104	13.741768	70	"AWI"	70	370	2089	1030	62	0	0	0	0	0	2	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	1	0	0	0	0	0	0	0	0	0	0	70	39	0	12	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	4	0
14274	22346	"Stráženská slat"	48.899104	13.741768	80	"AWI"	80	447	2309	1196	40	0	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0	8	0	0	0	0	105	1	0	0	0	0	0	0	0	0	0	0	66	26	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	1	0
14274	22346	"Stráženská slat"	48.899104	13.741768	90	"AWI"	90	567	2513	1351	39	0	0	0	0	0	1	0	16	0	0	0	1	0	0	0	0	0	6	1	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	52	17	0	13	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	2	0
14274	22346	"Stráženská slat"	48.899104	13.741768	100	"AWI"	100	670	2745	1511	40	0	0	0	0	0	1	0	20	0	0	0	0	0	0	0	0	0	13	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	80	39	0	9	0	1	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0
14274	22346	"Stráženská slat"	48.899104	13.741768	110	"AWI"	110	795	2902	1678	65	0	0	0	0	0	1	0	16	0	0	0	1	0	0	0	0	0	12	1	0	0	0	70	0	0	0	0	0	0	0	1	0	0	0	90	43	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	1	1	0
14274	22346	"Stráženská slat"	48.899104	13.741768	120	"AWI"	120	895	3111	1840	70	0	0	0	0	0	3	0	21	0	0	0	0	0	0	0	0	0	12	2	0	0	0	120	1	0	0	0	1	0	0	0	0	0	0	85	48	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	1	2	0
14274	22346	"Stráženská slat"	48.899104	13.741768	130	"AWI"	130	1031	3293	1996	80	0	0	0	0	0	1	0	13	0	0	0	0	0	0	0	0	0	5	1	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	80	25	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	1	0
14274	22346	"Stráženská slat"	48.899104	13.741768	140	"AWI"	140	1135	3448	2161	140	1	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	20	1	0	0	0	160	3	0	0	0	0	0	0	0	0	0	16	80	29	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	2	3	0
14274	22346	"Stráženská slat"	48.899104	13.741768	150	"AWI"	150	1251	3632	2314	62	0	0	0	0	0	1	0	14	0	0	0	0	0	0	0	0	0	5	3	0	0	0	90	1	0	0	0	0	0	0	0	0	0	0	0	34	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0
14274	22346	"Stráženská slat"	48.899104	13.741768	160	"AWI"	160	1375	3781	2487	150	1	0	0	0	0	2	0	21	0	0	0	1	0	0	0	0	0	12	0	0	0	0	165	0	0	0	1	0	0	0	0	0	0	0	85	51	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	1	1	0
14274	22346	"Stráženská slat"	48.899104	13.741768	170	"AWI"	170	1505	3993	2645	60	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	9	2	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	36	30	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	3	0
