"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
14506	22723	"Loch Ashik"	57.25	-5.83333	0	"AWI"	0	-146	28	-56	9	0	0	0	0	0	21	0	0	0	21	158	0	0	0	0	22	0	0	0	0	0	4	0	93	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	20	"AWI"	20	76	684	315	51	0	0	0	0	0	63	0	2	0	164	68	0	0	0	0	54	0	0	3	0	0	14	0	75	1	0	0	6	0	0	0	0	5	0	0	0	0	11	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	40	"AWI"	40	377	1155	721	75	0	1	0	1	0	81	0	4	0	251	83	0	0	0	0	40	0	0	0	0	0	20	0	105	0	0	0	11	0	0	0	0	3	0	0	0	0	10	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	60	"AWI"	60	720	1588	1130	91	0	0	0	0	0	94	0	0	0	240	63	0	0	0	0	66	0	0	4	0	0	21	0	118	0	0	0	9	0	0	0	0	0	0	0	0	0	7	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	80	"AWI"	80	1118	1986	1546	33	0	1	0	1	0	49	0	2	0	130	70	0	0	0	0	27	0	0	2	0	0	10	0	61	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	100	"AWI"	100	1507	2363	1958	38	0	0	0	0	0	0	0	1	0	177	86	0	0	2	0	27	0	0	6	0	0	8	0	71	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	120	"AWI"	120	1962	2720	2363	34	0	0	0	0	0	69	0	3	0	260	75	0	0	0	0	34	0	0	1	0	0	6	0	78	0	0	0	10	0	0	0	0	3	0	0	0	0	0	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	130	"AWI"	130	2221	2883	2564	38	0	0	0	0	0	49	0	0	0	305	109	0	0	1	0	25	0	0	4	0	0	4	0	92	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	140	"AWI"	140	2510	3048	2756	49	0	0	0	0	0	37	0	0	0	654	82	0	0	1	0	32	0	0	3	0	0	7	0	93	0	0	0	9	0	0	0	0	3	0	0	0	0	3	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	150	"AWI"	150	2793	3361	2982	91	0	0	0	0	0	80	0	2	0	143	135	0	0	1	1	39	0	0	3	0	0	14	0	191	0	0	0	14	0	0	0	0	3	0	0	0	0	7	1	0
14506	22723	"Loch Ashik"	57.25	-5.83333	160	"AWI"	160	2968	3710	3293	70	0	0	0	0	0	70	0	0	0	93	76	0	0	0	0	28	0	0	0	0	0	9	0	166	0	0	0	11	0	0	0	0	1	0	1	0	0	4	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	170	"AWI"	170	3216	3996	3603	70	0	0	1	1	0	0	0	0	0	122	100	0	0	1	0	24	0	0	2	0	0	10	0	138	0	0	0	33	0	0	0	0	1	0	0	0	0	1	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	180	"AWI"	180	3523	4248	3914	90	0	0	0	0	0	69	0	0	0	120	148	0	0	3	0	25	0	0	0	0	0	24	0	87	0	0	0	19	0	0	0	0	2	0	1	0	0	4	0	0
14506	22723	"Loch Ashik"	57.25	-5.83333	190	"AWI"	190	3887	4446	4212	37	0	0	0	0	0	47	0	0	0	110	132	0	0	3	0	31	0	0	1	0	1	11	0	62	0	0	0	23	0	0	0	0	2	0	0	0	0	5	0	0
