"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Juniperus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
3277	4257	"Masehjavri"	69.04527	20.97475	5	"AWI"	5	-27	507	286	5	0	0	1	0	196	0	0	0	41	0	18	8	0	10	95	17	0	0	0	0	5	2	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	10	"AWI"	10	145	844	514	1	1	1	0	3	200	0	0	0	35	0	10	6	0	12	132	8	0	0	0	0	0	5	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	15	"AWI"	15	372	1105	745	4	0	0	0	4	197	0	0	0	33	0	21	7	0	19	173	17	0	0	0	0	2	3	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	20	"AWI"	20	606	1327	982	3	2	0	0	2	200	0	0	0	28	0	11	3	0	12	134	4	0	0	0	0	2	3	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	25	"AWI"	25	929	1523	1217	10	0	0	2	1	259	0	0	0	50	0	24	11	0	15	218	10	0	0	0	0	0	5	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	30	"AWI"	30	1126	1841	1453	10	0	0	1	2	296	0	0	0	54	0	15	9	0	7	255	12	0	1	0	1	2	4	1	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	35	"AWI"	35	1327	2134	1699	7	0	0	1	0	267	0	0	0	42	0	7	6	0	1	138	10	0	0	0	0	0	4	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	40	"AWI"	40	1530	2418	1940	6	0	0	0	0	233	0	0	0	30	0	15	10	0	13	204	8	0	0	0	0	0	1	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	45	"AWI"	45	1765	2669	2184	11	1	0	1	1	232	0	0	0	39	0	23	7	0	16	320	7	0	0	0	0	0	2	1	1	0
3277	4257	"Masehjavri"	69.04527	20.97475	50	"AWI"	50	2037	2929	2420	6	0	0	0	1	279	0	0	0	37	0	28	5	0	8	266	3	0	0	0	0	0	3	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	55	"AWI"	55	2354	3191	2674	7	0	0	1	2	184	0	1	0	30	0	19	4	0	9	203	5	1	0	0	0	1	3	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	60	"AWI"	60	2619	3664	3038	3	0	0	0	1	175	0	0	0	30	0	20	4	0	2	224	3	0	0	0	0	1	0	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	65	"AWI"	65	2911	4148	3470	7	0	0	1	0	235	0	0	0	35	0	13	2	0	3	243	7	0	0	0	0	0	0	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	70	"AWI"	70	3283	4557	3893	15	0	0	0	0	265	0	0	0	33	0	25	6	0	2	224	1	0	0	0	0	0	2	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	75	"AWI"	75	3666	4927	4307	19	1	0	1	1	295	0	0	0	20	0	16	5	0	0	290	6	0	0	0	0	0	0	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	80	"AWI"	80	4118	5264	4728	20	0	0	1	0	205	0	0	0	16	0	26	5	0	1	303	1	1	0	0	0	0	1	0	0	1
3277	4257	"Masehjavri"	69.04527	20.97475	85	"AWI"	85	4620	5571	5129	22	0	0	1	1	255	0	0	1	23	0	17	10	1	1	251	3	1	0	0	0	0	1	0	2	1
3277	4257	"Masehjavri"	69.04527	20.97475	90	"AWI"	90	4982	6152	5542	41	1	0	1	2	370	0	0	0	33	0	5	15	0	0	372	7	0	0	7	0	0	1	0	0	1
3277	4257	"Masehjavri"	69.04527	20.97475	95	"AWI"	95	5347	6628	5965	25	0	0	1	0	328	0	0	0	26	0	5	8	0	0	320	11	0	0	0	0	1	1	0	0	1
3277	4257	"Masehjavri"	69.04527	20.97475	100	"AWI"	100	5723	7066	6409	33	0	0	0	0	369	1	0	0	20	0	7	3	0	0	318	7	0	0	0	1	0	2	0	1	2
3277	4257	"Masehjavri"	69.04527	20.97475	105	"AWI"	105	6136	7435	6850	22	0	0	0	2	223	0	0	0	23	0	0	7	0	0	261	3	0	0	0	0	0	1	0	0	3
3277	4257	"Masehjavri"	69.04527	20.97475	110	"AWI"	110	6644	7740	7292	16	0	0	1	0	375	0	0	0	13	0	1	15	0	0	217	12	0	0	0	0	0	6	0	3	1
3277	4257	"Masehjavri"	69.04527	20.97475	115	"AWI"	115	7200	8033	7692	13	0	0	2	2	355	0	0	0	13	0	3	22	0	0	195	20	0	0	0	0	0	3	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	120	"AWI"	120	7503	8459	8000	12	0	0	0	2	348	0	0	0	17	0	1	11	0	0	173	17	0	0	0	1	0	1	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	125	"AWI"	125	7764	8862	8293	20	0	0	1	1	474	0	0	0	11	0	0	14	0	0	188	24	0	0	0	0	0	4	0	1	0
3277	4257	"Masehjavri"	69.04527	20.97475	130	"AWI"	130	8045	9190	8596	6	0	0	0	0	401	0	0	0	7	1	0	8	0	0	141	20	0	0	0	0	1	4	2	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	135	"AWI"	135	8339	9519	8893	2	1	0	0	0	400	0	0	0	14	0	3	3	0	0	105	23	0	0	0	0	0	6	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	140	"AWI"	140	8649	9836	9183	0	0	0	1	0	325	0	0	2	11	0	0	1	0	0	64	23	0	0	0	0	0	9	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	145	"AWI"	145	8925	10172	9493	0	0	0	0	0	291	0	0	0	14	0	1	1	0	0	40	10	0	0	0	0	0	5	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	150	"AWI"	150	9163	10634	9812	0	0	0	1	0	200	0	0	0	17	1	1	0	0	0	36	12	0	0	0	0	2	6	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	155	"AWI"	155	9414	11054	10139	0	0	0	1	0	127	0	0	0	15	0	6	0	0	0	9	14	0	0	0	0	5	4	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	160	"AWI"	160	9684	11491	10468	0	0	0	0	0	143	0	0	0	10	0	26	0	0	0	11	16	0	0	0	0	4	3	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	165	"AWI"	165	9940	11892	10793	0	0	0	3	0	61	0	2	0	3	0	1	0	0	0	1	20	0	0	0	0	2	8	0	0	0
3277	4257	"Masehjavri"	69.04527	20.97475	170	"AWI"	170	10176	12324	11119	2	0	0	0	0	11	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
