"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
23862	41366	"Silberhohl"	51.908476	10.181276	5	"AWI"	5	-128	53	-37	0	2	59	4	1	0	0	0	0	273	4	0	3	0	0	0	0	0	125	6	0	0	0	43	0	5	0	0	0	0	1	0	0	0	0	0	50	0	34	40	0	0	0	0	34	0	0	0	2	23	11	0	0	1	0	0	0	0	0	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	15	"AWI"	15	-107	152	-3	3	1	32	10	5	2	2	0	0	175	2	0	2	0	0	0	0	0	97	5	0	1	0	50	0	6	0	4	0	1	0	0	0	1	0	0	68	0	56	53	30	0	0	0	51	0	0	0	1	20	20	0	0	0	0	0	0	3	1	1	0
23862	41366	"Silberhohl"	51.908476	10.181276	25	"AWI"	25	-92	271	29	0	2	141	5	1	0	0	0	0	89	3	0	11	0	1	0	0	0	394	14	0	0	0	103	0	5	0	1	0	3	0	0	1	0	0	0	44	0	48	60	22	0	0	0	105	8	0	0	2	34	27	0	0	0	0	0	0	0	1	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	35	"AWI"	35	-82	393	60	3	0	100	3	2	0	0	0	0	49	6	1	2	0	1	0	0	0	259	5	0	0	0	138	0	1	0	3	0	0	0	2	0	2	0	0	83	0	31	44	0	0	0	0	137	3	0	0	0	19	8	0	0	0	0	0	0	1	0	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	45	"AWI"	45	-65	490	93	1	1	75	4	0	0	0	0	0	67	7	0	5	0	0	0	0	0	302	26	0	0	0	130	0	0	0	1	0	0	2	0	0	0	0	0	53	0	31	54	0	0	0	0	142	0	0	0	0	32	10	0	0	0	0	0	0	0	3	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	55	"AWI"	55	-38	540	135	1	2	85	6	3	0	0	0	0	82	3	0	5	0	0	0	0	0	263	14	0	1	0	112	0	1	0	1	0	0	0	0	0	0	0	0	51	0	23	72	24	0	0	1	120	0	0	0	1	34	28	0	0	0	0	1	0	2	0	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	65	"AWI"	65	-22	591	178	0	1	81	1	1	0	1	0	0	69	3	0	8	0	0	0	0	0	229	16	0	0	0	89	0	1	0	1	0	2	0	0	74	0	0	0	32	0	47	49	0	0	0	0	165	0	0	0	0	32	30	0	0	0	0	0	0	0	0	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	75	"AWI"	75	-8	659	218	0	0	116	5	1	0	0	0	0	64	11	0	4	0	2	0	0	0	291	14	0	0	0	102	0	2	0	0	0	1	0	0	0	0	0	0	50	0	30	67	0	0	0	0	141	0	0	0	0	28	33	0	0	0	0	0	0	0	0	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	85	"AWI"	85	3	740	254	0	0	84	5	3	0	1	0	0	66	10	0	2	0	1	0	0	0	218	17	0	2	0	106	0	2	0	0	0	5	0	0	0	0	0	0	54	0	50	58	28	0	0	0	114	0	0	0	0	24	33	0	0	0	0	0	0	1	0	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	95	"AWI"	95	38	778	296	1	0	92	8	0	0	1	0	0	71	7	0	4	0	1	0	0	0	249	15	0	0	0	108	0	0	3	0	0	0	0	0	1	0	0	0	39	0	47	67	0	0	0	0	139	5	0	0	2	21	14	0	0	0	0	0	0	5	1	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	105	"AWI"	105	59	829	339	0	0	62	1	1	0	2	0	0	65	6	0	0	0	0	0	0	0	147	9	0	0	0	125	0	2	0	0	0	0	0	0	0	0	0	0	52	0	38	69	0	0	0	0	120	0	0	0	0	22	21	0	0	0	0	0	0	1	1	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	115	"AWI"	115	76	889	381	0	5	62	5	0	0	2	0	0	85	5	0	4	0	0	0	0	0	154	15	0	0	0	118	0	6	0	0	0	1	0	0	0	0	0	0	33	0	28	61	29	0	0	0	141	0	0	0	1	24	15	0	0	0	0	0	0	0	3	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	125	"AWI"	125	98	961	423	0	6	135	4	0	1	0	0	0	78	7	0	3	0	0	0	0	0	197	8	0	0	0	79	0	1	0	2	0	1	0	0	0	0	0	0	65	0	23	53	13	0	0	0	175	6	0	0	0	26	12	0	0	0	0	0	0	3	1	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	135	"AWI"	135	128	1002	460	2	0	136	0	2	0	0	0	0	77	5	0	2	0	0	0	0	0	224	6	0	0	0	83	0	2	0	2	0	3	0	0	0	0	0	0	73	0	22	51	0	0	0	0	175	0	0	0	0	23	10	0	0	0	0	0	0	4	0	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	145	"AWI"	145	153	1044	502	66	2	120	1	0	0	2	0	0	123	1	0	3	0	0	0	0	0	250	33	0	0	0	86	0	0	0	4	0	0	0	0	0	0	0	0	66	0	20	51	22	0	0	0	139	0	0	0	0	19	7	0	0	0	0	0	0	3	0	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	155	"AWI"	155	179	1094	544	0	4	98	3	2	1	0	0	0	129	3	0	2	0	0	0	0	0	205	14	0	1	0	91	0	0	0	0	0	1	0	0	0	0	0	0	73	0	19	38	12	0	0	0	130	0	0	0	0	20	11	0	0	0	0	0	0	0	2	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	165	"AWI"	165	199	1152	582	1	2	130	1	2	1	1	0	0	128	3	0	1	0	1	0	0	0	206	15	0	0	0	72	0	0	1	1	0	1	0	0	0	0	0	0	78	0	22	46	0	0	0	0	138	0	0	0	1	21	4	0	0	0	0	0	0	3	2	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	175	"AWI"	175	227	1206	622	1	0	76	1	2	0	2	0	0	130	3	0	3	0	1	0	0	0	271	13	0	1	0	75	0	0	0	0	0	2	0	0	0	0	0	0	81	0	18	29	0	0	0	0	140	6	0	0	0	12	12	0	0	0	0	0	0	3	0	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	185	"AWI"	185	256	1240	663	1	1	114	1	3	0	3	0	0	131	7	0	3	0	0	0	0	0	273	12	0	0	0	80	0	0	0	0	0	0	1	0	0	0	0	0	60	0	26	34	0	0	0	0	148	0	0	0	0	15	11	0	0	1	0	0	0	2	2	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	195	"AWI"	195	277	1296	705	0	0	76	0	1	1	4	0	0	241	2	0	1	0	0	0	0	0	256	15	0	0	0	46	0	2	0	2	0	0	0	0	0	0	0	0	72	0	6	20	0	0	0	0	100	0	0	0	0	21	9	0	0	0	0	0	0	1	1	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	205	"AWI"	205	301	1354	747	0	1	108	0	1	0	8	0	0	265	3	0	3	0	1	0	0	0	185	30	0	0	0	44	0	0	0	16	0	0	0	3	0	0	0	0	81	0	16	20	14	0	0	0	65	0	0	0	2	16	12	0	0	1	0	0	0	2	1	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	215	"AWI"	215	330	1403	789	0	3	89	2	8	0	9	0	0	256	8	0	2	0	0	0	0	0	319	54	0	0	0	59	2	0	0	5	0	0	2	0	0	0	0	0	20	0	10	30	36	0	0	0	81	3	0	0	4	85	30	0	0	0	0	0	0	2	4	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	225	"AWI"	225	371	1439	831	0	1	51	1	7	0	4	0	0	288	6	0	3	0	0	0	0	0	152	77	0	0	0	40	0	0	0	3	0	0	0	2	0	2	0	0	19	0	8	9	0	0	0	0	68	0	0	0	6	23	44	0	0	0	0	0	0	4	5	0	0
23862	41366	"Silberhohl"	51.908476	10.181276	235	"AWI"	235	411	1479	874	0	4	70	6	2	2	10	0	0	144	3	3	5	0	0	0	0	0	256	80	0	0	0	75	4	8	0	2	0	1	0	0	0	1	0	0	36	0	11	38	19	0	0	0	105	2	1	0	1	21	60	0	0	4	0	0	0	4	3	0	0
