"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Juniperus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	24	"AWI"	24	6018	6433	6256	0	0.178890876565295	0.178890876565295	0.178890876565295	0	0	0	0.178890876565295	0	0	0.894454382826476	23.7924865831843	0	0	0	0	0.178890876565295	68.515205724508	0	0	0.894454382826476	3.5778175313059	0	0	0.178890876565295	0	0	0	0	1.25223613595707	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	26	"AWI"	26	6362	6755	6504	0	0	0.352941176470588	0.352941176470588	0.823529411764706	0	0	0	0	0	2	11.2941176470588	0	0	0	0	0.117647058823529	80.3529411764706	0	0	0.470588235294118	3.64705882352941	0	0	0	0	0	0	0.117647058823529	0.117647058823529	0.352941176470588
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	28	"AWI"	28	6527	7145	6778	0.316122233930453	0	0	0	0.105374077976818	0	0	0	0	0	0.105374077976818	12.4341412012645	0	0	0	0	1.36986301369863	83.7723919915701	0	0	0.105374077976818	1.58061116965227	0	0	0	0	0	0	0	0	0.210748155953635
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	30	"AWI"	30	6723	7504	7053	0	0.137551581843191	0	0.137551581843191	0	0	0	0	0	0	0.275103163686382	10.1788170563961	0	0	0	0	0.687757909215956	87.2077028885832	0	0	0	0.825309491059147	0	0	0	0	0	0	0.275103163686382	0	0.275103163686382
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	32	"AWI"	32	6930	7840	7323	0	0.10515247108307	0	0	0.210304942166141	0	0	0	0	0	0	7.67613038906414	0	0	0	0	1.0515247108307	90.0105152471083	0	0	0	0.525762355415352	0	0	0.10515247108307	0	0	0	0	0	0.315457413249211
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	34	"AWI"	34	7144	8156	7595	0	0.128865979381443	0	0	0.128865979381443	0	0	0	0	0	0	1.67525773195876	0	0	0	0	0	97.5515463917526	0	0	0	0.515463917525773	0	0	0	0	0	0	0	0	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	36	"AWI"	36	7375	8480	7865	0	0	0.13262599469496	0	0.13262599469496	0	0	0	0	0	0	0.795755968169761	0	0	0	0	0	98.6737400530504	0	0	0	0.13262599469496	0	0	0	0	0	0	0	0	0.13262599469496
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	38	"AWI"	38	7590	8794	8143	0	0	0	0.164203612479475	0.985221674876847	0	0	0	0	0	0	0.492610837438424	0	0	0.164203612479475	0	0	97.8653530377668	0	0	0.328407224958949	0	0	0	0	0	0	0	0	0	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	40	"AWI"	40	7825	9102	8414	0	0	0	0	2.12264150943396	0	0	0	0	0	0	2.35849056603774	0	0	0	0	0	94.3396226415094	0	1.17924528301887	0	0	0	0	0	0	0	0	0	0	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	43	"AWI"	43	8187	9551	8823	0	0.618556701030928	0	0	1.23711340206186	0	0	0.206185567010309	0	0	0	7.01030927835052	0	0	0	0	0	90.7216494845361	0	0	0	0	0	0	0	0	0	0	0.206185567010309	0	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	46	"AWI"	46	8561	9984	9234	0	0	0.483091787439614	0.241545893719807	3.6231884057971	0	0	0	0	0	0	7.0048309178744	0	0	0	0	0	85.2657004830918	0	2.17391304347826	0	0.241545893719807	0	0	0	0	0	0	0.966183574879227	0	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	49	"AWI"	49	8929	10425	9638	0	0	0.252525252525253	0	3.78787878787879	0	0	0	0	0.505050505050505	0	5.55555555555556	0	0	0	0	0	86.6161616161616	0	3.28282828282828	0	0	0	0	0	0	0	0	0	0	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	52	"AWI"	52	9304	10845	10051	0	0	0	0	0.836820083682008	0	0	0	0	0	0	15.4811715481172	0	0	0	0	0	82.4267782426778	0	0	0.418410041841004	0	0	0	0	0	0	0	0.418410041841004	0	0.418410041841004
