"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Taxus"	"Ulmus"
9699	14291	"Reenadinna Wood"	52.00161	-9.544508	2	"AWI"	2	-44	751	163	5	1	0	2	0	7	1	0	0	24	0	6	0	0	0	11	0	3	35	0	0	0	5	0	0	7	0	0	0	0	17	2	148	1
9699	14291	"Reenadinna Wood"	52.00161	-9.544508	6	"AWI"	6	120	1669	611	1	0	0	2	0	4	3	0	0	22	0	5	0	0	0	6	0	1	45	0	0	2	5	0	0	8	0	0	0	0	35	0	14	2
9699	14291	"Reenadinna Wood"	52.00161	-9.544508	10	"AWI"	10	348	2060	1080	4	0	0	1	0	9	2	0	0	31	1	5	0	0	0	9	0	1	39	0	0	1	8	0	0	9	0	0	0	0	25	0	149	0
9699	14291	"Reenadinna Wood"	52.00161	-9.544508	14	"AWI"	14	713	2382	1533	7	0	0	0	0	1	1	0	0	25	0	3	0	0	0	5	1	3	54	0	0	0	4	0	0	1	0	0	8	0	3	1	147	1
9699	14291	"Reenadinna Wood"	52.00161	-9.544508	16	"AWI"	16	864	2558	1754	5	1	0	19	0	15	1	0	1	0	0	4	0	0	0	6	0	4	62	0	0	3	15	0	0	8	0	0	1	0	42	0	85	1
9699	14291	"Reenadinna Wood"	52.00161	-9.544508	17	"AWI"	17	1045	2613	1860	3	0	0	2	0	26	2	0	0	2	0	2	0	0	0	1	0	4	35	0	0	0	2	0	0	14	0	0	0	0	3	0	99	0
9699	14291	"Reenadinna Wood"	52.00161	-9.544508	18	"AWI"	18	1172	2671	1975	8	0	0	1	0	6	3	0	1	24	0	22	0	0	0	2	0	3	36	0	0	2	8	0	0	2	0	0	0	0	19	0	117	0
9699	14291	"Reenadinna Wood"	52.00161	-9.544508	22	"AWI"	22	1834	2912	2414	7	0	0	1	0	2	4	0	4	39	0	16	0	16	0	1	0	3	29	0	0	4	0	0	9	3	0	0	0	0	1	0	26	2
9699	14291	"Reenadinna Wood"	52.00161	-9.544508	25	"AWI"	25	2378	3106	2769	12	0	0	2	0	16	0	0	0	8	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	14	0	0	0	0	33	0	2	5
9699	14291	"Reenadinna Wood"	52.00161	-9.544508	26	"AWI"	26	2565	3242	2907	3	0	0	1	0	1	0	0	1	34	0	9	0	0	0	1	0	1	15	0	0	0	0	0	0	1	0	0	0	0	1	0	24	0
9699	14291	"Reenadinna Wood"	52.00161	-9.544508	30	"AWI"	30	3027	4260	3537	13	0	0	2	0	1	0	1	0	64	0	4	0	0	0	0	0	1	43	0	0	1	2	0	0	3	1	0	0	0	5	0	17	1
9699	14291	"Reenadinna Wood"	52.00161	-9.544508	33	"AWI"	33	3371	5063	4094	1	0	0	1	0	4	0	0	0	46	0	1	0	0	0	3	0	0	72	0	0	0	0	0	12	24	0	0	0	0	8	0	13	3
9699	14291	"Reenadinna Wood"	52.00161	-9.544508	41	"AWI"	41	4709	6388	5741	3	1	0	4	0	5	1	0	0	4	0	0	0	0	1	6	1	2	50	0	0	0	1	0	0	11	1	0	0	0	0	0	15	4
9699	14291	"Reenadinna Wood"	52.00161	-9.544508	45	"AWI"	45	5998	6803	6485	28	0	0	2	0	3	0	0	0	27	0	0	0	0	0	0	0	0	30	0	0	1	17	0	0	1	0	0	0	0	0	0	0	9
9699	14291	"Reenadinna Wood"	52.00161	-9.544508	57	"AWI"	57	7313	10874	8645	16	0	0	2	0	5	0	0	0	77	0	0	1	0	0	0	0	0	21	0	0	0	45	0	0	27	1	0	0	0	2	0	2	8
9699	14291	"Reenadinna Wood"	52.00161	-9.544508	81	"AWI"	81	10475	16869	13210	9	0	0	0	0	5	0	0	0	16	0	0	0	0	0	2	0	0	25	0	0	0	2	0	0	5	2	0	0	0	0	0	0	3
9699	14291	"Reenadinna Wood"	52.00161	-9.544508	97	"AWI"	97	12815	20425	16199	0	0	0	2	0	18	0	0	0	158	0	0	0	0	0	0	0	0	26	0	0	1	34	0	0	25	2	0	0	0	114	0	0	1
9699	14291	"Reenadinna Wood"	52.00161	-9.544508	144	"AWI"	144	20756	29819	25232	0	0	0	0	0	29	0	0	0	75	0	0	0	0	0	0	0	1	9	0	0	0	1	0	0	5	0	0	0	0	66	0	0	1
9699	14291	"Reenadinna Wood"	52.00161	-9.544508	161	"AWI"	161	23840	33121	28553	1	0	0	0	0	37	1	0	0	26	0	1	0	0	1	1	0	0	10	0	0	0	2	0	0	2	0	0	0	0	14	0	0	0
