"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Violaceae"
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	430	"AWI"	430	11746	12864	12486	1	0	5	58	6	0	0	152	0	38	5	0	2	0	0	9	0	0	0	0	3	0	0	0	8	0	0	0	0	100	0	52	0	0	29	0	0	8	5	3	0	0	2	1	2	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	432.5	"AWI"	432.5	12192.5	12919.5	12604.5	1	0	9	68	11	0	0	202	0	25	3	0	0	0	0	0	0	4	0	0	0	0	0	0	6	0	1	0	0	84	0	89	0	1	10	0	0	8	3	0	0	0	5	0	0	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	435	"AWI"	435	12501	13027	12736	0	0	2	66	9	0	0	208	23	21	3	0	0	0	1	5	2	2	0	0	1	0	0	0	5	0	0	0	0	85	0	93	0	0	10	0	0	8	3	0	0	0	2	0	0	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	437.5	"AWI"	437.5	12743	13274	12944	0	0	3	55	1	0	0	118	0	48	1	0	0	0	0	2	2	4	0	0	0	0	2	0	5	0	0	0	1	237	0	63	0	0	20	0	0	6	5	1	0	1	3	1	3	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	440	"AWI"	440	12799	13809	13133	1	2	8	29	4	0	0	85	0	52	0	0	3	0	0	5	2	0	0	0	0	0	0	0	8	0	0	0	1	195	0	80	0	0	36	0	0	5	6	0	0	1	2	5	6	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	442.5	"AWI"	442.5	12943	14018.5	13391	1	0	3	24	3	0	0	91	0	31	4	0	0	0	2	2	1	0	0	0	0	0	1	0	7	0	0	0	2	201	0	48	0	0	21	0	0	5	6	0	0	0	0	1	1	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	445	"AWI"	445	13019	14436	13627	0	0	2	23	4	0	0	43	0	55	6	0	3	0	0	8	4	0	0	0	0	0	1	0	10	0	0	0	3	192	0	72	0	0	16	0	0	6	5	0	0	0	2	0	1	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	447.5	"AWI"	447.5	13256.5	14562	13875	2	0	7	18	2	0	0	95	0	31	0	0	0	0	0	5	0	2	0	0	0	0	2	0	8	0	0	0	2	328	0	109	0	0	13	0	0	11	3	0	0	0	3	2	0	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	450	"AWI"	450	13382	14810	14122	0	0	4	16	8	1	0	67	0	38	1	0	0	0	0	5	2	0	0	0	0	0	0	0	12	0	0	0	0	289	0	68	0	0	14	0	0	5	14	0	0	1	0	0	0	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	452.5	"AWI"	452.5	13682.5	14896.5	14351.5	0	0	1	10	2	0	0	55	0	18	0	0	0	0	0	4	3	0	0	0	0	1	0	0	4	0	0	0	0	296	0	63	0	0	5	0	0	4	3	1	0	0	2	0	1	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	455	"AWI"	455	13850	15063	14590	0	0	2	20	6	0	0	67	0	29	3	0	5	0	0	5	5	0	0	0	0	0	0	1	8	0	1	0	0	218	0	87	0	0	4	0	0	4	10	1	0	0	7	0	0	0
14659	23000	"Lake Sedmo Rilsko"	42.21074	23.325318	457.5	"AWI"	457.5	14228.5	15125.5	14804.5	0	0	1	12	3	0	0	69	0	23	0	0	1	0	1	3	0	0	0	0	0	0	0	0	2	0	0	4	0	222	0	102	0	0	2	0	0	7	5	1	0	0	7	0	1	0
