"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Celastraceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Tofieldiaceae"	"Ulmus"	"Urticaceae"
3180	4136	"Kangerjoki"	66.12667	28.99524	1	"AWI"	1	-92	76	-3	1.5358361774744	0	0	0.170648464163823	0	39.2491467576792	0	0	0	0	0	0.511945392491468	2.21843003412969	2.55972696245734	0	0	0	0.170648464163823	0	0.170648464163823	0	8.3617747440273	44.8805460750853	0	0	0	0	0	0	0	0.170648464163823	0	0	0	0	0	0	0
3180	4136	"Kangerjoki"	66.12667	28.99524	5	"AWI"	5	-38	304	96	2.05992509363296	0.187265917602996	0	0.561797752808989	0	31.8352059925094	0	0	0	0	0	0.187265917602996	25.4681647940075	0	0	0	0	2.99625468164794	0	0	0	6.36704119850187	29.5880149812734	0	0	0	0.187265917602996	0	0	0.374531835205993	0	0	0	0	0	0	0	0.187265917602996
3180	4136	"Kangerjoki"	66.12667	28.99524	7	"AWI"	7	13	339	155	2.60047281323877	0	0	0.472813238770686	0	30.4964539007092	0	0.236406619385343	0	0	0	0	21.0401891252955	0	0	0	0	1.6548463356974	0	0	0	6.85579196217494	34.2789598108747	0	1.89125295508274	0	0	0	0	0.236406619385343	0.236406619385343	0	0	0	0	0	0	0
3180	4136	"Kangerjoki"	66.12667	28.99524	10	"AWI"	10	56	426	241	2.92397660818713	0	0	0.292397660818713	0	51.5594541910331	0.0974658869395711	0	0	0	0	0.584795321637427	4.48343079922027	1.46198830409357	0	0	0	0.0974658869395711	0	0.487329434697856	0	8.86939571150097	26.8031189083821	0.0974658869395711	1.16959064327485	0	0.0974658869395711	0	0.0974658869395711	0.389863547758285	0.389863547758285	0	0	0	0	0	0	0.0974658869395711
3180	4136	"Kangerjoki"	66.12667	28.99524	13	"AWI"	13	170	483	359	2.55009107468124	0	0	0.546448087431694	0	42.9872495446266	0	0.182149362477231	0	0	0	0.364298724954463	2.73224043715847	0	0	0	0	0.364298724954463	0	0.364298724954463	0	10.0182149362477	39.5264116575592	0	0	0	0.182149362477231	0	0	0.182149362477231	0	0	0	0	0	0	0	0
3180	4136	"Kangerjoki"	66.12667	28.99524	15	"AWI"	15	218	570	432	1.8058690744921	0	0	0	0	39.2776523702032	0	0	0	0	0	0.677200902934537	3.16027088036117	0	0	0	0	0.225733634311512	0	0	0	10.6094808126411	42.2121896162528	0	1.35440180586907	0	0	0	0	0.225733634311512	0.225733634311512	0	0	0	0.225733634311512	0	0	0
3180	4136	"Kangerjoki"	66.12667	28.99524	18	"AWI"	18	490	843	649	1.02564102564103	0	0	0.512820512820513	0	43.8461538461538	0	0	0	0	0	0	3.07692307692308	0	0	0	0	0.256410256410256	0	0.256410256410256	0	12.5641025641026	38.4615384615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3180	4136	"Kangerjoki"	66.12667	28.99524	20	"AWI"	20	596	1106	796	0.186219739292365	0	0	0.37243947858473	0	45.0651769087523	0	0	0	0	0	0.558659217877095	3.7243947858473	0	0	0	0	0.74487895716946	0	0.37243947858473	0.186219739292365	11.9180633147114	36.3128491620112	0.186219739292365	0	0.186219739292365	0	0	0	0	0.186219739292365	0	0	0	0	0	0	0
3180	4136	"Kangerjoki"	66.12667	28.99524	25	"AWI"	25	931	2356	1473	2.81329923273657	0	0	0	0	42.7109974424552	0	0	0	0	0	1.0230179028133	4.85933503836317	0	0	0	0	0	0	0.255754475703325	0	8.69565217391304	39.1304347826087	0	0	0	0	0	0	0	0.255754475703325	0	0	0	0	0	0.255754475703325	0
3180	4136	"Kangerjoki"	66.12667	28.99524	31	"AWI"	31	1789	2979	2410	2.87081339712919	0	0	0.159489633173844	0	48.8038277511962	0	0	0	0	0	0.637958532695375	2.5518341307815	2.87081339712919	0	0	0	0	0	0	0	9.25039872408293	32.2169059011164	0	0	0.159489633173844	0	0	0	0	0.318979266347687	0	0	0	0	0	0.159489633173844	0
3180	4136	"Kangerjoki"	66.12667	28.99524	35	"AWI"	35	2590	3711	3109	3.57142857142857	0	0	0.127551020408163	0	47.7040816326531	0	0	0	0	0	0.510204081632653	1.78571428571429	2.29591836734694	0	0	0	0.127551020408163	0	0	0	9.18367346938776	34.1836734693878	0	0	0	0	0	0	0	0	0	0	0	0	0	0.510204081632653	0
3180	4136	"Kangerjoki"	66.12667	28.99524	41	"AWI"	41	4173	5153	4688	2.5607353906763	0	0	0.262639527248851	0	46.9468154957321	0	0	0	0	0	0.984898227183191	2.10111621799081	1.44451739986868	0	0	0	0.196979645436638	0	0.196979645436638	0	8.53578463558766	35.7189757058437	0	0	0.459619172685489	0	0	0	0	0.0656598818122127	0	0	0	0	0	0.525279054497702	0
3180	4136	"Kangerjoki"	66.12667	28.99524	45	"AWI"	45	4577	5698	5180	2.8	0.1	0	0	0	47.8	0.1	0	0	0	0	1.2	1.1	1	0	0	0	0.3	0	0.1	0	7.5	37.5	0	0	0	0	0	0	0	0.1	0	0.1	0	0.1	0	0.2	0
