"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"
3109	4045	"Flögeln"	53.669394	8.762382	1	"AWI"	1	-127	50	-37	0	0	75	7	1	0	1	0	164	5	0	0	0	0	81	11	0	0	18	0	0	0	0	1	0	0	49	0	0	0	8	153	0	0	1734	0	0	71	0	0	9	4	4	0	0	0	6	0
3109	4045	"Flögeln"	53.669394	8.762382	6	"AWI"	6	-88	243	30	0	0	129	5	0	0	0	0	179	0	0	0	0	0	117	9	0	0	47	0	0	0	0	0	0	0	61	0	0	9	1	82	0	0	126	0	0	45	0	0	0	360	2	0	0	1	5	0
3109	4045	"Flögeln"	53.669394	8.762382	11	"AWI"	11	-52	417	101	0	0	144	3	0	0	1	0	86	3	0	0	0	0	105	81	0	0	121	0	0	0	0	0	0	0	19	0	0	25	2	61	0	0	0	0	1	57	0	0	0	36	1	0	0	1	2	0
3109	4045	"Flögeln"	53.669394	8.762382	16	"AWI"	16	-15	511	186	0	0	139	4	0	0	1	0	136	1	0	0	0	0	90	30	0	0	93	0	1	0	0	0	0	0	122	0	1	14	0	17	0	0	61	0	0	91	0	0	0	8	4	0	0	2	3	0
3109	4045	"Flögeln"	53.669394	8.762382	21	"AWI"	21	33	614	264	0	0	73	5	1	1	3	0	113	5	0	0	0	0	123	65	0	0	34	0	3	0	0	0	0	0	152	0	0	8	6	69	0	0	91	0	0	187	0	0	0	16	3	0	0	0	2	0
3109	4045	"Flögeln"	53.669394	8.762382	26	"AWI"	26	80	701	347	0	0	139	4	1	0	2	0	175	1	0	0	0	0	160	38	0	0	24	0	1	0	0	0	0	0	90	0	0	16	0	71	0	0	0	0	0	70	0	0	0	6	3	0	0	0	1	0
3109	4045	"Flögeln"	53.669394	8.762382	31	"AWI"	31	141	789	427	0	0	137	8	0	0	2	0	188	2	0	0	0	0	202	43	0	0	50	0	1	0	0	0	0	0	86	0	0	22	3	22	0	0	0	0	0	68	0	0	0	12	3	0	0	0	6	0
3109	4045	"Flögeln"	53.669394	8.762382	36	"AWI"	36	197	865	511	0	0	131	13	0	0	0	0	207	0	0	0	0	0	68	176	0	0	58	0	3	0	0	0	0	0	24	0	0	21	0	41	0	0	59	0	0	34	0	0	0	4	3	0	0	0	2	0
3109	4045	"Flögeln"	53.669394	8.762382	41	"AWI"	41	266	941	590	0	0	116	8	1	0	2	0	131	0	0	0	0	0	124	144	0	0	89	0	0	0	0	0	0	0	176	0	1	24	0	32	0	0	38	0	0	96	0	0	0	13	7	0	0	0	5	0
3109	4045	"Flögeln"	53.669394	8.762382	46	"AWI"	46	322	1016	675	0	1	143	4	0	0	1	0	136	4	0	0	0	0	47	954	0	0	76	0	0	0	0	0	0	0	20	0	0	38	0	46	0	0	0	0	0	67	0	0	0	7	1	0	0	0	2	0
