"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caryophyllaceae"	"Castanea"	"Chamaerops"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Eucalyptus"	"Euphorbiaceae"	"Fagus"	"Ficus"	"Fraxinus"	"Heliotropium"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Olea"	"Onagraceae"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Saxifragaceae"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
26121	45322	"Lago Preola"	37.61667	12.63333	352	"AWI"	352	4113	4852	4496	0.483091787439614	0.966183574879227	0	0	0	3.38164251207729	0	0	0	0	0	0.483091787439614	0	0	0.483091787439614	0	0	1.44927536231884	0	3.86473429951691	0	0	0	0	4.34782608695652	0	0	0	0	7.72946859903382	0	0	0	0.483091787439614	51.207729468599	0	0	0	3.38164251207729	17.8743961352657	0	0	1.93236714975845	0.483091787439614	0	0.483091787439614	0	0	0	0	0.966183574879227
26121	45322	"Lago Preola"	37.61667	12.63333	368	"AWI"	368	4319	4976	4659	0	1.3840830449827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69204152249135	0	1.3840830449827	0	0	0	0	0.346020761245675	0	0	0	0	2.07612456747405	0	0	0	0	75.4325259515571	0	0	0	1.3840830449827	16.9550173010381	0	0	0	0	0	0	0	0	0	0	0.346020761245675
26121	45322	"Lago Preola"	37.61667	12.63333	384	"AWI"	384	4550	5120	4816	0.586510263929619	2.34604105571848	0	0	0.586510263929619	1.17302052785924	0	0	0	0	0	0.586510263929619	0	0	0	0	0	0.586510263929619	0	3.51906158357771	0	0	0	0	0.586510263929619	0	0	0.293255131964809	0	5.86510263929619	0	0	0	0.586510263929619	49.8533724340176	0	0	0	2.34604105571848	29.3255131964809	0	0	0	0.586510263929619	0	0	0	0	0	0.586510263929619	0.586510263929619
26121	45322	"Lago Preola"	37.61667	12.63333	400	"AWI"	400	4844	5236	4964	0.66006600660066	0.99009900990099	0	0	0	0	0	0	0	0	0	0	0	0	0.66006600660066	0	0.66006600660066	0.66006600660066	0	1.65016501650165	0	0	0	0	2.31023102310231	0	0	0	0	12.2112211221122	0	0	0	0	42.5742574257426	0	0	0	2.31023102310231	34.3234323432343	0	0	0	0.99009900990099	0	0	0	0	0	0	0
26121	45322	"Lago Preola"	37.61667	12.63333	416	"AWI"	416	4954	5395	5131	0.321543408360129	1.28617363344051	0	0	0	0.321543408360129	0	0	0	0	0	0	0	0	0.321543408360129	0	0	0	0	1.60771704180064	0	0	0	0	2.89389067524116	0	0	0	0	18.6495176848875	0	0	0	0	30.5466237942122	0	0	0	3.85852090032154	39.5498392282958	0	0	0	0.321543408360129	0	0	0	0	0.321543408360129	0	0
26121	45322	"Lago Preola"	37.61667	12.63333	432	"AWI"	432	5066	5576	5295	0	0.700934579439252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233644859813084	0	0.467289719626168	0	0	0	0	0	0	0	0	0	2.33644859813084	0	0	0	0	27.5700934579439	0	0	0	1.63551401869159	66.8224299065421	0	0	0	0	0	0	0	0	0	0	0.233644859813084
26121	45322	"Lago Preola"	37.61667	12.63333	448	"AWI"	448	5205	5725	5463	0	0.636942675159236	0	0	0	0.636942675159236	0	0	0	0	0	0.636942675159236	0	0	0	0	0	1.91082802547771	0	0.636942675159236	0	0	0	0	0	0	0	0	0	10.1910828025478	0	0	0	0.636942675159236	47.1337579617834	0	0	0	3.18471337579618	33.7579617834395	0	0	0	0.636942675159236	0	0	0	0	0	0	0
26121	45322	"Lago Preola"	37.61667	12.63333	464	"AWI"	464	5370	5857	5625	0.32051282051282	1.6025641025641	0	0	0.32051282051282	0.641025641025641	0	0	0	0	0	0	0	0	0.32051282051282	0	0.961538461538462	0.961538461538462	0	2.24358974358974	0	0	0	0	3.84615384615385	0	0	0	0	11.5384615384615	0	0	0	0.32051282051282	42.6282051282051	0	0	0	0.32051282051282	33.974358974359	0	0	0	0	0	0	0	0	0	0	0
26121	45322	"Lago Preola"	37.61667	12.63333	480	"AWI"	480	5551	5996	5786	0	2.33918128654971	0	0	0	0.584795321637427	0	0	0	0	0	0	0	0	0	0	1.16959064327485	1.16959064327485	0	1.16959064327485	0	0	0	0	1.75438596491228	0	0	0	0	18.7134502923977	0	0	0	0	30.4093567251462	0	0	0	4.67836257309941	33.9181286549708	0	0	2.92397660818713	0	0	0	0	0	0	0	1.16959064327485
26121	45322	"Lago Preola"	37.61667	12.63333	512	"AWI"	512	5876	6407	6097	0.550964187327824	1.10192837465565	0.275482093663912	0	0.550964187327824	0	0	0	0	0	0	0	0	0	0	0	0	2.20385674931129	0	1.65289256198347	0	0	0	0.550964187327824	0.550964187327824	0	0	0	0	22.5895316804408	0	0	0	0	45.7300275482094	0	8.26446280991736	0	0.550964187327824	15.4269972451791	0	0	0	0	0	0	0	0	0	0	0
