"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Lythraceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
23886	41421	"Pannel Bridge"	50.90583	0.67528	15	"AWI"	15	-57	672	240	0	58	3	0	0	0	0	0	0	17	0	0	0	0	0	0	0	20	0	36	0	0	0	0	0	1	0	0	0	0	24	0	0	0	0	18	1	0	0	0	0	0	219	0	0	1	13	14	0	0	1	0	2	0	0	0	0	0	0	0	0
23886	41421	"Pannel Bridge"	50.90583	0.67528	20	"AWI"	20	-43	927	340	2	112	4	0	0	0	3	0	0	35	0	0	0	0	0	0	0	21	0	69	0	0	0	0	0	1	0	0	0	0	24	0	0	0	0	10	0	0	0	0	1	0	216	0	0	0	22	0	0	0	5	0	3	0	0	0	0	0	3	0	0
23886	41421	"Pannel Bridge"	50.90583	0.67528	25	"AWI"	25	-33	1173	442	1	570	1	0	1	0	0	0	0	56	0	0	0	0	0	0	0	60	0	154	0	0	0	0	5	5	0	0	0	1	4	0	0	0	0	23	0	0	0	0	0	0	151	0	0	1	36	0	0	0	2	0	14	0	1	0	0	1	1	2	3
23886	41421	"Pannel Bridge"	50.90583	0.67528	30	"AWI"	30	-22	1424	541	0	1816	2	0	0	0	2	0	0	52	0	0	0	0	0	0	0	190	0	222	0	0	0	3	3	11	0	0	0	1	8	0	0	0	0	40	0	0	0	0	3	0	0	0	0	0	122	0	0	0	5	0	11	0	0	0	0	3	3	0	2
23886	41421	"Pannel Bridge"	50.90583	0.67528	38	"AWI"	38	-5	1823	702	0	728	0	0	1	1	0	0	0	57	0	0	0	0	0	0	0	132	0	187	0	0	0	2	3	21	0	0	0	2	3	0	0	0	0	33	0	0	0	0	2	0	25	0	1	0	87	0	0	0	3	0	23	0	0	0	0	0	1	1	22
23886	41421	"Pannel Bridge"	50.90583	0.67528	46	"AWI"	46	143	1883	872	0	1504	3	0	4	2	0	0	0	81	0	0	0	0	0	0	0	169	2	138	0	0	0	8	4	9	0	0	0	2	59	0	0	0	1	58	0	1	0	0	3	0	0	0	1	0	158	0	0	0	2	0	10	0	0	0	0	4	2	2	19
23886	41421	"Pannel Bridge"	50.90583	0.67528	54	"AWI"	54	220	1964	1040	0	696	2	0	1	1	3	0	0	73	0	0	0	0	0	0	0	92	0	90	0	0	0	1	2	8	0	0	0	0	1	0	0	0	0	32	0	0	0	0	1	0	0	0	2	1	98	0	1	0	2	2	9	0	1	2	0	1	2	2	22
23886	41421	"Pannel Bridge"	50.90583	0.67528	64	"AWI"	64	295	2121	1258	0	792	3	0	0	1	1	0	0	70	0	0	0	0	0	0	0	107	0	134	2	1	0	3	2	12	0	0	1	2	5	0	0	0	0	44	0	0	0	1	3	0	45	0	0	1	107	0	0	0	2	0	7	0	0	0	0	0	1	2	7
23886	41421	"Pannel Bridge"	50.90583	0.67528	70	"AWI"	70	344	2256	1378	0	786	0	0	1	3	0	0	0	65	0	0	0	0	0	0	0	85	0	84	0	0	0	2	3	12	0	0	0	1	4	0	0	0	1	44	0	1	0	0	0	0	0	0	0	0	85	0	0	0	0	0	20	0	0	0	0	1	2	0	7
23886	41421	"Pannel Bridge"	50.90583	0.67528	78	"AWI"	78	457	2423	1523	0	1525	2	0	0	2	0	0	0	46	0	0	0	0	0	0	0	100	0	66	0	0	0	4	4	8	0	0	0	0	54	0	0	0	0	27	0	0	0	0	3	0	0	1	0	0	73	0	0	0	0	0	5	0	0	0	0	1	1	0	12
