"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
15822	24339	"Mount Paiko"	41.05167	22.27472	0	"AWI"	0	-119	51	-43	4	0	4	6	0	4	0	2	0	0	0	0	2	1	1	0	0	285	2	1	0	140	5	0	1	0	1	0	46	64	32	38	0	0	90	1	0	8	18	0	0	1	0	0
15822	24339	"Mount Paiko"	41.05167	22.27472	10	"AWI"	10	-52	501	123	7	0	9	12	0	3	0	1	0	0	0	0	15	1	0	0	0	289	1	2	0	83	6	0	4	0	0	0	41	102	48	73	6	0	93	7	0	12	23	0	0	0	0	0
15822	24339	"Mount Paiko"	41.05167	22.27472	20	"AWI"	20	44	755	324	2	1	3	6	0	13	0	1	0	1	0	0	4	14	2	0	0	446	0	2	0	92	3	0	8	0	1	0	36	86	44	82	1	0	76	1	0	23	16	0	0	0	2	1
15822	24339	"Mount Paiko"	41.05167	22.27472	26	"AWI"	26	131	863	443	3	0	19	6	0	2	0	1	0	1	0	2	9	0	0	0	0	61	1	2	0	48	6	0	5	0	0	0	11	53	26	408	4	1	78	6	0	6	5	3	0	0	0	0
15822	24339	"Mount Paiko"	41.05167	22.27472	30	"AWI"	30	164	981	520	3	0	22	5	0	0	0	0	0	0	0	0	1	0	0	0	0	278	1	0	0	19	0	0	1	0	0	0	0	79	12	59	1	0	48	0	0	3	0	0	1	0	0	1
15822	24339	"Mount Paiko"	41.05167	22.27472	40	"AWI"	40	320	1174	724	1	0	30	7	0	1	0	0	0	1	0	0	3	5	0	0	0	263	0	0	0	40	1	0	1	0	0	0	10	118	12	53	1	1	82	4	0	7	0	1	0	1	0	0
15822	24339	"Mount Paiko"	41.05167	22.27472	45	"AWI"	45	434	1236	822	6	2	35	9	7	5	0	0	0	0	0	0	9	0	2	0	0	681	0	2	0	64	2	0	6	0	0	0	11	156	20	286	9	0	103	5	0	14	2	2	0	2	0	0
15822	24339	"Mount Paiko"	41.05167	22.27472	50	"AWI"	50	502	1341	923	13	0	37	10	0	4	0	1	0	0	0	0	3	3	0	0	0	704	0	0	0	69	1	1	1	0	0	0	14	160	5	66	7	0	119	4	0	20	4	4	0	0	0	0
15822	24339	"Mount Paiko"	41.05167	22.27472	60	"AWI"	60	688	1493	1125	5	0	36	8	0	6	0	3	0	0	0	0	9	2	0	0	0	460	0	0	0	54	1	0	5	0	0	0	15	168	18	102	8	0	108	3	0	23	1	1	0	0	0	0
15822	24339	"Mount Paiko"	41.05167	22.27472	70	"AWI"	70	944	1623	1327	4	0	49	0	0	3	0	2	0	0	0	0	2	0	0	0	0	57	0	1	0	25	1	0	0	0	1	0	0	72	3	32	3	0	46	1	0	0	3	0	0	0	0	0
15822	24339	"Mount Paiko"	41.05167	22.27472	75	"AWI"	75	1134	1674	1416	6	0	130	3	0	2	0	10	0	0	0	0	1	0	0	0	0	84	0	1	0	5	4	0	0	0	0	0	0	115	5	39	5	0	83	0	0	1	0	0	0	3	0	0
15822	24339	"Mount Paiko"	41.05167	22.27472	80	"AWI"	80	1249	1760	1516	0	1	18	7	0	3	0	1	0	0	0	0	6	5	0	0	0	244	1	0	0	18	0	0	8	0	0	0	9	21	18	60	7	0	159	4	0	5	1	5	0	1	0	0
15822	24339	"Mount Paiko"	41.05167	22.27472	88	"AWI"	88	1435	1887	1654	1	1	6	7	8	5	0	0	0	1	0	0	6	0	0	0	0	115	0	1	0	14	4	0	11	0	0	0	0	13	24	304	9	1	118	3	0	17	14	2	0	0	0	0
15822	24339	"Mount Paiko"	41.05167	22.27472	95	"AWI"	95	1519	2037	1771	7	2	16	10	0	15	0	7	0	2	0	0	8	2	2	0	0	706	0	0	0	44	7	0	15	0	0	0	38	42	24	182	10	0	273	7	0	16	10	10	0	2	0	0
15822	24339	"Mount Paiko"	41.05167	22.27472	100	"AWI"	100	1557	2175	1849	9	1	7	6	5	2	0	2	0	2	0	0	5	0	0	0	0	490	0	1	0	39	1	0	7	0	0	0	24	78	19	239	5	0	161	6	0	6	2	1	1	0	0	1
15822	24339	"Mount Paiko"	41.05167	22.27472	110	"AWI"	110	1696	2341	2018	11	1	3	6	0	1	0	0	0	0	0	0	18	1	1	0	0	253	1	0	0	22	2	0	3	0	0	0	0	55	21	163	5	0	128	5	0	3	4	3	0	1	0	1
15822	24339	"Mount Paiko"	41.05167	22.27472	120	"AWI"	120	1844	2490	2188	17	1	4	0	0	0	0	0	0	0	0	0	7	0	1	0	0	46	0	0	0	5	0	0	0	0	0	0	0	153	5	31	1	0	25	2	0	1	0	0	1	0	0	0
15822	24339	"Mount Paiko"	41.05167	22.27472	130	"AWI"	130	2033	2615	2351	15	5	2	2	0	4	0	3	0	0	0	0	8	0	1	0	0	66	0	0	0	6	1	0	0	0	0	0	0	149	5	68	4	0	98	2	0	9	0	3	0	1	0	0
15822	24339	"Mount Paiko"	41.05167	22.27472	140	"AWI"	140	2242	2729	2501	19	2	8	8	9	2	0	1	0	0	1	0	20	0	2	0	0	126	0	0	0	11	1	0	0	0	1	0	0	138	26	171	15	0	105	4	0	9	11	7	4	0	0	0
15822	24339	"Mount Paiko"	41.05167	22.27472	145	"AWI"	145	2316	2787	2551	28	2	7	3	0	0	0	1	0	0	0	0	16	0	0	0	0	88	0	0	0	11	5	0	0	0	0	3	13	165	13	0	13	0	113	4	0	6	2	9	2	0	0	0
15822	24339	"Mount Paiko"	41.05167	22.27472	150	"AWI"	150	2366	2880	2602	18	1	3	3	0	2	0	1	0	0	0	0	3	0	1	0	0	60	0	1	0	16	2	0	0	0	0	10	15	67	3	0	5	0	59	0	0	2	1	0	1	0	0	3
15822	24339	"Mount Paiko"	41.05167	22.27472	160	"AWI"	160	2451	2997	2704	61	2	2	0	0	9	0	3	0	0	0	0	21	0	0	0	0	43	0	0	0	28	1	0	0	0	0	14	27	155	16	108	23	0	50	3	0	12	12	0	1	0	0	1
15822	24339	"Mount Paiko"	41.05167	22.27472	170	"AWI"	170	2548	3116	2808	76	12	5	2	7	3	0	0	0	0	9	0	11	0	1	0	2	104	0	2	6	81	4	0	0	0	3	2	26	133	38	119	13	0	36	5	0	16	15	2	2	0	0	0
15822	24339	"Mount Paiko"	41.05167	22.27472	180	"AWI"	180	2652	3237	2910	55	3	6	2	0	2	0	0	3	0	0	0	18	0	0	3	0	40	0	1	0	52	1	0	0	0	1	1	28	123	14	123	14	0	45	13	0	7	2	0	1	1	0	0
15822	24339	"Mount Paiko"	41.05167	22.27472	185	"AWI"	185	2719	3274	2962	72	5	1	7	0	4	0	1	0	0	0	0	12	0	0	3	0	40	0	0	0	56	0	0	0	0	0	0	34	160	12	138	6	0	57	12	0	6	6	1	2	0	0	1
15822	24339	"Mount Paiko"	41.05167	22.27472	195	"AWI"	195	2814	3395	3076	71	3	9	2	0	2	0	0	0	0	0	0	6	0	1	2	0	29	0	2	0	68	0	0	0	1	0	0	25	159	4	107	9	0	36	3	0	2	1	3	6	2	0	0
