"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tofieldiaceae"	"Ulmus"	"Urticaceae"
16653	26429	"Miesberg"	47.64907	12.27363	80	"AWI"	80	4792	7599	6527	18	5	94	0	0	0	0	3	0	0	5	0	0	0	0	0	0	13	37	0	0	4	0	0	0	29	0	0	0	0	0	0	0	882	56	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	14	0	40	0
16653	26429	"Miesberg"	47.64907	12.27363	90	"AWI"	90	5235	7788	6858	12	7	82	0	0	0	0	1	0	0	17	0	0	0	0	0	0	70	11	0	0	18	0	8	0	31	0	0	0	0	0	0	0	713	47	0	12	0	0	31	0	0	0	0	0	0	0	0	0	0	0	32	0	59	1
16653	26429	"Miesberg"	47.64907	12.27363	100	"AWI"	100	5511	8198	7197	2	8	69	0	0	2	0	2	0	0	34	0	1	1	0	0	0	88	21	0	0	13	0	12	0	47	0	0	0	0	0	0	0	573	45	0	17	0	0	50	0	0	0	0	0	1	0	0	0	0	0	44	0	88	0
16653	26429	"Miesberg"	47.64907	12.27363	110	"AWI"	110	6322	8318	7505	1	16	68	0	0	3	1	3	0	0	35	0	0	0	0	0	0	110	36	0	0	5	0	1	0	78	0	0	1	0	0	0	0	409	43	0	18	0	0	56	0	0	0	0	0	2	0	0	0	0	0	40	0	137	2
16653	26429	"Miesberg"	47.64907	12.27363	120	"AWI"	120	6711	8564	7851	0	6	90	0	0	2	0	0	0	0	33	1	0	0	0	0	0	75	30	0	0	16	0	0	0	68	0	0	0	0	0	0	0	535	35	0	13	0	0	64	0	0	0	0	2	0	0	0	0	0	1	32	0	77	0
16653	26429	"Miesberg"	47.64907	12.27363	130	"AWI"	130	7195	8654	8138	1	5	86	0	0	2	1	2	0	0	38	0	0	0	0	0	0	114	33	0	0	7	0	0	0	63	0	0	0	0	0	0	0	352	32	0	13	0	0	58	0	0	0	0	0	1	0	0	0	1	0	34	0	156	0
16653	26429	"Miesberg"	47.64907	12.27363	140	"AWI"	140	7475	8837	8462	1	6	62	0	0	5	1	2	0	0	70	0	1	0	0	0	0	86	26	0	0	9	0	1	0	66	0	0	0	0	0	0	0	651	77	0	12	0	0	62	0	0	0	1	1	1	0	0	0	2	2	32	0	234	1
16653	26429	"Miesberg"	47.64907	12.27363	150	"AWI"	150	8361	8892	8706	1	16	104	0	0	12	2	3	0	0	76	0	0	0	0	0	0	181	1	0	0	62	0	0	0	38	0	1	0	0	0	0	0	536	83	0	16	0	0	54	0	0	0	0	0	0	0	0	0	3	1	56	0	181	0
16653	26429	"Miesberg"	47.64907	12.27363	160	"AWI"	160	8777	9296	8964	2	11	67	0	0	0	2	1	0	0	51	0	0	0	0	0	0	121	5	0	0	0	0	1	0	27	0	1	0	0	0	0	0	563	60	0	9	0	0	83	0	0	0	0	0	0	0	0	0	3	0	54	0	137	0
16653	26429	"Miesberg"	47.64907	12.27363	170	"AWI"	170	8877	9430	9127	0	11	66	0	0	0	0	3	0	0	72	0	0	1	0	0	0	221	30	0	0	31	0	0	0	51	0	0	0	0	0	0	1	358	66	0	15	0	0	47	2	0	0	0	0	0	0	0	0	0	0	55	0	155	1
16653	26429	"Miesberg"	47.64907	12.27363	180	"AWI"	180	8921	9701	9269	0	21	111	0	0	5	1	3	0	0	74	0	0	0	0	0	0	395	28	0	0	0	0	0	0	140	0	1	0	0	0	0	0	277	76	0	22	0	0	76	0	0	0	1	0	0	0	0	1	0	0	57	0	213	0
16653	26429	"Miesberg"	47.64907	12.27363	190	"AWI"	190	9083	9774	9436	0	11	27	0	0	3	0	1	0	0	28	0	0	0	0	0	0	223	22	0	0	4	0	0	0	68	0	0	0	0	0	0	0	228	85	0	15	0	0	29	0	0	0	1	0	0	0	0	0	0	1	42	0	148	2
16653	26429	"Miesberg"	47.64907	12.27363	200	"AWI"	200	9172	9915	9604	0	7	25	0	0	1	1	0	2	0	47	0	0	0	0	0	0	178	65	0	0	0	0	2	0	77	0	0	0	0	0	0	0	162	73	0	21	0	0	67	0	0	0	0	3	2	0	0	0	0	0	37	0	111	0
16653	26429	"Miesberg"	47.64907	12.27363	210	"AWI"	210	9498	9959	9745	0	14	51	0	0	5	4	4	0	0	36	0	0	0	0	0	0	406	39	0	0	0	0	0	0	88	0	1	0	0	0	0	0	64	62	0	15	0	0	91	0	0	0	1	1	1	0	0	0	0	0	65	0	159	0
16653	26429	"Miesberg"	47.64907	12.27363	220	"AWI"	220	9715	10058	9899	0	7	55	0	0	1	0	1	0	0	59	0	0	0	0	0	0	380	27	0	0	0	0	0	0	125	0	0	0	0	0	0	0	138	71	0	31	0	0	71	0	0	0	0	0	0	0	0	0	0	0	111	0	179	1
16653	26429	"Miesberg"	47.64907	12.27363	230	"AWI"	230	9879	10218	10039	0	4	68	0	0	3	1	1	0	0	26	0	0	0	0	0	0	413	57	0	0	0	0	0	0	31	0	0	0	0	0	0	1	132	84	0	26	0	0	39	0	0	0	0	0	0	0	0	1	0	0	66	0	127	0
16653	26429	"Miesberg"	47.64907	12.27363	240	"AWI"	240	9931	10552	10166	0	12	44	0	0	2	3	1	0	0	37	0	0	3	0	0	0	374	21	0	0	0	0	0	0	32	1	3	1	0	0	0	1	216	86	0	29	0	0	45	1	0	0	1	2	1	0	0	0	0	0	70	0	118	0
16653	26429	"Miesberg"	47.64907	12.27363	245	"AWI"	245	9990	10608	10233	0	1	28	0	0	0	0	0	0	0	88	0	0	0	0	0	0	246	26	0	0	0	0	0	1	52	0	0	2	0	0	0	1	28	158	0	42	0	0	43	0	0	0	1	2	5	0	0	0	0	1	33	1	90	0
16653	26429	"Miesberg"	47.64907	12.27363	250	"AWI"	250	10023	10682	10303	0	0	45	0	0	0	0	5	0	0	133	0	1	0	0	0	0	284	26	0	0	0	0	0	0	21	0	0	2	0	0	0	2	22	214	0	26	0	0	30	0	0	0	2	1	2	0	0	0	0	1	32	0	104	0
16653	26429	"Miesberg"	47.64907	12.27363	260	"AWI"	260	10074	10889	10434	0	4	52	0	0	2	0	4	0	0	131	0	0	0	0	0	0	244	42	0	0	0	0	0	0	8	0	0	3	0	0	0	0	17	234	0	28	0	0	49	0	0	0	2	2	1	0	0	0	0	0	33	0	113	0
