"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Ilex"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Ulmus"
3214	4173	"Lackan Bog"	54.26583	-6.10082	5	"AWI"	5	1911	2320	2105	11.046511627907	0	0.193798449612403	0	0	0.193798449612403	6.0077519379845	0	0	0	45.7364341085271	9.88372093023256	11.8217054263566	0	1.55038759689922	0.193798449612403	0	0	0	11.046511627907	0.193798449612403	0	0.193798449612403	0.387596899224806	0.775193798449612	0.775193798449612
3214	4173	"Lackan Bog"	54.26583	-6.10082	9	"AWI"	9	2009	2426	2199	9.30232558139535	0	0	0	0	0	4.84496124031008	0.387596899224806	0	0.193798449612403	45.1550387596899	12.984496124031	12.5968992248062	0.193798449612403	1.93798449612403	0	0	0	0	9.49612403100775	0.387596899224806	0	0	0	1.35658914728682	1.16279069767442
3214	4173	"Lackan Bog"	54.26583	-6.10082	13	"AWI"	13	2056	2580	2291	10.4790419161677	0.149700598802395	0	0	0	0	6.88622754491018	0.29940119760479	0.29940119760479	0	36.5269461077844	8.98203592814371	10.1796407185629	0	1.34730538922156	0.449101796407186	0.149700598802395	0	12.5748502994012	9.73053892215569	0.149700598802395	0.598802395209581	0	0	0.898203592814371	0.29940119760479
3214	4173	"Lackan Bog"	54.26583	-6.10082	17	"AWI"	17	2231	2657	2402	10.3030303030303	0	0	0	0	0	4.84848484848485	0	0	0	39.2424242424242	9.6969696969697	10.7575757575758	0	1.06060606060606	0.151515151515152	0.151515151515152	3.33333333333333	10.4545454545455	7.72727272727273	0	0	0	0.151515151515152	1.36363636363636	0.757575757575758
3214	4173	"Lackan Bog"	54.26583	-6.10082	21	"AWI"	21	2376	2700	2529	26.0736196319018	0	0	0	0	0.613496932515337	6.13496932515337	0	0	0	34.0490797546012	3.52760736196319	3.98773006134969	0	2.91411042944785	0	0	0	5.98159509202454	13.0368098159509	0.153374233128834	0	0	0.306748466257669	2.14723926380368	1.07361963190184
3214	4173	"Lackan Bog"	54.26583	-6.10082	25	"AWI"	25	2458	2812	2645	28.2776349614396	0.25706940874036	0	0	0.25706940874036	0	5.1413881748072	0	0	0	19.0231362467866	2.31362467866324	4.88431876606684	0	7.19794344473008	0	0	0	9.25449871465296	19.0231362467866	0.25706940874036	0.77120822622108	0	0	2.05655526992288	1.2853470437018
3214	4173	"Lackan Bog"	54.26583	-6.10082	28	"AWI"	28	2537	2897	2740	26.6401590457256	0	0	0.198807157057654	0	0	6.36182902584493	0	0	0.198807157057654	26.6401590457256	3.37972166998012	3.18091451292246	0	3.97614314115308	0	0	0	9.74155069582505	15.9045725646123	0.397614314115308	0.596421471172962	0	0.198807157057654	1.59045725646123	0.99403578528827
3214	4173	"Lackan Bog"	54.26583	-6.10082	29	"AWI"	29	2549	2934	2764	34.5821325648415	0.288184438040346	0	0	0.288184438040346	0	8.93371757925072	0	0	0	14.4092219020173	6.05187319884726	2.30547550432277	0	4.03458213256484	0.288184438040346	0.288184438040346	0	9.51008645533141	14.4092219020173	0	0	0	0.576368876080692	2.01729106628242	2.01729106628242
3214	4173	"Lackan Bog"	54.26583	-6.10082	33	"AWI"	33	2590	3093	2858	21.7314487632509	0	0	0	0	0	5.12367491166078	0	0	0	44.6996466431095	3.53356890459364	3.53356890459364	0	3.35689045936396	0.176678445229682	0.176678445229682	0	4.9469964664311	9.89399293286219	0.353356890459364	0	0	0.176678445229682	1.41342756183746	0.88339222614841
3214	4173	"Lackan Bog"	54.26583	-6.10082	37	"AWI"	37	2749	3179	2955	24.232633279483	0.323101777059774	0	0	0.161550888529887	0	3.23101777059774	0	0	0	46.6882067851373	3.06946688206785	2.90791599353796	0	1.61550888529887	0	0.161550888529887	0	5.00807754442649	10.016155088853	0.161550888529887	0	0	0	0.807754442649435	1.61550888529887
3214	4173	"Lackan Bog"	54.26583	-6.10082	41	"AWI"	41	2903	3239	3057	25.0793650793651	0	0	0.158730158730159	0	0	6.66666666666667	0	0	0	39.6825396825397	3.33333333333333	2.38095238095238	0	2.22222222222222	0.158730158730159	0	0	6.66666666666667	9.84126984126984	0.317460317460317	0.634920634920635	0.158730158730159	0.158730158730159	1.58730158730159	0.952380952380952
3214	4173	"Lackan Bog"	54.26583	-6.10082	45	"AWI"	45	3022	3337	3166	20.1171875	0	0	0	0	0.1953125	5.078125	0	0	0	43.9453125	1.7578125	5.859375	0	2.9296875	0	0	0	0	16.6015625	0.1953125	0	0	0	1.3671875	1.953125
3214	4173	"Lackan Bog"	54.26583	-6.10082	49	"AWI"	49	3166	3416	3289	18.2203389830508	0	0	0	0	0	3.38983050847458	0	0	0	43.4322033898305	5.93220338983051	0.635593220338983	0	4.44915254237288	0	0.211864406779661	0	8.89830508474576	11.4406779661017	1.0593220338983	0.423728813559322	0	0	0.423728813559322	1.48305084745763
