"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3314	4301	"Lake Nero"	57.18333	39.45139	7430	"AWI"	7430	127122	166576	146075	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0
3314	4301	"Lake Nero"	57.18333	39.45139	12960	"AWI"	12960	232347	309908	269130	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	30	0	0	7	0	0	0	0	0	0
3314	4301	"Lake Nero"	57.18333	39.45139	7520	"AWI"	7520	129829	167820	148087	0	6	0	0	0	122	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0
3314	4301	"Lake Nero"	57.18333	39.45139	7545	"AWI"	7545	130579	168277	148635	0	1	0	0	0	28	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0
3314	4301	"Lake Nero"	57.18333	39.45139	13120	"AWI"	13120	235001	314677	272257	0	1	0	0	0	60	0	0	0	0	0	0	0	0	0	36	0	0	15	0	0	0	0	0	0
3314	4301	"Lake Nero"	57.18333	39.45139	500	"AWI"	500	11526	38395	28098	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	1	0	0	0	0	0	0
3314	4301	"Lake Nero"	57.18333	39.45139	13040	"AWI"	13040	233742	312301	270678	0	2	0	0	0	96	0	0	0	0	0	0	0	0	1	50	0	0	6	0	0	0	0	0	0
3314	4301	"Lake Nero"	57.18333	39.45139	8300	"AWI"	8300	145591	187118	165792	0	10	0	0	0	141	0	0	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0
3314	4301	"Lake Nero"	57.18333	39.45139	7770	"AWI"	7770	135428	172970	153663	0	8	0	0	0	17	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
3314	4301	"Lake Nero"	57.18333	39.45139	6950	"AWI"	6950	118399	157098	137049	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
3314	4301	"Lake Nero"	57.18333	39.45139	12800	"AWI"	12800	230325	306161	265918	0	0	0	0	0	59	0	0	0	0	0	0	0	0	14	42	0	0	0	0	0	0	0	0	0
3314	4301	"Lake Nero"	57.18333	39.45139	7505	"AWI"	7505	129338	167602	147772	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	16	0	0	2	0	0	0	0	1	0
3314	4301	"Lake Nero"	57.18333	39.45139	180	"AWI"	180	3651	15517	10950	0	14	0	0	1	0	0	0	0	0	0	0	0	0	2	42	0	0	0	0	0	0	0	0	0
3314	4301	"Lake Nero"	57.18333	39.45139	5570	"AWI"	5570	96889	131887	113868	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	1	0	0	0	0	0	0
