"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Tilia"	"Ulmus"
16181	25018	"Cairon"	49.23889	-0.44972	70	"AWI"	70	3900	5762	5181	109	0	0	2	0	0	3	0	0	27	12	0	0	5	24	0	0	0	0	2	0
16181	25018	"Cairon"	49.23889	-0.44972	73	"AWI"	73	4452	5795	5364	78	0	0	0	1	0	2	0	0	30	30	1	0	10	17	0	0	0	1	4	0
16181	25018	"Cairon"	49.23889	-0.44972	75	"AWI"	75	4828	5817	5482	84	0	0	0	0	0	1	0	0	21	16	1	0	16	17	0	0	0	1	3	1
16181	25018	"Cairon"	49.23889	-0.44972	82	"AWI"	82	5654	5991	5824	32	1	0	0	0	4	0	0	0	31	16	7	0	17	8	0	0	0	1	4	3
16181	25018	"Cairon"	49.23889	-0.44972	85	"AWI"	85	5692	6094	5876	4	2	1	0	0	0	3	0	0	56	33	3	0	9	26	0	0	0	7	3	2
16181	25018	"Cairon"	49.23889	-0.44972	90	"AWI"	90	5733	6298	5954	3	0	0	0	0	7	1	0	0	52	30	0	1	11	21	0	0	0	3	0	3
16181	25018	"Cairon"	49.23889	-0.44972	94	"AWI"	94	5793	6371	6030	5	1	0	0	0	19	2	0	0	32	25	2	2	10	13	0	0	0	1	2	1
16181	25018	"Cairon"	49.23889	-0.44972	97	"AWI"	97	5818	6437	6083	12	2	0	0	0	17	0	0	0	17	17	1	0	13	13	8	0	0	0	3	0
16181	25018	"Cairon"	49.23889	-0.44972	101	"AWI"	101	5860	6557	6155	18	4	0	0	0	13	0	1	0	38	9	1	0	28	20	0	0	0	0	5	4
16181	25018	"Cairon"	49.23889	-0.44972	105	"AWI"	105	5918	6612	6225	3	2	1	0	0	25	0	1	0	29	23	1	0	13	7	0	0	0	0	0	1
16181	25018	"Cairon"	49.23889	-0.44972	115	"AWI"	115	6059	6777	6403	2	0	0	0	0	0	1	0	0	58	14	1	0	36	22	0	0	0	0	0	5
16181	25018	"Cairon"	49.23889	-0.44972	118	"AWI"	118	6093	6833	6457	1	1	0	0	0	10	0	1	0	71	9	6	0	9	24	0	0	0	0	0	9
16181	25018	"Cairon"	49.23889	-0.44972	121	"AWI"	121	6136	6889	6508	2	1	0	1	0	0	0	1	0	69	13	3	0	20	17	0	0	0	0	0	10
16181	25018	"Cairon"	49.23889	-0.44972	125	"AWI"	125	6212	6938	6582	2	1	0	0	0	13	1	0	0	53	17	0	0	18	22	0	0	0	0	0	6
16181	25018	"Cairon"	49.23889	-0.44972	128	"AWI"	128	6256	6974	6634	0	0	0	1	0	14	1	0	0	59	18	0	0	17	35	0	0	1	0	1	8
16181	25018	"Cairon"	49.23889	-0.44972	130	"AWI"	130	6280	7019	6672	1	1	1	0	0	0	0	0	0	52	9	1	0	15	23	0	0	0	0	0	3
16181	25018	"Cairon"	49.23889	-0.44972	133	"AWI"	133	6355	7046	6724	2	0	0	0	0	0	0	0	0	66	21	3	0	9	22	0	0	0	0	3	3
16181	25018	"Cairon"	49.23889	-0.44972	136	"AWI"	136	6413	7082	6777	2	1	1	1	0	0	1	0	0	80	30	2	0	10	19	0	1	0	0	0	10
16181	25018	"Cairon"	49.23889	-0.44972	140	"AWI"	140	6464	7141	6856	1	0	0	0	0	11	0	0	1	59	37	3	0	4	39	0	0	0	0	1	3
16181	25018	"Cairon"	49.23889	-0.44972	143	"AWI"	143	6562	7161	6902	3	0	0	0	0	0	1	0	0	50	23	3	0	5	38	0	0	0	0	0	4
16181	25018	"Cairon"	49.23889	-0.44972	149	"AWI"	149	6681	7219	7008	1	1	0	1	0	0	2	0	0	66	11	1	0	5	29	0	0	0	0	3	4
16181	25018	"Cairon"	49.23889	-0.44972	153	"AWI"	153	6836	7263	7078	13	0	0	0	0	4	3	1	0	53	15	9	0	11	15	0	0	0	0	1	3
16181	25018	"Cairon"	49.23889	-0.44972	172	"AWI"	172	7248	7607	7431	2	0	3	0	0	0	0	0	0	55	9	1	0	8	25	0	0	0	0	1	7
16181	25018	"Cairon"	49.23889	-0.44972	175	"AWI"	175	7353	7642	7487	2	2	0	0	0	0	0	0	0	54	9	1	0	3	19	0	0	0	0	2	4
16181	25018	"Cairon"	49.23889	-0.44972	188	"AWI"	188	7654	8622	8097	0	2	3	0	0	5	1	0	0	62	22	1	0	3	18	0	0	0	0	1	1
16181	25018	"Cairon"	49.23889	-0.44972	193	"AWI"	193	8009	8941	8422	2	0	1	0	0	8	0	0	0	53	12	2	0	8	17	0	0	0	0	4	0
