"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Tofieldiaceae"	"Ulmus"	"Urticaceae"
16473	25763	"Moor Alpenrose"	47.02382	11.803354	0.5	"AWI"	0.5	-81.5	101	4.5	3	0	186	2	0	10	0	9	0	15	0	2	5	0	5	8	1	0	0	22	0	772	0	16	0	5	0	0	0	0	1	12	0	1	0	0	0	2	33	212	0	265	0	2	0	5	0	0	0	2	20	6	0	10	0	9	1	0	0	11
16473	25763	"Moor Alpenrose"	47.02382	11.803354	5	"AWI"	5	-17	590	173	2	0	362	1	0	21	0	2	0	16	0	0	7	0	12	3	0	0	0	17	0	355	0	0	0	8	0	1	1	0	0	16	0	1	0	1	0	1	21	141	0	270	0	3	0	1	0	0	0	0	27	1	0	10	0	2	1	0	0	3
16473	25763	"Moor Alpenrose"	47.02382	11.803354	10	"AWI"	10	16	1194	360	1	0	178	1	0	9	0	7	0	27	0	1	0	0	1	6	0	0	0	22	0	243	0	21	0	11	0	1	0	0	1	20	0	1	0	0	0	2	23	224	0	284	0	5	1	6	0	0	0	3	24	6	0	0	0	3	0	0	1	8
16473	25763	"Moor Alpenrose"	47.02382	11.803354	15	"AWI"	15	149	1421	607	1	1	196	1	0	7	0	6	0	31	0	0	0	0	4	7	0	0	0	18	0	202	1	15	0	13	0	2	0	0	0	10	0	2	0	0	0	2	39	231	0	0	0	1	0	8	0	0	0	4	42	8	0	7	0	4	0	0	3	12
16473	25763	"Moor Alpenrose"	47.02382	11.803354	20	"AWI"	20	225	1831	829	3	0	186	0	0	11	0	4	0	19	0	0	0	0	0	6	0	0	0	8	0	87	0	0	0	17	0	1	0	0	0	6	0	0	0	0	0	1	33	255	5	254	0	5	1	4	0	2	0	1	24	55	0	0	0	8	0	1	1	18
16473	25763	"Moor Alpenrose"	47.02382	11.803354	25	"AWI"	25	394	1992	1075	11	0	180	0	0	22	0	1	0	32	0	0	0	0	0	2	2	0	0	20	0	185	0	5	0	19	0	1	0	0	0	9	0	1	0	0	0	4	83	324	0	0	0	5	0	12	0	0	0	1	33	16	0	0	0	4	1	0	4	11
16473	25763	"Moor Alpenrose"	47.02382	11.803354	30	"AWI"	30	496	2271	1315	4	0	90	0	0	4	0	1	0	12	0	0	15	0	1	2	0	0	0	5	0	93	0	0	0	8	0	2	0	0	0	4	0	2	0	0	0	2	29	591	0	0	0	2	0	6	0	0	0	0	11	6	0	0	0	2	0	0	3	9
16473	25763	"Moor Alpenrose"	47.02382	11.803354	35	"AWI"	35	722	2457	1553	7	0	219	0	0	7	0	8	0	54	0	0	0	0	5	3	0	1	0	13	0	239	0	0	0	29	0	0	0	0	0	10	0	1	0	0	0	1	61	221	0	0	0	0	0	14	0	0	0	1	22	11	0	0	0	6	1	0	6	20
16473	25763	"Moor Alpenrose"	47.02382	11.803354	40	"AWI"	40	865	2719	1788	6	0	213	1	0	19	0	3	0	54	0	0	3	0	3	4	0	0	0	14	0	246	0	2	0	24	6	1	0	0	0	4	0	3	0	0	0	8	69	160	0	0	0	0	0	11	0	1	0	1	21	12	0	0	0	5	0	0	2	11
16473	25763	"Moor Alpenrose"	47.02382	11.803354	45	"AWI"	45	1095	2879	2037	4	5	225	2	0	9	0	1	0	37	0	0	0	0	1	3	0	0	0	15	0	242	0	0	0	13	1	0	0	0	0	4	0	2	0	0	0	4	38	216	0	0	0	0	0	10	0	0	0	1	19	7	0	0	0	4	0	0	3	10
16473	25763	"Moor Alpenrose"	47.02382	11.803354	50	"AWI"	50	1258	3112	2289	8	0	263	0	0	10	0	3	0	57	0	1	0	0	0	3	0	1	0	14	0	644	0	4	0	26	1	1	0	0	0	3	0	3	0	0	0	4	64	150	0	0	0	4	0	17	0	0	0	1	20	9	0	0	0	2	0	1	3	10
16473	25763	"Moor Alpenrose"	47.02382	11.803354	55	"AWI"	55	1522	3246	2524	7	2	269	0	0	10	0	2	0	38	0	0	0	0	2	0	0	0	0	15	0	986	0	6	0	39	1	2	1	0	1	16	0	2	0	0	0	3	56	208	0	0	0	4	0	13	0	0	0	2	30	9	0	0	0	13	0	0	3	20
16473	25763	"Moor Alpenrose"	47.02382	11.803354	60	"AWI"	60	1720	3456	2768	10	1	292	1	0	10	0	4	0	33	0	0	0	0	2	1	0	0	0	18	0	722	0	0	0	36	1	1	2	0	0	15	0	4	0	0	0	0	67	223	0	0	0	2	0	15	0	0	0	0	34	12	0	0	0	7	1	0	5	14
16473	25763	"Moor Alpenrose"	47.02382	11.803354	65	"AWI"	65	2088	3539	2986	3	0	384	3	0	9	0	1	0	66	0	0	0	0	2	0	2	0	0	27	0	1256	0	0	0	29	0	1	0	0	0	10	0	3	0	0	0	2	90	160	0	0	0	3	1	16	0	2	0	2	42	9	0	0	0	7	0	0	4	17
16473	25763	"Moor Alpenrose"	47.02382	11.803354	70	"AWI"	70	2322	3699	3233	3	0	359	1	0	35	0	3	0	53	0	0	11	0	5	0	0	0	0	24	0	655	0	0	0	40	0	1	1	0	0	7	0	1	1	0	0	2	62	192	0	0	0	5	1	13	0	1	0	1	62	11	0	0	0	8	1	0	1	8
