"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	370	"AWI"	370	8148	8487	8320	62	1	0	2	0	167	0	0	0	9	5	0	0	0	0	0	0	1	1	71	0	0	1	0	0	0	1	0	2	3
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	380	"AWI"	380	8221	8564	8393	80	0	2	1	0	150	2	0	0	4	1	0	0	0	0	0	0	0	0	49	0	0	0	1	18	3	1	0	1	1
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	390	"AWI"	390	8313	8634	8468	104	0	1	3	0	222	0	0	0	8	8	0	0	0	0	0	0	0	1	70	0	0	1	0	0	0	5	0	0	3
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	400	"AWI"	400	8410	8712	8552	144	0	0	0	0	161	0	0	0	10	1	0	0	0	0	0	0	0	0	56	0	0	2	0	0	0	0	0	1	7
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	410	"AWI"	410	8495	8820	8642	92	0	0	2	0	128	0	0	0	7	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	4	0	1	4
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	420	"AWI"	420	8568	8900	8724	233	0	0	0	0	177	0	1	0	4	3	0	0	0	0	0	0	0	1	27	0	0	0	1	0	0	0	0	1	4
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	430	"AWI"	430	8627	8956	8795	90	0	2	1	0	60	0	0	0	7	0	0	0	0	0	0	0	0	0	25	0	0	0	0	30	7	1	0	0	4
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	440	"AWI"	440	8686	9029	8862	33	0	1	2	0	58	0	0	0	7	3	0	0	0	1	0	0	0	0	28	0	0	2	0	15	0	1	0	0	1
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	450	"AWI"	450	8752	9103	8926	51	0	2	0	0	104	0	0	0	9	9	0	0	0	0	0	0	0	1	115	0	0	0	1	13	0	0	0	0	3
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	460	"AWI"	460	8823	9188	9000	53	0	3	2	0	108	0	0	0	13	58	0	0	0	0	0	0	1	0	126	0	0	0	0	0	0	2	0	0	10
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	470	"AWI"	470	8895	9273	9084	34	1	0	0	0	83	0	0	0	11	23	0	0	0	0	0	0	0	0	73	0	0	1	0	0	0	0	0	0	5
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	480	"AWI"	480	8988	9366	9181	34	0	0	3	0	74	0	0	0	3	4	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	2	7
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	500	"AWI"	500	9194	9538	9392	54	0	1	0	0	130	0	0	0	9	11	0	0	0	0	0	0	0	1	93	0	0	0	0	0	0	0	0	1	7
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	510	"AWI"	510	9289	9621	9468	32	0	1	0	0	132	0	0	0	8	20	0	0	0	0	0	0	0	2	85	0	0	0	0	0	0	0	0	0	5
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	520	"AWI"	520	9361	9716	9541	1	0	0	1	0	44	0	0	0	0	1	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	1
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	530	"AWI"	530	9436	9828	9615	7	1	0	0	0	43	0	1	0	5	5	0	0	2	0	0	0	0	0	99	0	0	0	0	0	0	4	0	0	2
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	540	"AWI"	540	9527	9925	9704	19	0	0	0	1	64	0	1	0	4	15	0	0	0	0	0	0	0	1	93	0	0	0	0	0	0	1	0	0	0
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	550	"AWI"	550	9610	10048	9817	28	0	1	0	0	59	0	0	0	5	9	0	0	0	0	0	0	0	2	224	0	0	0	0	0	0	2	1	0	5
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	560	"AWI"	560	9685	10158	9930	0	0	1	2	0	52	0	1	0	0	20	0	0	0	0	0	0	0	0	45	0	0	0	0	3	0	4	0	0	1
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	570	"AWI"	570	9779	10258	10035	0	0	0	1	0	80	0	0	0	0	128	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	3	0	0	0
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	580	"AWI"	580	9923	10384	10169	0	0	1	1	0	167	0	0	0	0	17	0	0	0	0	0	0	1	2	167	0	0	0	0	0	0	0	0	0	8
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	590	"AWI"	590	10126	10528	10314	2	0	0	0	1	133	0	0	0	0	3	0	0	0	0	0	0	0	1	267	0	0	0	2	0	0	0	0	0	1
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	600	"AWI"	600	10269	10675	10453	0	0	0	1	0	102	0	0	0	0	1	0	0	0	0	0	0	0	2	392	0	0	0	0	0	0	0	0	0	2
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	610	"AWI"	610	10377	10828	10576	2	0	0	0	0	122	0	0	0	4	7	0	0	0	0	0	0	0	1	600	0	1	0	0	0	0	2	0	0	2
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	620	"AWI"	620	10502	10943	10700	0	0	2	1	0	176	1	0	0	4	41	0	0	0	0	0	1	0	2	225	0	0	0	0	5	0	12	0	0	2
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	630	"AWI"	630	10598	11046	10840	2	0	3	6	0	173	0	0	0	1	18	0	0	0	0	0	0	0	1	113	0	1	0	0	0	0	5	0	0	3
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	640	"AWI"	640	10709	11160	10977	1	1	4	2	1	209	0	0	0	0	25	0	0	0	0	0	2	0	1	141	0	1	0	0	8	0	3	0	0	1
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	650	"AWI"	650	10856	11520	11208	1	1	1	1	0	92	0	0	0	0	48	0	0	0	1	0	0	0	1	96	0	1	0	0	0	0	4	0	0	0
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	655	"AWI"	655	10932	11783	11336	0	0	0	0	0	36	0	0	0	0	12	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	3	0	0	0
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	670	"AWI"	670	11211	12518	11765	9	3	0	6	1	105	0	0	0	2	3	3	0	0	0	0	0	0	0	15	0	0	0	1	0	0	1	0	0	2
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	680	"AWI"	680	11407	12905	12078	13	0	0	2	1	74	0	0	0	5	1	0	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	1
26566	46457	"Nizhneosinovskoye peat bog"	60.68702	29.14831	700	"AWI"	700	11818	13627	12718	32	5	1	29	3	196	0	1	1	18	9	15	2	0	0	0	1	2	4	38	0	0	1	0	0	0	0	0	0	0
