"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Ilex"	"Lamiaceae"	"Liliaceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rubiaceae"	"Rumex"	"Salix"	"Solanaceae"	"Tilia"	"Ulmus"	"Violaceae"
15939	24559	"Port-La-Croix"	47.33528	-2.87417	3	"AWI"	3	1814	2234	2000	4	30	3	0	0	0	6	2	0	0	1	93	2	0	0	0	0	2	0	0	88	0	28	6	1	6	0	0	0	0	1	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	6	"AWI"	6	1937	2300	2096	1	24	0	0	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	1	84	0	0	62	0	1	0	0	0	0	1	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	9	"AWI"	9	2002	2387	2173	1	93	0	0	0	0	2	0	0	0	5	105	0	0	0	0	0	3	0	0	0	0	0	36	0	1	0	1	0	0	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	12	"AWI"	12	2078	2468	2257	2	21	1	0	0	0	1	0	0	0	2	42	0	0	0	0	0	1	0	2	139	0	1	46	0	1	0	0	0	0	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	15	"AWI"	15	2134	2567	2341	1	33	1	0	0	0	0	0	0	0	3	12	0	0	0	0	0	1	0	4	87	0	0	68	0	0	0	0	0	0	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	18	"AWI"	18	2262	2612	2424	3	52	4	0	1	0	0	0	0	1	1	71	1	0	1	0	0	2	6	0	65	0	4	14	0	1	0	1	0	0	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	21	"AWI"	21	2351	2681	2502	2	25	2	0	0	0	1	0	0	1	3	82	1	0	1	0	0	1	10	0	0	1	1	22	0	1	2	1	0	0	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	24	"AWI"	24	2411	2737	2576	5	39	1	0	0	0	1	2	0	0	7	24	0	0	0	0	0	0	14	3	124	0	1	55	1	1	0	0	0	1	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	27	"AWI"	27	2480	2797	2642	6	39	1	0	1	36	2	1	0	0	7	25	1	1	1	0	0	1	18	1	149	0	3	27	0	2	0	0	0	1	1	1
15939	24559	"Port-La-Croix"	47.33528	-2.87417	30	"AWI"	30	2532	2866	2707	4	30	2	0	0	0	1	1	0	0	3	34	0	0	0	1	0	1	14	1	142	0	5	35	0	2	0	1	0	0	0	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	33	"AWI"	33	2673	2914	2768	0	19	10	0	4	0	0	0	0	0	9	90	1	1	0	0	0	2	0	0	100	0	27	1	5	8	0	0	3	0	2	0
15939	24559	"Port-La-Croix"	47.33528	-2.87417	36	"AWI"	36	2749	2999	2847	2	20	2	0	0	0	1	0	0	0	4	50	0	1	0	0	0	1	12	0	72	0	3	14	0	1	0	2	1	0	0	0
