"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Linaceae"	"Loranthaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
15705	24100	"Královec"	49.13194	18.02778	0	"AWI"	0	-105	66	-34	12	0	6	3	0	0	2	0	0	3	6	0	0	0	0	0	12	0	231	0	0	4	0	0	0	5	0	7	0	0	0	1	1	83	96	0	0	0	0	11	0	0	0	0	5	0	0	6	0	0	4	2
15705	24100	"Královec"	49.13194	18.02778	5	"AWI"	5	-65	128	15	5	3	7	4	0	0	2	0	0	6	7	0	0	0	0	0	11	0	228	1	0	2	1	0	0	3	0	7	0	0	0	0	0	96	89	0	0	0	0	11	0	0	3	0	2	0	0	1	0	0	0	1
15705	24100	"Královec"	49.13194	18.02778	10	"AWI"	10	-25	188	66	14	0	4	5	0	0	3	0	0	10	6	0	0	0	0	0	9	0	209	0	0	5	3	0	0	10	0	9	0	0	0	1	0	119	112	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0
15705	24100	"Královec"	49.13194	18.02778	15	"AWI"	15	17	245	116	11	0	5	2	3	0	3	0	0	16	4	0	0	0	0	0	13	0	181	0	0	5	0	1	0	7	0	7	0	0	0	2	1	73	83	0	0	0	0	3	0	0	2	0	3	0	0	0	0	0	1	1
15705	24100	"Královec"	49.13194	18.02778	20	"AWI"	20	63	297	166	18	0	3	4	0	0	2	0	0	20	6	0	0	0	0	0	7	0	177	0	0	5	1	0	1	11	0	3	2	0	0	0	0	75	109	0	0	0	0	8	0	0	2	0	1	0	0	2	0	0	3	2
15705	24100	"Královec"	49.13194	18.02778	25	"AWI"	25	109	350	212	15	0	7	7	0	0	2	0	0	9	6	0	0	0	0	0	12	0	190	0	0	5	1	0	0	3	0	3	1	0	0	1	1	34	89	0	0	0	0	13	0	0	1	0	3	0	0	3	0	0	2	2
15705	24100	"Královec"	49.13194	18.02778	30	"AWI"	30	153	397	265	23	0	9	4	0	0	4	0	0	3	4	0	0	0	0	0	15	0	174	0	0	5	2	0	0	7	0	8	0	0	0	2	1	62	126	0	0	0	0	13	0	0	0	0	3	0	0	0	0	3	2	1
15705	24100	"Královec"	49.13194	18.02778	35	"AWI"	35	197	448	317	19	0	2	2	0	0	3	0	0	12	3	0	0	0	0	0	23	0	43	0	0	4	1	0	1	3	0	2	0	0	0	8	2	19	60	0	0	0	0	17	0	0	0	0	5	0	0	0	0	1	0	1
15705	24100	"Královec"	49.13194	18.02778	40	"AWI"	40	240	495	368	17	0	11	3	0	0	8	0	0	7	11	0	0	0	0	0	18	0	54	0	0	12	3	0	1	7	0	0	0	0	0	14	4	12	53	0	0	0	0	14	0	0	3	0	20	0	0	1	0	1	5	0
15705	24100	"Královec"	49.13194	18.02778	45	"AWI"	45	286	541	417	19	0	16	0	0	0	10	0	0	6	6	1	0	0	0	0	25	0	61	0	0	11	7	0	0	1	0	1	0	0	0	15	0	7	41	0	0	0	0	12	0	0	2	0	52	0	0	1	1	1	2	2
15705	24100	"Královec"	49.13194	18.02778	50	"AWI"	50	334	585	466	22	1	3	1	0	1	14	0	0	4	7	1	0	0	0	0	10	0	42	0	0	14	13	0	0	2	0	1	0	0	0	8	4	8	45	0	0	0	0	10	0	0	3	0	125	0	0	5	1	0	2	1
15705	24100	"Královec"	49.13194	18.02778	55	"AWI"	55	382	629	514	51	3	11	2	0	0	13	0	0	6	20	0	3	0	0	0	6	0	25	0	0	41	9	0	0	1	0	0	0	0	0	2	3	10	37	0	0	0	0	10	0	0	2	43	59	8	0	3	0	4	7	0
15705	24100	"Královec"	49.13194	18.02778	60	"AWI"	60	433	671	562	26	2	9	1	0	0	9	0	1	11	13	0	0	0	0	0	7	0	9	0	0	22	1	0	0	0	0	0	0	0	1	0	2	0	25	0	0	0	1	11	0	0	2	0	224	10	0	1	0	1	4	10
15705	24100	"Královec"	49.13194	18.02778	65	"AWI"	65	475	725	607	133	11	18	2	0	0	11	0	0	5	11	0	1	0	0	0	9	1	23	1	0	26	6	0	0	2	0	0	0	0	0	3	4	8	73	0	0	0	1	22	0	0	3	0	15	2	0	0	0	13	17	1
15705	24100	"Královec"	49.13194	18.02778	70	"AWI"	70	516	773	650	145	10	20	4	0	0	9	0	1	7	0	0	3	0	0	0	1	0	16	1	0	48	7	0	0	0	0	0	0	0	0	3	6	11	72	0	0	0	0	18	0	0	2	0	3	0	0	0	0	7	17	1
15705	24100	"Královec"	49.13194	18.02778	75	"AWI"	75	559	824	696	231	10	13	0	0	0	10	0	0	15	2	0	2	0	0	1	2	0	4	0	0	60	6	0	0	1	0	0	0	1	0	0	3	9	42	0	0	0	4	30	0	0	1	0	2	0	2	1	0	13	18	0
15705	24100	"Královec"	49.13194	18.02778	80	"AWI"	80	603	872	740	218	16	18	2	0	0	10	0	0	10	0	0	0	0	0	0	2	0	4	0	0	63	1	0	0	0	0	0	0	0	0	0	8	4	33	0	0	0	14	39	0	0	1	0	3	1	1	0	1	17	20	0
15705	24100	"Královec"	49.13194	18.02778	85	"AWI"	85	644	920	784	145	30	16	4	0	0	11	0	1	11	1	0	0	0	0	0	7	0	5	0	0	101	4	0	0	1	0	0	0	0	0	0	7	6	32	0	0	0	0	39	0	0	1	0	0	0	0	0	1	21	20	0
15705	24100	"Královec"	49.13194	18.02778	90	"AWI"	90	690	964	827	147	18	18	5	0	0	8	0	1	22	0	0	1	0	0	0	10	0	16	0	0	62	6	0	0	1	0	0	0	0	0	2	4	12	43	0	0	0	0	44	0	0	0	0	1	0	1	0	0	17	9	0
