"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Frangula"	"Fraxinus"	"Juniperus"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
26144	45383	"Lake Kahala"	59.48944	25.53861	1	"AWI"	1	-16	644	47	0	17.4846625766871	0.306748466257669	0	0.81799591002045	0	40.3885480572597	0	0	0	0	4.08997955010225	0.511247443762781	0	0	0	0	0.204498977505113	0	0.102249488752556	0	5.8282208588957	26.5848670756646	0	0	0	0.81799591002045	0	0	0.102249488752556	0.408997955010225	0.511247443762781	0	0.613496932515337	1.22699386503067	0
26144	45383	"Lake Kahala"	59.48944	25.53861	10	"AWI"	10	811	1172	980	0	18.9625850340136	0.255102040816327	0	0.510204081632653	0	37.7551020408163	0	0	0	0	2.55102040816327	0.510204081632653	0	0	0	0	0.340136054421769	0	0	0.0850340136054422	5.61224489795918	27.0408163265306	0.595238095238095	0	0	1.19047619047619	0.255102040816327	0	0	0.510204081632653	0.76530612244898	0	1.27551020408163	1.78571428571429	0
26144	45383	"Lake Kahala"	59.48944	25.53861	20	"AWI"	20	1126	1454	1245	0	18.0327868852459	0.0964320154291225	0.0964320154291225	1.15718418514947	0	40.0192864030858	0	0	0	0	3.8572806171649	0.0964320154291225	0	0	0	0.0964320154291225	0.192864030858245	0.0964320154291225	0	0.482160077145612	7.81099324975892	24.1080038572806	0	0	0	1.25361620057859	0	0	0	0.482160077145612	0.192864030858245	0.0964320154291225	0.675024108003857	1.06075216972035	0.0964320154291225
26144	45383	"Lake Kahala"	59.48944	25.53861	30	"AWI"	30	1514	1901	1726	0.0980392156862745	18.6274509803922	0	0.0980392156862745	0.882352941176471	0	38.8235294117647	0	0	0.0980392156862745	0	4.31372549019608	0.686274509803922	0	0	0	0	0.294117647058824	0	0	0.392156862745098	6.07843137254902	24.4117647058824	0	0	0	2.15686274509804	0	0	0	0.392156862745098	0.882352941176471	0	0.784313725490196	0.980392156862745	0
26144	45383	"Lake Kahala"	59.48944	25.53861	40	"AWI"	40	1802	2111	1962	0	21.2244897959184	0.102040816326531	0.204081632653061	0.816326530612245	0	40.9183673469388	0.102040816326531	0	0	0	3.77551020408163	0.306122448979592	0	0	0	0	0	0.102040816326531	0.102040816326531	0.204081632653061	5.61224489795918	22.3469387755102	0	0	0	1.22448979591837	0.204081632653061	0	0	0.306122448979592	0.714285714285714	0	0.816326530612245	0.918367346938776	0
26144	45383	"Lake Kahala"	59.48944	25.53861	50	"AWI"	50	1915	2272	2086	0	22.930542340628	0.190294957183635	0.190294957183635	1.14176974310181	0	38.534728829686	0	0	0	0	5.13796384395813	0.475737392959087	0	0	0	0	0	0	0	0.570884871550904	5.5185537583254	20.3615604186489	0	0	0	1.71265461465271	0	0	0	0	1.23691722169363	0	0.570884871550904	1.42721217887726	0
26144	45383	"Lake Kahala"	59.48944	25.53861	60	"AWI"	60	2007	2455	2188	0	22.3120452708165	0.0808407437348424	0	0.161681487469685	0	27.0008084074373	0	0	0	0	6.54810024252223	0.727566693613581	0	0	0.0808407437348424	0	0.485044462409054	0	0	0.0808407437348424	9.94341147938561	23.0396119644301	0	0	0	3.55699272433306	0	0	0	0.0808407437348424	0.404203718674212	0	1.535974130962	3.96119644300728	0
26144	45383	"Lake Kahala"	59.48944	25.53861	70	"AWI"	70	2161	2655	2304	0	25.4512635379061	0.0902527075812274	0.0902527075812274	0.541516245487365	0	43.6823104693141	0	0	0	0	4.24187725631769	0.631768953068592	0	0	0	0	0.541516245487365	0.0902527075812274	0	0.270758122743682	4.51263537906137	14.9819494584838	0	0	0	1.71480144404332	0	0	0	0	0.270758122743682	0	1.08303249097473	1.80505415162455	0
26144	45383	"Lake Kahala"	59.48944	25.53861	80	"AWI"	80	2307	3581	2769	0.15552099533437	24.805598755832	0	0	0.46656298600311	0	28.7713841368585	0	0	0	0	7.93157076205288	1.32192846034215	0	0	0.0777604976671851	0	1.08864696734059	0	0	0.233281493001555	7.85381026438569	18.1959564541213	0	0	0	3.73250388802488	0	0	0	0	0	0	1.47744945567652	3.88802488335925	0
26144	45383	"Lake Kahala"	59.48944	25.53861	90	"AWI"	90	2571	3911	3297	0	25.2221462747779	0	0	0.615174299384826	0	28.1613123718387	0	0	0	0	9.50102529049897	0.205058099794942	0	0	0	0	0.888585099111415	0.0683526999316473	0	0.341763499658236	7.45044429254956	18.796992481203	0.0683526999316473	0	0	2.52904989747095	0	0	0	0.0683526999316473	0.615174299384826	0	1.64046479835954	3.82775119617225	0
