"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Lamiaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"
15941	24563	"Charcenay"	47.40472	0.64222	25	"AWI"	25	179	1332	636	29.0322580645161	0	1.61290322580645	0	0	0	0	0	0	0	0	0	0	6.45161290322581	25.8064516129032	0	0	0	0	0	0	0	0	24.1935483870968	0	9.67741935483871	0	0	3.2258064516129	0	0	0	0	0	0	0	0	0
15941	24563	"Charcenay"	47.40472	0.64222	45	"AWI"	45	588	1941	1227	40.9090909090909	0	0	1.13636363636364	0	0	0	0	0	0	0	0	0	29.5454545454545	12.5	0	0	0	1.13636363636364	0	0	0	0	1.13636363636364	0	7.95454545454545	0	0	5.68181818181818	0	0	0	0	0	0	0	0	0
15941	24563	"Charcenay"	47.40472	0.64222	50	"AWI"	50	668	2128	1374	37.5	0	0	3.84615384615385	0	0	0	0	0	0	0	0	0	43.2692307692308	4.80769230769231	0	0	0	0	0	0	0	0	0	0	0.961538461538462	0	0	8.65384615384615	0	0	0	0	0.961538461538462	0	0	0	0
15941	24563	"Charcenay"	47.40472	0.64222	85	"AWI"	85	1760	2949	2397	13.9664804469274	2.23463687150838	2.23463687150838	0	0	5.02793296089385	0	0	0	0	0	0	0	1.11731843575419	51.3966480446927	0	0	0	0	0	0	0	1.67597765363128	3.35195530726257	0.558659217877095	15.6424581005587	0	0	2.23463687150838	0	0	0	0	0.558659217877095	0	0	0	0
15941	24563	"Charcenay"	47.40472	0.64222	90	"AWI"	90	1903	3088	2546	2.04081632653061	2.04081632653061	1.36054421768707	0	0	8.84353741496599	0	0	0	0	0	0	0	2.72108843537415	69.3877551020408	0	0	0	0	0	0	0	0	2.04081632653061	1.36054421768707	7.48299319727891	0	0	2.04081632653061	0	0	0	0.680272108843537	0	0	0	0	0
15941	24563	"Charcenay"	47.40472	0.64222	95	"AWI"	95	2177	3164	2666	4.739336492891	0	0.947867298578199	0	0.4739336492891	17.5355450236967	0	0	0	0	0	0	0	21.3270142180095	33.175355450237	0	0	0	0	0	0	0	0	4.739336492891	0.947867298578199	15.1658767772512	0	0	0.4739336492891	0	0	0	0.4739336492891	0	0	0	0	0
15941	24563	"Charcenay"	47.40472	0.64222	105	"AWI"	105	2554	3443	2972	2.29226361031519	0.573065902578797	0.286532951289398	0	0	25.7879656160458	0.286532951289398	0	0	0	0	0	0	0.859598853868195	52.4355300859599	0	0	0	0	0	0	0	0.573065902578797	8.88252148997135	0	7.44985673352436	0	0	0.286532951289398	0	0	0	0	0	0	0	0	0.286532951289398
15941	24563	"Charcenay"	47.40472	0.64222	110	"AWI"	110	2655	3805	3140	2.06489675516224	0	0.294985250737463	0	0.294985250737463	34.8082595870207	0	0	0	0	0	0	0.294985250737463	1.17994100294985	45.7227138643068	0	0.294985250737463	0	0	0	0	0	0.294985250737463	7.9646017699115	0.294985250737463	5.6047197640118	0	0	0	0	0	0	0	0	0	0	0.589970501474926	0.294985250737463
15941	24563	"Charcenay"	47.40472	0.64222	115	"AWI"	115	2816	4074	3353	4.85436893203883	0.323624595469256	0.323624595469256	0	0	25.8899676375405	0	0	0	0	0.647249190938511	0	0	2.58899676375405	40.453074433657	0	0	0	0	0	0	0	0.647249190938511	9.70873786407767	2.26537216828479	10.0323624595469	0	0	0.970873786407767	0	0	0	0	0.323624595469256	0	0.323624595469256	0.647249190938511	0
15941	24563	"Charcenay"	47.40472	0.64222	145	"AWI"	145	3672	5630	4573	76.9230769230769	0	1.53846153846154	0	0	0	0	0	0	0	0	0	0	12.3076923076923	4.61538461538462	0	0	0	0	0	0	0	0	0	0	3.07692307692308	0	0	1.53846153846154	0	0	0	0	0	0	0	0	0
