"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asparagaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cotinus"	"Cyperaceae"	"Datiscaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Liquidambar"	"Lythraceae"	"Malvaceae"	"Myrtus"	"Olea"	"Oleaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Papaveraceae"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Pterocarya"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Tamarix"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3203	4161	"Köycegiz Gölü"	36.875	28.64167	5	"AWI"	5	-95	86	2	0	5	0	0	7	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	2	0	0	128	0	0	3	0	0	0	0	0	0	1	0	0	1	0	1	4	1	12	3	1	0	0	0	0	0	0	536	6	0	2	0	76	0	0	0	1	65	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0
3203	4161	"Köycegiz Gölü"	36.875	28.64167	10	"AWI"	10	-71	125	29	0	8	0	0	11	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	182	2	0	2	0	0	0	0	1	0	1	0	1	3	2	2	8	2	0	3	7	1	0	0	0	0	0	684	2	0	5	0	132	0	0	2	0	60	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	7	0	1	1
3203	4161	"Köycegiz Gölü"	36.875	28.64167	20	"AWI"	20	-19	198	87	0	4	0	0	4	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	158	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	2	0	0	3	6	2	0	0	0	0	1	555	5	0	4	0	92	0	0	2	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	1
3203	4161	"Köycegiz Gölü"	36.875	28.64167	30	"AWI"	30	35	261	145	0	6	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	114	2	0	2	0	0	0	0	0	1	4	0	0	0	0	0	2	0	0	1	4	0	0	0	0	0	2	331	1	0	3	0	121	0	1	1	0	59	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	4	0	1	4
3203	4161	"Köycegiz Gölü"	36.875	28.64167	40	"AWI"	40	90	324	205	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	131	3	0	1	0	0	0	0	0	0	2	0	0	3	0	0	5	0	0	1	5	2	0	0	0	0	0	228	2	0	1	0	54	0	0	1	0	28	0	0	2	1	0	0	0	0	1	0	0	2	0	0	1	0	4	0	0	4
3203	4161	"Köycegiz Gölü"	36.875	28.64167	50	"AWI"	50	145	380	263	0	9	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	186	2	0	1	0	0	0	0	0	0	3	0	0	2	0	0	4	0	0	2	6	0	0	0	0	0	1	129	4	0	1	0	62	0	0	0	1	46	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	4
3203	4161	"Köycegiz Gölü"	36.875	28.64167	60	"AWI"	60	207	440	323	0	6	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	130	2	0	0	0	0	0	0	0	1	3	0	0	1	0	0	3	0	0	2	1	0	0	0	0	0	0	231	2	0	2	0	64	0	0	0	0	46	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	5
3203	4161	"Köycegiz Gölü"	36.875	28.64167	70	"AWI"	70	272	497	383	0	3	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	102	1	0	1	0	17	0	0	1	0	20	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	4
3203	4161	"Köycegiz Gölü"	36.875	28.64167	90	"AWI"	90	420	609	495	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	46	0	0	1	0	0	48	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	165	2	0	0	0	37	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1
3203	4161	"Köycegiz Gölü"	36.875	28.64167	105	"AWI"	105	525	770	610	0	3	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	121	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	7	0	0	1	2	0	0	0	0	0	0	202	2	0	0	0	95	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6
